"File","Line","Col","Code","Message"
"Assets\_Project\Scripts\Animation\IK\LeviathanTerrainIkJobs.cs","53","73","CS0246","The type or namespace name 'LeviathanMockTargetDTO' could not be found (are you missing a using directive or an assembly reference?)"
"Assets\_Project\Scripts\Animation\IK\LeviathanTerrainIkJobs.cs","53","104","CS0103","The name 'LeviathanMockTargetDTO' does not exist in the current context"
"Assets\_Project\Scripts\Animation\IK\LeviathanTerrainIkJobs.cs","72","41","CS0246","The type or namespace name 'LeviathanMockTargetDTO' could not be found (are you missing a using directive or an assembly reference?)"
"Assets\_Project\Scripts\Audio\PlayerCriticalProceduralAudioRenderer.cs","7003","60","CS0128","A local variable or function named 'reverbViews' is already defined in this scope"
"Assets\_Project\Scripts\Bootstrap\GameBootstrapper.cs","835","22","CS0120","An object reference is required for the non-static field, method, or property 'GameBootstrapper._bootstrapRunInProgress'"
"Assets\_Project\Scripts\Bootstrap\GameBootstrapper.cs","837","71","CS0136","A local or parameter named 'bootstrapOwner' cannot be declared in this scope because that name is used in an enclosing local scope to define a local or parameter"
"Assets\_Project\Scripts\Bootstrap\GameBootstrapper.cs","867","22","CS0120","An object reference is required for the non-static field, method, or property 'GameBootstrapper._bootstrapRunInProgress'"
"Assets\_Project\Scripts\Bootstrap\GameBootstrapper.cs","1658","69","CS0103","The name 'memoryLayoutConfig' does not exist in the current context"
"Assets\_Project\Scripts\Core\Database\H8MacroDatabaseService.cs","841","40","CS0234","The type or namespace name 'TickCount' does not exist in the namespace 'Hecton8.Environment' (are you missing an assembly reference?)"
"Assets\_Project\Scripts\Core\Database\H8MacroDatabaseService.cs","1267","52","CS0234","The type or namespace name 'TickCount' does not exist in the namespace 'Hecton8.Environment' (are you missing an assembly reference?)"
"Assets\_Project\Scripts\Core\Database\H8MacroDatabaseService.cs","2062","23","CS0234","The type or namespace name 'TickCount' does not exist in the namespace 'Hecton8.Environment' (are you missing an assembly reference?)"
"Assets\_Project\Scripts\FabricationAssemblerRuntime.cs","1818","61","CS0122","'FabricationAssemblerRuntime.HashSlot(int, uint, float)' is inaccessible due to its protection level"
"Assets\_Project\Scripts\FabricationAssemblerRuntime.cs","1832","62","CS0122","'FabricationAssemblerRuntime.ResolveLocalAupOffset(double3, double3)' is inaccessible due to its protection level"
"Assets\_Project\Scripts\FabricationAssemblerRuntime.cs","1920","61","CS0122","'FabricationAssemblerRuntime.ToAbsoluteUniversePosition(double3)' is inaccessible due to its protection level"
