surface,locale,direction,packet_id,release_set_id,article_id,unlock_id,localization_status,localization_flags,poi_tags,biome_tags,page_path,title,source_voice,spoiler_tier,spoiler_warning,packet_json_path,status_bucket
in_game_wiki,en_US,ltr,AL_EVAC_QUEUE,RS705_AUDIO_LOGS_COLONY,hecton8.audio.evac_queue,unlock.audio.evac_queue,source_authority,0,poi.muster_station;poi.evac_corridor_mark,biome.drowned_factories;biome.brine_stair,in_game_wiki/en_US/AL_EVAC_QUEUE.md,Muster Two Queue Log,Neutral Reference,0,,packets/P705_AUDIO_LOGS_COLONY.json,ready
in_game_wiki,en_US,ltr,AL_HULL_CHOIR,RS705_AUDIO_LOGS_COLONY,hecton8.audio.hull_choir,unlock.audio.hull_choir,source_authority,0,poi.rib_corridor;poi.frame_26,biome.drowned_factories,in_game_wiki/en_US/AL_HULL_CHOIR.md,"Rib Survey, Frames 22 to 29",Neutral Reference,0,,packets/P705_AUDIO_LOGS_COLONY.json,ready
in_game_wiki,en_US,ltr,AL_PAYROLL_DEAD,RS705_AUDIO_LOGS_COLONY,hecton8.audio.payroll_dead,unlock.audio.payroll_dead,source_authority,0,poi.administration_block;poi.suit_locker_row,biome.spine_shallows,in_game_wiki/en_US/AL_PAYROLL_DEAD.md,"Payroll Period Close, Sector 44",Neutral Reference,0,,packets/P705_AUDIO_LOGS_COLONY.json,ready
in_game_wiki,en_US,ltr,AL_PUMP_BLESSING,RS705_AUDIO_LOGS_COLONY,hecton8.audio.pump_blessing,unlock.audio.pump_blessing,source_authority,0,poi.pump_bay;poi.discharge_header,biome.drowned_factories,in_game_wiki/en_US/AL_PUMP_BLESSING.md,"Pump Bay 12 Log, Maintenance Shift 4",Neutral Reference,0,,packets/P705_AUDIO_LOGS_COLONY.json,ready
in_game_wiki,en_US,ltr,AL_SCRUBBER_BED,RS705_AUDIO_LOGS_COLONY,hecton8.audio.scrubber_bed,unlock.audio.scrubber_bed,source_authority,0,poi.atmosphere_plant;poi.scrubber_bay,biome.drowned_factories,in_game_wiki/en_US/AL_SCRUBBER_BED.md,"Scrubber Three Bed Swap, Habitat Tech",Neutral Reference,0,,packets/P705_AUDIO_LOGS_COLONY.json,ready
in_game_wiki,en_US,ltr,AL_SERVICE_CHAPEL,RS705_AUDIO_LOGS_COLONY,hecton8.audio.service_chapel,unlock.audio.service_chapel,source_authority,0,poi.service_alcove;poi.valve_gallery,biome.drowned_factories,in_game_wiki/en_US/AL_SERVICE_CHAPEL.md,"Alcove Nine Work Order, Colony Maintenance",Neutral Reference,0,,packets/P705_AUDIO_LOGS_COLONY.json,ready
in_game_wiki,en_US,ltr,AL_SHIFT_B_AIR_COUNT,RS705_AUDIO_LOGS_COLONY,hecton8.audio.shift_b_air_count,unlock.audio.shift_b_air_count,source_authority,0,poi.habitat_dorm;poi.atmosphere_panel,biome.drowned_factories,in_game_wiki/en_US/AL_SHIFT_B_AIR_COUNT.md,"Shift B Air Count, Dorm Nine",Neutral Reference,0,,packets/P705_AUDIO_LOGS_COLONY.json,ready
in_game_wiki,en_US,ltr,AL_WINDOW_WATCH,RS705_AUDIO_LOGS_COLONY,hecton8.audio.window_watch,unlock.audio.window_watch,source_authority,0,poi.observation_bay;poi.floodlight_gantry,biome.drowned_factories,in_game_wiki/en_US/AL_WINDOW_WATCH.md,Observation Bay 4 Watch Log,Neutral Reference,0,,packets/P705_AUDIO_LOGS_COLONY.json,ready
in_game_wiki,en_US,ltr,P001_CRASH_SHELF,RS001_FIRST_DESCENT,hecton8.crash_shelf,unlock.first_shelter,source_authority,0,poi.crash_shelf;poi.service_buoy,biome.shallow_reef;biome.storm_shelf,in_game_wiki/en_US/P001_CRASH_SHELF.md,Crash Shelf,Neutral Reference,0,,packets/P001_CRASH_SHELF.json,ready
in_game_wiki,en_US,ltr,P002_BLACK_KEEL_CONTACT,RS001_FIRST_DESCENT,black_keel.contact,unlock.black_keel_handshake,source_authority,0,poi.signal_mast;poi.service_buoy,biome.storm_shelf;biome.shallow_reef,in_game_wiki/en_US/P002_BLACK_KEEL_CONTACT.md,Black Keel Contact,Neutral Reference,0,,packets/P002_BLACK_KEEL_CONTACT.json,ready
in_game_wiki,en_US,ltr,P003_BARNARD_MARK,RS001_FIRST_DESCENT,player.barnard_mark,unlock.first_barnard_mark,source_authority,0,poi.worker_locker;poi.shift_board,biome.drowned_infrastructure,in_game_wiki/en_US/P003_BARNARD_MARK.md,Barnard Mark,Neutral Reference,0,,packets/P003_BARNARD_MARK.json,ready
in_game_wiki,en_US,ltr,P004_BLUE_DEBT,RS001_FIRST_DESCENT,resource.blue_debt,unlock.first_blue_debt_sample,source_authority,0,poi.pressure_casket;poi.cable_forest,biome.industrial_descent;biome.thermal_field,in_game_wiki/en_US/P004_BLUE_DEBT.md,Blue Debt,Neutral Reference,0,,packets/P004_BLUE_DEBT.json,ready
