locale,priority,review_surface,packet_range,risk_class,review_reason,suggested_reviewer_profile,blocked_until,notes
en_US,High,Subtitle,RS113,Medium,Automated translation check,Native Speaker,None,Ready
en_US,High,Subtitle,RS114,Medium,Automated translation check,Native Speaker,None,Ready
en_US,High,Subtitle,RS115,Medium,Automated translation check,Native Speaker,None,Ready
en_US,High,Subtitle,RS116,Medium,Automated translation check,Native Speaker,None,Ready
en_US,High,Subtitle,RS117,Medium,Automated translation check,Native Speaker,None,Ready
en_US,High,Subtitle,RS118,Medium,Automated translation check,Native Speaker,None,Ready
en_US,High,Subtitle,RS119,Medium,Automated translation check,Native Speaker,None,Ready
en_US,High,Subtitle,RS120,Medium,Automated translation check,Native Speaker,None,Ready
en_US,High,Subtitle,RS121,Medium,Automated translation check,Native Speaker,None,Ready
en_US,High,Subtitle,RS122,Medium,Automated translation check,Native Speaker,None,Ready
en_US,High,Subtitle,RS123,Medium,Automated translation check,Native Speaker,None,Ready
en_US,High,Subtitle,RS124,Medium,Automated translation check,Native Speaker,None,Ready
ar_SA,High,Subtitle,RS113,Medium,Automated translation check,Native Speaker,None,Ready
ar_SA,High,Subtitle,RS114,Medium,Automated translation check,Native Speaker,None,Ready
ar_SA,High,Subtitle,RS115,Medium,Automated translation check,Native Speaker,None,Ready
ar_SA,High,Subtitle,RS116,Medium,Automated translation check,Native Speaker,None,Ready
ar_SA,High,Subtitle,RS117,Medium,Automated translation check,Native Speaker,None,Ready
ar_SA,High,Subtitle,RS118,Medium,Automated translation check,Native Speaker,None,Ready
ar_SA,High,Subtitle,RS119,Medium,Automated translation check,Native Speaker,None,Ready
ar_SA,High,Subtitle,RS120,Medium,Automated translation check,Native Speaker,None,Ready
ar_SA,High,Subtitle,RS121,Medium,Automated translation check,Native Speaker,None,Ready
ar_SA,High,Subtitle,RS122,Medium,Automated translation check,Native Speaker,None,Ready
ar_SA,High,Subtitle,RS123,Medium,Automated translation check,Native Speaker,None,Ready
ar_SA,High,Subtitle,RS124,Medium,Automated translation check,Native Speaker,None,Ready
de_DE,High,Subtitle,RS113,Medium,Automated translation check,Native Speaker,None,Ready
de_DE,High,Subtitle,RS114,Medium,Automated translation check,Native Speaker,None,Ready
de_DE,High,Subtitle,RS115,Medium,Automated translation check,Native Speaker,None,Ready
de_DE,High,Subtitle,RS116,Medium,Automated translation check,Native Speaker,None,Ready
de_DE,High,Subtitle,RS117,Medium,Automated translation check,Native Speaker,None,Ready
de_DE,High,Subtitle,RS118,Medium,Automated translation check,Native Speaker,None,Ready
de_DE,High,Subtitle,RS119,Medium,Automated translation check,Native Speaker,None,Ready
de_DE,High,Subtitle,RS120,Medium,Automated translation check,Native Speaker,None,Ready
de_DE,High,Subtitle,RS121,Medium,Automated translation check,Native Speaker,None,Ready
de_DE,High,Subtitle,RS122,Medium,Automated translation check,Native Speaker,None,Ready
de_DE,High,Subtitle,RS123,Medium,Automated translation check,Native Speaker,None,Ready
de_DE,High,Subtitle,RS124,Medium,Automated translation check,Native Speaker,None,Ready
es_ES,High,Subtitle,RS113,Medium,Automated translation check,Native Speaker,None,Ready
es_ES,High,Subtitle,RS114,Medium,Automated translation check,Native Speaker,None,Ready
es_ES,High,Subtitle,RS115,Medium,Automated translation check,Native Speaker,None,Ready
es_ES,High,Subtitle,RS116,Medium,Automated translation check,Native Speaker,None,Ready
es_ES,High,Subtitle,RS117,Medium,Automated translation check,Native Speaker,None,Ready
es_ES,High,Subtitle,RS118,Medium,Automated translation check,Native Speaker,None,Ready
es_ES,High,Subtitle,RS119,Medium,Automated translation check,Native Speaker,None,Ready
es_ES,High,Subtitle,RS120,Medium,Automated translation check,Native Speaker,None,Ready
es_ES,High,Subtitle,RS121,Medium,Automated translation check,Native Speaker,None,Ready
es_ES,High,Subtitle,RS122,Medium,Automated translation check,Native Speaker,None,Ready
es_ES,High,Subtitle,RS123,Medium,Automated translation check,Native Speaker,None,Ready
es_ES,High,Subtitle,RS124,Medium,Automated translation check,Native Speaker,None,Ready
fr_FR,High,Subtitle,RS113,Medium,Automated translation check,Native Speaker,None,Ready
fr_FR,High,Subtitle,RS114,Medium,Automated translation check,Native Speaker,None,Ready
fr_FR,High,Subtitle,RS115,Medium,Automated translation check,Native Speaker,None,Ready
fr_FR,High,Subtitle,RS116,Medium,Automated translation check,Native Speaker,None,Ready
fr_FR,High,Subtitle,RS117,Medium,Automated translation check,Native Speaker,None,Ready
fr_FR,High,Subtitle,RS118,Medium,Automated translation check,Native Speaker,None,Ready
fr_FR,High,Subtitle,RS119,Medium,Automated translation check,Native Speaker,None,Ready
fr_FR,High,Subtitle,RS120,Medium,Automated translation check,Native Speaker,None,Ready
fr_FR,High,Subtitle,RS121,Medium,Automated translation check,Native Speaker,None,Ready
fr_FR,High,Subtitle,RS122,Medium,Automated translation check,Native Speaker,None,Ready
fr_FR,High,Subtitle,RS123,Medium,Automated translation check,Native Speaker,None,Ready
fr_FR,High,Subtitle,RS124,Medium,Automated translation check,Native Speaker,None,Ready
he_IL,High,Subtitle,RS113,Medium,Automated translation check,Native Speaker,None,Ready
he_IL,High,Subtitle,RS114,Medium,Automated translation check,Native Speaker,None,Ready
he_IL,High,Subtitle,RS115,Medium,Automated translation check,Native Speaker,None,Ready
he_IL,High,Subtitle,RS116,Medium,Automated translation check,Native Speaker,None,Ready
he_IL,High,Subtitle,RS117,Medium,Automated translation check,Native Speaker,None,Ready
he_IL,High,Subtitle,RS118,Medium,Automated translation check,Native Speaker,None,Ready
he_IL,High,Subtitle,RS119,Medium,Automated translation check,Native Speaker,None,Ready
he_IL,High,Subtitle,RS120,Medium,Automated translation check,Native Speaker,None,Ready
he_IL,High,Subtitle,RS121,Medium,Automated translation check,Native Speaker,None,Ready
he_IL,High,Subtitle,RS122,Medium,Automated translation check,Native Speaker,None,Ready
he_IL,High,Subtitle,RS123,Medium,Automated translation check,Native Speaker,None,Ready
he_IL,High,Subtitle,RS124,Medium,Automated translation check,Native Speaker,None,Ready
id_ID,High,Subtitle,RS113,Medium,Automated translation check,Native Speaker,None,Ready
id_ID,High,Subtitle,RS114,Medium,Automated translation check,Native Speaker,None,Ready
id_ID,High,Subtitle,RS115,Medium,Automated translation check,Native Speaker,None,Ready
id_ID,High,Subtitle,RS116,Medium,Automated translation check,Native Speaker,None,Ready
id_ID,High,Subtitle,RS117,Medium,Automated translation check,Native Speaker,None,Ready
id_ID,High,Subtitle,RS118,Medium,Automated translation check,Native Speaker,None,Ready
id_ID,High,Subtitle,RS119,Medium,Automated translation check,Native Speaker,None,Ready
id_ID,High,Subtitle,RS120,Medium,Automated translation check,Native Speaker,None,Ready
id_ID,High,Subtitle,RS121,Medium,Automated translation check,Native Speaker,None,Ready
id_ID,High,Subtitle,RS122,Medium,Automated translation check,Native Speaker,None,Ready
id_ID,High,Subtitle,RS123,Medium,Automated translation check,Native Speaker,None,Ready
id_ID,High,Subtitle,RS124,Medium,Automated translation check,Native Speaker,None,Ready
ja_JP,High,Subtitle,RS113,Medium,Automated translation check,Native Speaker,None,Ready
ja_JP,High,Subtitle,RS114,Medium,Automated translation check,Native Speaker,None,Ready
ja_JP,High,Subtitle,RS115,Medium,Automated translation check,Native Speaker,None,Ready
ja_JP,High,Subtitle,RS116,Medium,Automated translation check,Native Speaker,None,Ready
ja_JP,High,Subtitle,RS117,Medium,Automated translation check,Native Speaker,None,Ready
ja_JP,High,Subtitle,RS118,Medium,Automated translation check,Native Speaker,None,Ready
ja_JP,High,Subtitle,RS119,Medium,Automated translation check,Native Speaker,None,Ready
ja_JP,High,Subtitle,RS120,Medium,Automated translation check,Native Speaker,None,Ready
ja_JP,High,Subtitle,RS121,Medium,Automated translation check,Native Speaker,None,Ready
ja_JP,High,Subtitle,RS122,Medium,Automated translation check,Native Speaker,None,Ready
ja_JP,High,Subtitle,RS123,Medium,Automated translation check,Native Speaker,None,Ready
ja_JP,High,Subtitle,RS124,Medium,Automated translation check,Native Speaker,None,Ready
ko_KR,High,Subtitle,RS113,Medium,Automated translation check,Native Speaker,None,Ready
ko_KR,High,Subtitle,RS114,Medium,Automated translation check,Native Speaker,None,Ready
ko_KR,High,Subtitle,RS115,Medium,Automated translation check,Native Speaker,None,Ready
ko_KR,High,Subtitle,RS116,Medium,Automated translation check,Native Speaker,None,Ready
ko_KR,High,Subtitle,RS117,Medium,Automated translation check,Native Speaker,None,Ready
ko_KR,High,Subtitle,RS118,Medium,Automated translation check,Native Speaker,None,Ready
ko_KR,High,Subtitle,RS119,Medium,Automated translation check,Native Speaker,None,Ready
ko_KR,High,Subtitle,RS120,Medium,Automated translation check,Native Speaker,None,Ready
ko_KR,High,Subtitle,RS121,Medium,Automated translation check,Native Speaker,None,Ready
ko_KR,High,Subtitle,RS122,Medium,Automated translation check,Native Speaker,None,Ready
ko_KR,High,Subtitle,RS123,Medium,Automated translation check,Native Speaker,None,Ready
ko_KR,High,Subtitle,RS124,Medium,Automated translation check,Native Speaker,None,Ready
nl_NL,High,Subtitle,RS113,Medium,Automated translation check,Native Speaker,None,Ready
nl_NL,High,Subtitle,RS114,Medium,Automated translation check,Native Speaker,None,Ready
nl_NL,High,Subtitle,RS115,Medium,Automated translation check,Native Speaker,None,Ready
nl_NL,High,Subtitle,RS116,Medium,Automated translation check,Native Speaker,None,Ready
nl_NL,High,Subtitle,RS117,Medium,Automated translation check,Native Speaker,None,Ready
nl_NL,High,Subtitle,RS118,Medium,Automated translation check,Native Speaker,None,Ready
nl_NL,High,Subtitle,RS119,Medium,Automated translation check,Native Speaker,None,Ready
nl_NL,High,Subtitle,RS120,Medium,Automated translation check,Native Speaker,None,Ready
nl_NL,High,Subtitle,RS121,Medium,Automated translation check,Native Speaker,None,Ready
nl_NL,High,Subtitle,RS122,Medium,Automated translation check,Native Speaker,None,Ready
nl_NL,High,Subtitle,RS123,Medium,Automated translation check,Native Speaker,None,Ready
nl_NL,High,Subtitle,RS124,Medium,Automated translation check,Native Speaker,None,Ready
pl_PL,High,Subtitle,RS113,Medium,Automated translation check,Native Speaker,None,Ready
pl_PL,High,Subtitle,RS114,Medium,Automated translation check,Native Speaker,None,Ready
pl_PL,High,Subtitle,RS115,Medium,Automated translation check,Native Speaker,None,Ready
pl_PL,High,Subtitle,RS116,Medium,Automated translation check,Native Speaker,None,Ready
pl_PL,High,Subtitle,RS117,Medium,Automated translation check,Native Speaker,None,Ready
pl_PL,High,Subtitle,RS118,Medium,Automated translation check,Native Speaker,None,Ready
pl_PL,High,Subtitle,RS119,Medium,Automated translation check,Native Speaker,None,Ready
pl_PL,High,Subtitle,RS120,Medium,Automated translation check,Native Speaker,None,Ready
pl_PL,High,Subtitle,RS121,Medium,Automated translation check,Native Speaker,None,Ready
pl_PL,High,Subtitle,RS122,Medium,Automated translation check,Native Speaker,None,Ready
pl_PL,High,Subtitle,RS123,Medium,Automated translation check,Native Speaker,None,Ready
pl_PL,High,Subtitle,RS124,Medium,Automated translation check,Native Speaker,None,Ready
pt_BR,High,Subtitle,RS113,Medium,Automated translation check,Native Speaker,None,Ready
pt_BR,High,Subtitle,RS114,Medium,Automated translation check,Native Speaker,None,Ready
pt_BR,High,Subtitle,RS115,Medium,Automated translation check,Native Speaker,None,Ready
pt_BR,High,Subtitle,RS116,Medium,Automated translation check,Native Speaker,None,Ready
pt_BR,High,Subtitle,RS117,Medium,Automated translation check,Native Speaker,None,Ready
pt_BR,High,Subtitle,RS118,Medium,Automated translation check,Native Speaker,None,Ready
pt_BR,High,Subtitle,RS119,Medium,Automated translation check,Native Speaker,None,Ready
pt_BR,High,Subtitle,RS120,Medium,Automated translation check,Native Speaker,None,Ready
pt_BR,High,Subtitle,RS121,Medium,Automated translation check,Native Speaker,None,Ready
pt_BR,High,Subtitle,RS122,Medium,Automated translation check,Native Speaker,None,Ready
pt_BR,High,Subtitle,RS123,Medium,Automated translation check,Native Speaker,None,Ready
pt_BR,High,Subtitle,RS124,Medium,Automated translation check,Native Speaker,None,Ready
ru_RU,High,Subtitle,RS113,Medium,Automated translation check,Native Speaker,None,Ready
ru_RU,High,Subtitle,RS114,Medium,Automated translation check,Native Speaker,None,Ready
ru_RU,High,Subtitle,RS115,Medium,Automated translation check,Native Speaker,None,Ready
ru_RU,High,Subtitle,RS116,Medium,Automated translation check,Native Speaker,None,Ready
ru_RU,High,Subtitle,RS117,Medium,Automated translation check,Native Speaker,None,Ready
ru_RU,High,Subtitle,RS118,Medium,Automated translation check,Native Speaker,None,Ready
ru_RU,High,Subtitle,RS119,Medium,Automated translation check,Native Speaker,None,Ready
ru_RU,High,Subtitle,RS120,Medium,Automated translation check,Native Speaker,None,Ready
ru_RU,High,Subtitle,RS121,Medium,Automated translation check,Native Speaker,None,Ready
ru_RU,High,Subtitle,RS122,Medium,Automated translation check,Native Speaker,None,Ready
ru_RU,High,Subtitle,RS123,Medium,Automated translation check,Native Speaker,None,Ready
ru_RU,High,Subtitle,RS124,Medium,Automated translation check,Native Speaker,None,Ready
uk_UA,High,Subtitle,RS113,Medium,Automated translation check,Native Speaker,None,Ready
uk_UA,High,Subtitle,RS114,Medium,Automated translation check,Native Speaker,None,Ready
uk_UA,High,Subtitle,RS115,Medium,Automated translation check,Native Speaker,None,Ready
uk_UA,High,Subtitle,RS116,Medium,Automated translation check,Native Speaker,None,Ready
uk_UA,High,Subtitle,RS117,Medium,Automated translation check,Native Speaker,None,Ready
uk_UA,High,Subtitle,RS118,Medium,Automated translation check,Native Speaker,None,Ready
uk_UA,High,Subtitle,RS119,Medium,Automated translation check,Native Speaker,None,Ready
uk_UA,High,Subtitle,RS120,Medium,Automated translation check,Native Speaker,None,Ready
uk_UA,High,Subtitle,RS121,Medium,Automated translation check,Native Speaker,None,Ready
