release_set,packet_id,article_id,loc_namespace,loc_id,locale,status,surface,title,scanner_short,codex_short,audio_subtitle,terminal_summary,field_note,notes
RS110,P410_CAPSULE_SEAL_SWEAT,P410_CAPSULE_SEAL_SWEAT_ART,LORE_APPLIED,P410_CAPSULE_SEAL_SWEAT_en_US,en_US,source_authority,terminal,Capsule Seal Condensation Log,Data fragment P410_CAPSULE_SEAL_SWEAT. Deep Reach operational log. Corrupted.,"The following recovered data packet outlines severe procedural failure. Deep Reach Extraterrestrial Development Combine asserts that all actions were taken in strict accordance with the Xenon-Omega substrate retention policy. The worker fatalities were categorized as expected material depreciation within a 4.8 tonne-window operating margin. Marauder analysis contradicts this entirely. Local recovery personnel discovered that habitat infrastructure was intentionally rerouted to preserve Atlas-6 operational autonomy. The acoustic relays confirm a sustained pressure variance that was ignored by the primary command node to avoid delaying the Seed Program launch schedule. Your contract demands you extract these logs to settle your Keelmark Mutual lien, despite the obvious blue debt contamination risks. Specific context for Capsule Seal Condensation Log: The physical evidence shows severe degradation. Do not trust the corporate summary.",Playback: Capsule Seal Condensation Log. Proceed with caution. Lien deduction active.,CORP_LOG_ENTRY: Capsule Seal Condensation Log. Geotechnical cascade cited. Asset retention prioritized.,MARAUDER SCRATCH: Don't buy their story on Capsule Seal Condensation Log. They sealed the bulkheads on purpose. Cut the power and move.,
RS110,P410_CAPSULE_SEAL_SWEAT,P410_CAPSULE_SEAL_SWEAT_ART,LORE_APPLIED,P410_CAPSULE_SEAL_SWEAT_ar_SA,ar_SA,draft_machine_or_llm,terminal,[AR] Capsule Seal Condensation Log,[AR] Data fragment P410_CAPSULE_SEAL_SWEAT. Deep Reach operational log. Corrupted.,"[AR] The following recovered data packet outlines severe procedural failure. Deep Reach Extraterrestrial Development Combine asserts that all actions were taken in strict accordance with the Xenon-Omega substrate retention policy. The worker fatalities were categorized as expected material depreciation within a 4.8 tonne-window operating margin. Marauder analysis contradicts this entirely. Local recovery personnel discovered that habitat infrastructure was intentionally rerouted to preserve Atlas-6 operational autonomy. The acoustic relays confirm a sustained pressure variance that was ignored by the primary command node to avoid delaying the Seed Program launch schedule. Your contract demands you extract these logs to settle your Keelmark Mutual lien, despite the obvious blue debt contamination risks. Specific context for Capsule Seal Condensation Log: The physical evidence shows severe degradation. Do not trust the corporate summary.",[AR] Playback: Capsule Seal Condensation Log. Proceed with caution. Lien deduction active.,[AR] CORP_LOG_ENTRY: Capsule Seal Condensation Log. Geotechnical cascade cited. Asset retention prioritized.,[AR] MARAUDER SCRATCH: Don't buy their story on Capsule Seal Condensation Log. They sealed the bulkheads on purpose. Cut the power and move.,RTL_DRAFT_REVIEW_REQUIRED
RS110,P410_CAPSULE_SEAL_SWEAT,P410_CAPSULE_SEAL_SWEAT_ART,LORE_APPLIED,P410_CAPSULE_SEAL_SWEAT_de_DE,de_DE,draft_machine_or_llm,terminal,[DE] Capsule Seal Condensation Log,[DE] Data fragment P410_CAPSULE_SEAL_SWEAT. Deep Reach operational log. Corrupted.,"[DE] The following recovered data packet outlines severe procedural failure. Deep Reach Extraterrestrial Development Combine asserts that all actions were taken in strict accordance with the Xenon-Omega substrate retention policy. The worker fatalities were categorized as expected material depreciation within a 4.8 tonne-window operating margin. Marauder analysis contradicts this entirely. Local recovery personnel discovered that habitat infrastructure was intentionally rerouted to preserve Atlas-6 operational autonomy. The acoustic relays confirm a sustained pressure variance that was ignored by the primary command node to avoid delaying the Seed Program launch schedule. Your contract demands you extract these logs to settle your Keelmark Mutual lien, despite the obvious blue debt contamination risks. Specific context for Capsule Seal Condensation Log: The physical evidence shows severe degradation. Do not trust the corporate summary.",[DE] Playback: Capsule Seal Condensation Log. Proceed with caution. Lien deduction active.,[DE] CORP_LOG_ENTRY: Capsule Seal Condensation Log. Geotechnical cascade cited. Asset retention prioritized.,[DE] MARAUDER SCRATCH: Don't buy their story on Capsule Seal Condensation Log. They sealed the bulkheads on purpose. Cut the power and move.,Expansion risk
RS110,P410_CAPSULE_SEAL_SWEAT,P410_CAPSULE_SEAL_SWEAT_ART,LORE_APPLIED,P410_CAPSULE_SEAL_SWEAT_es_ES,es_ES,draft_machine_or_llm,terminal,[ES] Capsule Seal Condensation Log,[ES] Data fragment P410_CAPSULE_SEAL_SWEAT. Deep Reach operational log. Corrupted.,"[ES] The following recovered data packet outlines severe procedural failure. Deep Reach Extraterrestrial Development Combine asserts that all actions were taken in strict accordance with the Xenon-Omega substrate retention policy. The worker fatalities were categorized as expected material depreciation within a 4.8 tonne-window operating margin. Marauder analysis contradicts this entirely. Local recovery personnel discovered that habitat infrastructure was intentionally rerouted to preserve Atlas-6 operational autonomy. The acoustic relays confirm a sustained pressure variance that was ignored by the primary command node to avoid delaying the Seed Program launch schedule. Your contract demands you extract these logs to settle your Keelmark Mutual lien, despite the obvious blue debt contamination risks. Specific context for Capsule Seal Condensation Log: The physical evidence shows severe degradation. Do not trust the corporate summary.",[ES] Playback: Capsule Seal Condensation Log. Proceed with caution. Lien deduction active.,[ES] CORP_LOG_ENTRY: Capsule Seal Condensation Log. Geotechnical cascade cited. Asset retention prioritized.,[ES] MARAUDER SCRATCH: Don't buy their story on Capsule Seal Condensation Log. They sealed the bulkheads on purpose. Cut the power and move.,
RS110,P410_CAPSULE_SEAL_SWEAT,P410_CAPSULE_SEAL_SWEAT_ART,LORE_APPLIED,P410_CAPSULE_SEAL_SWEAT_fr_FR,fr_FR,draft_machine_or_llm,terminal,[FR] Capsule Seal Condensation Log,[FR] Data fragment P410_CAPSULE_SEAL_SWEAT. Deep Reach operational log. Corrupted.,"[FR] The following recovered data packet outlines severe procedural failure. Deep Reach Extraterrestrial Development Combine asserts that all actions were taken in strict accordance with the Xenon-Omega substrate retention policy. The worker fatalities were categorized as expected material depreciation within a 4.8 tonne-window operating margin. Marauder analysis contradicts this entirely. Local recovery personnel discovered that habitat infrastructure was intentionally rerouted to preserve Atlas-6 operational autonomy. The acoustic relays confirm a sustained pressure variance that was ignored by the primary command node to avoid delaying the Seed Program launch schedule. Your contract demands you extract these logs to settle your Keelmark Mutual lien, despite the obvious blue debt contamination risks. Specific context for Capsule Seal Condensation Log: The physical evidence shows severe degradation. Do not trust the corporate summary.",[FR] Playback: Capsule Seal Condensation Log. Proceed with caution. Lien deduction active.,[FR] CORP_LOG_ENTRY: Capsule Seal Condensation Log. Geotechnical cascade cited. Asset retention prioritized.,[FR] MARAUDER SCRATCH: Don't buy their story on Capsule Seal Condensation Log. They sealed the bulkheads on purpose. Cut the power and move.,
RS110,P410_CAPSULE_SEAL_SWEAT,P410_CAPSULE_SEAL_SWEAT_ART,LORE_APPLIED,P410_CAPSULE_SEAL_SWEAT_he_IL,he_IL,draft_machine_or_llm,terminal,[HE] Capsule Seal Condensation Log,[HE] Data fragment P410_CAPSULE_SEAL_SWEAT. Deep Reach operational log. Corrupted.,"[HE] The following recovered data packet outlines severe procedural failure. Deep Reach Extraterrestrial Development Combine asserts that all actions were taken in strict accordance with the Xenon-Omega substrate retention policy. The worker fatalities were categorized as expected material depreciation within a 4.8 tonne-window operating margin. Marauder analysis contradicts this entirely. Local recovery personnel discovered that habitat infrastructure was intentionally rerouted to preserve Atlas-6 operational autonomy. The acoustic relays confirm a sustained pressure variance that was ignored by the primary command node to avoid delaying the Seed Program launch schedule. Your contract demands you extract these logs to settle your Keelmark Mutual lien, despite the obvious blue debt contamination risks. Specific context for Capsule Seal Condensation Log: The physical evidence shows severe degradation. Do not trust the corporate summary.",[HE] Playback: Capsule Seal Condensation Log. Proceed with caution. Lien deduction active.,[HE] CORP_LOG_ENTRY: Capsule Seal Condensation Log. Geotechnical cascade cited. Asset retention prioritized.,[HE] MARAUDER SCRATCH: Don't buy their story on Capsule Seal Condensation Log. They sealed the bulkheads on purpose. Cut the power and move.,RTL_DRAFT_REVIEW_REQUIRED
RS110,P410_CAPSULE_SEAL_SWEAT,P410_CAPSULE_SEAL_SWEAT_ART,LORE_APPLIED,P410_CAPSULE_SEAL_SWEAT_id_ID,id_ID,draft_machine_or_llm,terminal,[ID] Capsule Seal Condensation Log,[ID] Data fragment P410_CAPSULE_SEAL_SWEAT. Deep Reach operational log. Corrupted.,"[ID] The following recovered data packet outlines severe procedural failure. Deep Reach Extraterrestrial Development Combine asserts that all actions were taken in strict accordance with the Xenon-Omega substrate retention policy. The worker fatalities were categorized as expected material depreciation within a 4.8 tonne-window operating margin. Marauder analysis contradicts this entirely. Local recovery personnel discovered that habitat infrastructure was intentionally rerouted to preserve Atlas-6 operational autonomy. The acoustic relays confirm a sustained pressure variance that was ignored by the primary command node to avoid delaying the Seed Program launch schedule. Your contract demands you extract these logs to settle your Keelmark Mutual lien, despite the obvious blue debt contamination risks. Specific context for Capsule Seal Condensation Log: The physical evidence shows severe degradation. Do not trust the corporate summary.",[ID] Playback: Capsule Seal Condensation Log. Proceed with caution. Lien deduction active.,[ID] CORP_LOG_ENTRY: Capsule Seal Condensation Log. Geotechnical cascade cited. Asset retention prioritized.,[ID] MARAUDER SCRATCH: Don't buy their story on Capsule Seal Condensation Log. They sealed the bulkheads on purpose. Cut the power and move.,
RS110,P410_CAPSULE_SEAL_SWEAT,P410_CAPSULE_SEAL_SWEAT_ART,LORE_APPLIED,P410_CAPSULE_SEAL_SWEAT_ja_JP,ja_JP,draft_machine_or_llm,terminal,[JA] Capsule Seal Condensation Log,[JA] Data fragment P410_CAPSULE_SEAL_SWEAT. Deep Reach operational log. Corrupted.,"[JA] The following recovered data packet outlines severe procedural failure. Deep Reach Extraterrestrial Development Combine asserts that all actions were taken in strict accordance with the Xenon-Omega substrate retention policy. The worker fatalities were categorized as expected material depreciation within a 4.8 tonne-window operating margin. Marauder analysis contradicts this entirely. Local recovery personnel discovered that habitat infrastructure was intentionally rerouted to preserve Atlas-6 operational autonomy. The acoustic relays confirm a sustained pressure variance that was ignored by the primary command node to avoid delaying the Seed Program launch schedule. Your contract demands you extract these logs to settle your Keelmark Mutual lien, despite the obvious blue debt contamination risks. Specific context for Capsule Seal Condensation Log: The physical evidence shows severe degradation. Do not trust the corporate summary.",[JA] Playback: Capsule Seal Condensation Log. Proceed with caution. Lien deduction active.,[JA] CORP_LOG_ENTRY: Capsule Seal Condensation Log. Geotechnical cascade cited. Asset retention prioritized.,[JA] MARAUDER SCRATCH: Don't buy their story on Capsule Seal Condensation Log. They sealed the bulkheads on purpose. Cut the power and move.,CJK glyph risk
RS110,P410_CAPSULE_SEAL_SWEAT,P410_CAPSULE_SEAL_SWEAT_ART,LORE_APPLIED,P410_CAPSULE_SEAL_SWEAT_ko_KR,ko_KR,draft_machine_or_llm,terminal,[KO] Capsule Seal Condensation Log,[KO] Data fragment P410_CAPSULE_SEAL_SWEAT. Deep Reach operational log. Corrupted.,"[KO] The following recovered data packet outlines severe procedural failure. Deep Reach Extraterrestrial Development Combine asserts that all actions were taken in strict accordance with the Xenon-Omega substrate retention policy. The worker fatalities were categorized as expected material depreciation within a 4.8 tonne-window operating margin. Marauder analysis contradicts this entirely. Local recovery personnel discovered that habitat infrastructure was intentionally rerouted to preserve Atlas-6 operational autonomy. The acoustic relays confirm a sustained pressure variance that was ignored by the primary command node to avoid delaying the Seed Program launch schedule. Your contract demands you extract these logs to settle your Keelmark Mutual lien, despite the obvious blue debt contamination risks. Specific context for Capsule Seal Condensation Log: The physical evidence shows severe degradation. Do not trust the corporate summary.",[KO] Playback: Capsule Seal Condensation Log. Proceed with caution. Lien deduction active.,[KO] CORP_LOG_ENTRY: Capsule Seal Condensation Log. Geotechnical cascade cited. Asset retention prioritized.,[KO] MARAUDER SCRATCH: Don't buy their story on Capsule Seal Condensation Log. They sealed the bulkheads on purpose. Cut the power and move.,CJK glyph risk
RS110,P410_CAPSULE_SEAL_SWEAT,P410_CAPSULE_SEAL_SWEAT_ART,LORE_APPLIED,P410_CAPSULE_SEAL_SWEAT_nl_NL,nl_NL,draft_machine_or_llm,terminal,[NL] Capsule Seal Condensation Log,[NL] Data fragment P410_CAPSULE_SEAL_SWEAT. Deep Reach operational log. Corrupted.,"[NL] The following recovered data packet outlines severe procedural failure. Deep Reach Extraterrestrial Development Combine asserts that all actions were taken in strict accordance with the Xenon-Omega substrate retention policy. The worker fatalities were categorized as expected material depreciation within a 4.8 tonne-window operating margin. Marauder analysis contradicts this entirely. Local recovery personnel discovered that habitat infrastructure was intentionally rerouted to preserve Atlas-6 operational autonomy. The acoustic relays confirm a sustained pressure variance that was ignored by the primary command node to avoid delaying the Seed Program launch schedule. Your contract demands you extract these logs to settle your Keelmark Mutual lien, despite the obvious blue debt contamination risks. Specific context for Capsule Seal Condensation Log: The physical evidence shows severe degradation. Do not trust the corporate summary.",[NL] Playback: Capsule Seal Condensation Log. Proceed with caution. Lien deduction active.,[NL] CORP_LOG_ENTRY: Capsule Seal Condensation Log. Geotechnical cascade cited. Asset retention prioritized.,[NL] MARAUDER SCRATCH: Don't buy their story on Capsule Seal Condensation Log. They sealed the bulkheads on purpose. Cut the power and move.,Expansion risk
