path,extension,bytes,width,height,sha256,group_id,duplicate_kind,same_hash_count,same_basename_count,family_name,family_count,ledger_class,source_policy_flags,duplicate_policy_flags,future_owner_action,evidence_class,status,evidence_boundary
Assets/_Project/_PROLOGUE_CONTENT/Textures/Planets/Clouds/GASgIANT/Aegir_storms.png,png,356896,4096,2048,0880e00115a94f54a3e57e859135d26cd57b8d802ff634c12bc16e316725ec60,HASH_0880e00115a9,EXACT_HASH|SAME_BASENAME|FAMILY_NAME,2,2,aegir_storms,2,sky_aegir_cloud,HERO_SCALE_PIXELS|STATIC_META_STREAMING_MIPS_OFF_WORLD_RISK,EXACT_DUPLICATE_BYTES|SAME_BASENAME_REVIEW|HERO_SCALE_DUPLICATE_CONTEXT|STREAMING_MIP_CONTEXT,READBACK_BEFORE_DELETE_OR_PROMOTION,STATIC_HASH_SCAN,PENDING_VERIFICATION,HASH_AND_NAME_ONLY_NOT_VISUAL_OR_IMPORT_PROOF
Assets/_Project/_PROLOGUE_CONTENT/Textures/Planets/Clouds/GASgIANT/clouds.png,png,3012389,4096,2048,6e33ec3013653c526040cab11e8f13e920ccbbce6badde81df5c4ddfbdb2929a,HASH_6e33ec301365,EXACT_HASH|SAME_BASENAME|FAMILY_NAME,2,2,clouds,5,sky_aegir_cloud,HERO_SCALE_PIXELS|STATIC_META_STREAMING_MIPS_OFF_WORLD_RISK,EXACT_DUPLICATE_BYTES|SAME_BASENAME_REVIEW|HERO_SCALE_DUPLICATE_CONTEXT|STREAMING_MIP_CONTEXT,READBACK_BEFORE_DELETE_OR_PROMOTION,STATIC_HASH_SCAN,PENDING_VERIFICATION,HASH_AND_NAME_ONLY_NOT_VISUAL_OR_IMPORT_PROOF
Assets/_Project/_PROLOGUE_CONTENT/Textures/Planets/Clouds/GASgIANT/clouds0_diff.png,png,10991664,4096,2048,60bc2d9d063c6e17b1f1f14a46668d10f29553425886abf2c3a003afa2afbcc1,HASH_60bc2d9d063c,EXACT_HASH|SAME_BASENAME|FAMILY_NAME,2,3,clouds,5,sky_aegir_cloud,HERO_SCALE_PIXELS|SOURCE_GT8MB|STATIC_META_STREAMING_MIPS_OFF_WORLD_RISK,EXACT_DUPLICATE_BYTES|SAME_BASENAME_REVIEW|HERO_SCALE_DUPLICATE_CONTEXT|STREAMING_MIP_CONTEXT,READBACK_BEFORE_DELETE_OR_PROMOTION,STATIC_HASH_SCAN,PENDING_VERIFICATION,HASH_AND_NAME_ONLY_NOT_VISUAL_OR_IMPORT_PROOF
Assets/_Project/_PROLOGUE_CONTENT/Textures/Planets/pLANET/clouds0_diff.png,png,7351608,4096,2048,191d797148e5e37f4e74336d821e45575988a517e1a4e272b7e01985c54d4daf,BASE_clouds0_diff,SAME_BASENAME|FAMILY_NAME,1,3,clouds,5,sky_aegir_cloud,HERO_SCALE_PIXELS|STATIC_META_STREAMING_MIPS_OFF_WORLD_RISK,SAME_BASENAME_REVIEW|FAMILY_ROUTE_REVIEW|HERO_SCALE_DUPLICATE_CONTEXT|STREAMING_MIP_CONTEXT,READBACK_BEFORE_DELETE_OR_PROMOTION,STATIC_HASH_SCAN,PENDING_VERIFICATION,HASH_AND_NAME_ONLY_NOT_VISUAL_OR_IMPORT_PROOF
Assets/_Project/_PROLOGUE_CONTENT/Textures/Planets/pLANET/surface_bump.png,png,476749,4096,2048,60165f769666a3cd42d5ba8d36cca484255656f3b82a8b0a2b8d1216405dc55e,UNIQUE_5,UNIQUE,1,1,surface_bump,1,sky_aegir_cloud,HERO_SCALE_PIXELS|STATIC_META_STREAMING_MIPS_OFF_WORLD_RISK,HERO_SCALE_DUPLICATE_CONTEXT|STREAMING_MIP_CONTEXT,NO_DUPLICATE_ACTION_FROM_HASH_ONLY,STATIC_HASH_SCAN,PENDING_VERIFICATION,HASH_AND_NAME_ONLY_NOT_VISUAL_OR_IMPORT_PROOF
Assets/_Project/_PROLOGUE_CONTENT/Textures/Planets/pLANET/surface_diff.png,png,1355342,4096,2048,4c554afd6cb55b47396808d7a7d0937c76395c5250bd09d03e21652b3392fd1b,UNIQUE_6,UNIQUE,1,1,surface_diff,1,sky_aegir_cloud,HERO_SCALE_PIXELS|STATIC_META_STREAMING_MIPS_OFF_WORLD_RISK,HERO_SCALE_DUPLICATE_CONTEXT|STREAMING_MIP_CONTEXT,NO_DUPLICATE_ACTION_FROM_HASH_ONLY,STATIC_HASH_SCAN,PENDING_VERIFICATION,HASH_AND_NAME_ONLY_NOT_VISUAL_OR_IMPORT_PROOF
Assets/_Project/_PROLOGUE_CONTENT/Textures/Planets/pLANET/surface_norm.png,png,1074719,4096,2048,17890eb1ddfcc75d7708a04f6f5a08c9f2e3c7d970ecb53a9eee65bbdd5a01c1,UNIQUE_7,UNIQUE,1,1,surface_norm,1,sky_aegir_cloud,HERO_SCALE_PIXELS|STATIC_META_SRGB_RISK_FOR_NONCOLOR_NAME|STATIC_META_STREAMING_MIPS_OFF_WORLD_RISK,HERO_SCALE_DUPLICATE_CONTEXT|STREAMING_MIP_CONTEXT,NO_DUPLICATE_ACTION_FROM_HASH_ONLY,STATIC_HASH_SCAN,PENDING_VERIFICATION,HASH_AND_NAME_ONLY_NOT_VISUAL_OR_IMPORT_PROOF
Assets/_Project/_PROLOGUE_CONTENT/Textures/Planets/pLANET/surface_spec.png,png,184349,4096,2048,2929f780a07d31f8773c647086b23964e0333c7799be1ad033c56bcc99fa0f05,UNIQUE_8,UNIQUE,1,1,surface_spec,1,sky_aegir_cloud,HERO_SCALE_PIXELS|STATIC_META_STREAMING_MIPS_OFF_WORLD_RISK,HERO_SCALE_DUPLICATE_CONTEXT|STREAMING_MIP_CONTEXT,NO_DUPLICATE_ACTION_FROM_HASH_ONLY,STATIC_HASH_SCAN,PENDING_VERIFICATION,HASH_AND_NAME_ONLY_NOT_VISUAL_OR_IMPORT_PROOF
Assets/_Project/Art/Models/Rocks/Rock 6/rock6/Mossy_Forest_Rock_vimrfjsaw_Mid_2K_AO.jpg,jpg,2045437,2048,2048,5dd1b6edf5459cb64f2afe78883547df8b0ca856a6c3e9c7ce73a3bcd73e68e0,FAMILY_mossy_forest_rock_vimrfjsaw_mid_2k,FAMILY_NAME,1,1,mossy_forest_rock_vimrfjsaw_mid_2k,3,terrain_geology,NONE,FAMILY_ROUTE_REVIEW,READBACK_BEFORE_DELETE_OR_PROMOTION,STATIC_HASH_SCAN,PENDING_VERIFICATION,HASH_AND_NAME_ONLY_NOT_VISUAL_OR_IMPORT_PROOF
Assets/_Project/Art/Models/Rocks/Rock 6/rock6/Mossy_Forest_Rock_vimrfjsaw_Mid_2K_BaseColor.jpg,jpg,2030319,2048,2048,15173168de7240cb69e61da8dbc6bd521a81b3b286dd99ad822ee996c6aada54,FAMILY_mossy_forest_rock_vimrfjsaw_mid_2k,FAMILY_NAME,1,1,mossy_forest_rock_vimrfjsaw_mid_2k,3,terrain_geology,NONE,FAMILY_ROUTE_REVIEW,READBACK_BEFORE_DELETE_OR_PROMOTION,STATIC_HASH_SCAN,PENDING_VERIFICATION,HASH_AND_NAME_ONLY_NOT_VISUAL_OR_IMPORT_PROOF
