"DecisionId","Priority","CueLayer","RepresentativeSources","MixPosition","OwnerRoute","RequiredProof","RejectIf","LowConsequence","MiddleConsequence","HighConsequence","UltraConsequence","Status"
"AUDMIX-01","P0","Warnings and critical UI","oxygen pressure damage threat sonar tool UI alerts","Absolute priority over beds loops and stingers","ASSET_OWNER_10; ASSET_OWNER_17; ASSET_OWNER_23; ASSET_OWNER_28","Runtime overlap capture; ducking proof; UI route proof; 0 B/frame proof; listening notes","Any bed loop music or stinger masks a player decision cue","Keep warning/UI cues dominant with minimal ambience","Admit ambience only after ducking proof","Add richer beds only after warning priority survives","Dense mix only after warning priority is proven stable","PENDING_RUNTIME_PROOF"
"AUDMIX-02","P0","Breath loop","Assets/_Project/Audio/Breathing/breathing breath in and out 1.mp3","Player-body continuity under warnings but above ambience and music","ASSET_OWNER_23; ASSET_OWNER_28","Import readback; loop edit or level proof; suit-route listening pass; 0 B/frame proof","Peak-hot loop masks warnings; generic SFX import; audible loop seam","Keep breath clear but controlled","Admit player-loop route after import and ducking proof","Add richer suit-body detail after proof","High-detail body loop only if warnings stay readable","PENDING_RUNTIME_PROOF"
"AUDMIX-03","P0","Suit interior bed","Assets/_Project/Audio/Breathing/inside suit sounds (too loud).wav","Below warnings and breath; above external ambience only when needed","ASSET_OWNER_23; ASSET_OWNER_28","Ducking proof; first-exit listening pass; import readback; active owner route","Still too loud; constant blanket; no player-body owner route","Keep minimal or muted","Admit after ducking proof","Add interior texture after cue priority proof","Richer suit bed only without masking","PENDING_RUNTIME_PROOF"
"AUDMIX-04","P0","Direct player ambience","Assets/_Project/Audio/Underwater Ambient.wav","Below player loops and warnings; never unmanaged direct prefab bed","ASSET_OWNER_08; ASSET_OWNER_23; ASSET_OWNER_28","Prefab readback; lifecycle owner; load/release proof; listening notes; memory proof","Long unmanaged direct ref remains; masks warnings or breath; no release owner","Disable broad ambience until owned","Admit one owned ambience after proof","Add transition layer after lifecycle proof","Extra layers only with release and warning proof","PENDING_RUNTIME_PROOF"
"AUDMIX-05","P0","Dive and water-entry SFX","Assets/_Project/Audio/Movement/dive_splash.wav","Short player action cue above ambience and music","ASSET_OWNER_08; ASSET_OWNER_23; ASSET_OWNER_28","Source-cleared prefab ref readback; low-latency playback or absence proof; 0 B/frame proof","Removal/replacement unexplained; playback allocates; cue buried by bed","Keep immediate and cheap","Admit after owner route proof","Layer stronger entry detail after proof","Extra layering only without GC or latency regression","PENDING_RUNTIME_PROOF"
"AUDMIX-06","P1","Swim surface motion","Assets/_Project/Audio/Movement/swimming -onwater.wav","Motion feedback above decorative beds but below warnings and breath","ASSET_OWNER_23; ASSET_OWNER_28","Latency/start proof; loop continuity; import exception decision; listening notes","Start jitter; inaudible motion feedback; streamed generic SFX","Use minimal motion feedback","Admit after latency proof","Layer water movement detail after proof","Extra detail only with memory and GC proof","PENDING_RUNTIME_PROOF"
"AUDMIX-07","P1","Route ambience bed","Assets/_Project/Audio/Atmos 1 Loop.wav; Assets/_Project/Audio/Ambient/spaceship sounds - ambient.mp3","Below player loops and warnings; active-bank limited","ASSET_OWNER_23; ASSET_OWNER_28","Active-bank budget; warning ducking proof; memory proof; listening notes","Masks first-exit/shallow cues; always-on blanket; unclear route identity","Keep ambience sparse and silence-biased","Admit one owned bank after proof","Add environmental richness after priority proof","Dense ambience only with bank and ducking proof","PENDING_RUNTIME_PROOF"
"AUDMIX-08","P1","MusicDirector long beds","Assets/_Project/Audio/Music for Game/shelf_1_Abandoned Depths.ogg; abyss_3_Deep Trench Drone.ogg","Below player loops warnings and route ambience windows; silence windows required","ASSET_OWNER_10; ASSET_OWNER_23; ASSET_OWNER_28","Mixer route proof; MusicDirector runtime capture; pause/window proof; memory proof","Constant loud bed; wrong route tension; no silence windows; null mixer route","Stream current context only after route closure","Prefetch likely next context after proof","Add smoother transitions after cadence proof","Dense music breadth only with cue priority proof","PENDING_RUNTIME_PROOF"
"AUDMIX-09","P1","Stingers","Assets/_Project/Audio/Music for Game/stinger_dangerous_1_Iron_Teeth.ogg","Transient emphasis below warnings and never spammed","ASSET_OWNER_10; ASSET_OWNER_23; ASSET_OWNER_28","Event owner; cooldown; mix priority; warning overlap proof; listening notes","Repeats too often; masks warnings; fires without event owner","Use smallest stinger set with strict cooldown","Add profile subset after proof","Allow broader set after cooldown proof","Dense stinger palette only after priority proof","PENDING_RUNTIME_PROOF"
"AUDMIX-10","P2","UI click and VO stub","Assets/_Project/Audio/UI/click sound.wav; Assets/_Project/Audio/VO/Stubs/VOStub_Chen_Log01_EN.wav","UI must be audible; VO stub remains placeholder","ASSET_OWNER_17; ASSET_OWNER_19; ASSET_OWNER_23; ASSET_OWNER_28","HUD/menu listening pass; UI mix proof; VO placeholder lock; localization/subtitle proof for final VO","UI click inaudible; VO stub treated as final loudness or final localization proof","Keep UI audible and VO placeholder-blocked","Admit UI route after proof","Add UI texture after HUD mix proof","VO polish only with final localization and subtitle proof","PLACEHOLDER_OR_UI_PENDING"
