guid,asset_path,asset_extension,asset_family,owner_scope,file_size_bytes,meta_importer,reference_file_count,reference_token_count,referenced_by_material_files,referenced_by_prefab_files,referenced_by_scene_files,referenced_by_scriptable_asset_files,referenced_by_controller_or_anim_files,first_reference_paths,policy_flags,route_priority,owner_packet_hint,status,evidence_class,evidence_boundary
9b6f9e64950b8fe4da7ee795ca6c1126,Assets/_Project/Data/World/ProceduralFamilies/ProceduralFamily_family_creature_spawn_passive.asset,.asset,scriptable_or_native_asset,FIRST_PARTY_PROJECT,3079,NativeFormatImporter,111,111,0,0,2,109,0,Assets/_Project/Data/Biomes/MatrixProfiles/Biome_001_North_01.asset|Assets/_Project/Data/Biomes/MatrixProfiles/Biome_002_South_01.asset|Assets/_Project/Data/Biomes/MatrixProfiles/Biome_003_East_01.asset|Assets/_Project/Data/Biomes/MatrixProfiles/Biome_004_West_01.asset|Assets/_Project/Data/Biomes/MatrixProfiles/Biome_005_North_02.asset|Assets/_Project/Data/Biomes/MatrixProfiles/Biome_006_South_02.asset,ACTIVE_WORLD_SCENE_REACHABLE|SCENE_REACHABLE|SCRIPTABLE_ASSET_REACHABLE,P0_ACTIVE_ROUTE_REVIEW,ACTIVE_WORLD_READBACK_OWNER,PENDING_VERIFICATION,STATIC_SOURCE,GUID_REFERENCE_ONLY_NO_IMPORT_RUNTIME_VISUAL_OR_AUDIO_PROOF
994c34e41419b1a45a3eb74a4e925628,Assets/_Project/Data/World/ProceduralFamilies/ProceduralFamily_family_rock_small_floor.asset,.asset,scriptable_or_native_asset,FIRST_PARTY_PROJECT,5051,NativeFormatImporter,111,111,0,0,2,109,0,Assets/_Project/Data/Biomes/MatrixProfiles/Biome_001_North_01.asset|Assets/_Project/Data/Biomes/MatrixProfiles/Biome_002_South_01.asset|Assets/_Project/Data/Biomes/MatrixProfiles/Biome_003_East_01.asset|Assets/_Project/Data/Biomes/MatrixProfiles/Biome_004_West_01.asset|Assets/_Project/Data/Biomes/MatrixProfiles/Biome_005_North_02.asset|Assets/_Project/Data/Biomes/MatrixProfiles/Biome_006_South_02.asset,ACTIVE_WORLD_SCENE_REACHABLE|SCENE_REACHABLE|SCRIPTABLE_ASSET_REACHABLE,P0_ACTIVE_ROUTE_REVIEW,ACTIVE_WORLD_READBACK_OWNER,PENDING_VERIFICATION,STATIC_SOURCE,GUID_REFERENCE_ONLY_NO_IMPORT_RUNTIME_VISUAL_OR_AUDIO_PROOF
e41ec1e82ad03624faf4a0a398c3ff6d,Assets/_Project/Data/World/ProceduralFamilies/ProceduralFamily_family_pocket_resource.asset,.asset,scriptable_or_native_asset,FIRST_PARTY_PROJECT,2499,NativeFormatImporter,102,102,0,0,2,100,0,Assets/_Project/Data/Biomes/MatrixProfiles/Biome_002_South_01.asset|Assets/_Project/Data/Biomes/MatrixProfiles/Biome_004_West_01.asset|Assets/_Project/Data/Biomes/MatrixProfiles/Biome_005_North_02.asset|Assets/_Project/Data/Biomes/MatrixProfiles/Biome_006_South_02.asset|Assets/_Project/Data/Biomes/MatrixProfiles/Biome_008_West_02.asset|Assets/_Project/Data/Biomes/MatrixProfiles/Biome_013_North_04.asset,ACTIVE_WORLD_SCENE_REACHABLE|SCENE_REACHABLE|SCRIPTABLE_ASSET_REACHABLE,P0_ACTIVE_ROUTE_REVIEW,ACTIVE_WORLD_READBACK_OWNER,PENDING_VERIFICATION,STATIC_SOURCE,GUID_REFERENCE_ONLY_NO_IMPORT_RUNTIME_VISUAL_OR_AUDIO_PROOF
7f55f400f559cd64fbfe53c760cbf67f,Assets/_Project/Data/World/ProceduralFamilies/ProceduralFamily_family_cave_entrance.asset,.asset,scriptable_or_native_asset,FIRST_PARTY_PROJECT,5350,NativeFormatImporter,95,95,0,0,2,93,0,Assets/_Project/Data/Biomes/MatrixProfiles/Biome_003_East_01.asset|Assets/_Project/Data/Biomes/MatrixProfiles/Biome_004_West_01.asset|Assets/_Project/Data/Biomes/MatrixProfiles/Biome_005_North_02.asset|Assets/_Project/Data/Biomes/MatrixProfiles/Biome_007_East_02.asset|Assets/_Project/Data/Biomes/MatrixProfiles/Biome_008_West_02.asset|Assets/_Project/Data/Biomes/MatrixProfiles/Biome_010_South_03.asset,ACTIVE_WORLD_SCENE_REACHABLE|SCENE_REACHABLE|SCRIPTABLE_ASSET_REACHABLE,P0_ACTIVE_ROUTE_REVIEW,ACTIVE_WORLD_READBACK_OWNER,PENDING_VERIFICATION,STATIC_SOURCE,GUID_REFERENCE_ONLY_NO_IMPORT_RUNTIME_VISUAL_OR_AUDIO_PROOF
78eb1922d7c5fc74eb0be51563fc58fb,Assets/_Project/Data/World/ProceduralFamilies/ProceduralFamily_family_debris_scatter.asset,.asset,scriptable_or_native_asset,FIRST_PARTY_PROJECT,2427,NativeFormatImporter,95,95,0,0,2,93,0,Assets/_Project/Data/Biomes/MatrixProfiles/Biome_003_East_01.asset|Assets/_Project/Data/Biomes/MatrixProfiles/Biome_007_East_02.asset|Assets/_Project/Data/Biomes/MatrixProfiles/Biome_009_North_03.asset|Assets/_Project/Data/Biomes/MatrixProfiles/Biome_010_South_03.asset|Assets/_Project/Data/Biomes/MatrixProfiles/Biome_011_East_03.asset|Assets/_Project/Data/Biomes/MatrixProfiles/Biome_015_East_04.asset,ACTIVE_WORLD_SCENE_REACHABLE|SCENE_REACHABLE|SCRIPTABLE_ASSET_REACHABLE,P0_ACTIVE_ROUTE_REVIEW,ACTIVE_WORLD_READBACK_OWNER,PENDING_VERIFICATION,STATIC_SOURCE,GUID_REFERENCE_ONLY_NO_IMPORT_RUNTIME_VISUAL_OR_AUDIO_PROOF
ad5ca7d3c4eae3041861b15fa48a9ec7,Assets/_Project/Data/World/ProceduralFamilies/ProceduralFamily_family_creature_spawn_predator.asset,.asset,scriptable_or_native_asset,FIRST_PARTY_PROJECT,2632,NativeFormatImporter,91,91,0,0,2,89,0,Assets/_Project/Data/Biomes/MatrixProfiles/Biome_003_East_01.asset|Assets/_Project/Data/Biomes/MatrixProfiles/Biome_007_East_02.asset|Assets/_Project/Data/Biomes/MatrixProfiles/Biome_009_North_03.asset|Assets/_Project/Data/Biomes/MatrixProfiles/Biome_010_South_03.asset|Assets/_Project/Data/Biomes/MatrixProfiles/Biome_011_East_03.asset|Assets/_Project/Data/Biomes/MatrixProfiles/Biome_015_East_04.asset,ACTIVE_WORLD_SCENE_REACHABLE|SCENE_REACHABLE|SCRIPTABLE_ASSET_REACHABLE,P0_ACTIVE_ROUTE_REVIEW,ACTIVE_WORLD_READBACK_OWNER,PENDING_VERIFICATION,STATIC_SOURCE,GUID_REFERENCE_ONLY_NO_IMPORT_RUNTIME_VISUAL_OR_AUDIO_PROOF
46f6128afde1266448f05be291b36efe,Assets/_Project/Data/World/ProceduralFamilies/ProceduralFamily_family_pocket_hazard.asset,.asset,scriptable_or_native_asset,FIRST_PARTY_PROJECT,2569,NativeFormatImporter,91,91,0,0,2,89,0,Assets/_Project/Data/Biomes/MatrixProfiles/Biome_003_East_01.asset|Assets/_Project/Data/Biomes/MatrixProfiles/Biome_007_East_02.asset|Assets/_Project/Data/Biomes/MatrixProfiles/Biome_009_North_03.asset|Assets/_Project/Data/Biomes/MatrixProfiles/Biome_010_South_03.asset|Assets/_Project/Data/Biomes/MatrixProfiles/Biome_011_East_03.asset|Assets/_Project/Data/Biomes/MatrixProfiles/Biome_015_East_04.asset,ACTIVE_WORLD_SCENE_REACHABLE|SCENE_REACHABLE|SCRIPTABLE_ASSET_REACHABLE,P0_ACTIVE_ROUTE_REVIEW,ACTIVE_WORLD_READBACK_OWNER,PENDING_VERIFICATION,STATIC_SOURCE,GUID_REFERENCE_ONLY_NO_IMPORT_RUNTIME_VISUAL_OR_AUDIO_PROOF
ff8b34f9718db3a4f93ea8552b5cbe30,Assets/_Project/Data/World/ProceduralFamilies/ProceduralFamily_family_debris_field.asset,.asset,scriptable_or_native_asset,FIRST_PARTY_PROJECT,2395,NativeFormatImporter,74,74,0,0,2,72,0,Assets/_Project/Data/Biomes/MatrixProfiles/Biome_003_East_01.asset|Assets/_Project/Data/Biomes/MatrixProfiles/Biome_007_East_02.asset|Assets/_Project/Data/Biomes/MatrixProfiles/Biome_009_North_03.asset|Assets/_Project/Data/Biomes/MatrixProfiles/Biome_010_South_03.asset|Assets/_Project/Data/Biomes/MatrixProfiles/Biome_011_East_03.asset|Assets/_Project/Data/Biomes/MatrixProfiles/Biome_015_East_04.asset,ACTIVE_WORLD_SCENE_REACHABLE|SCENE_REACHABLE|SCRIPTABLE_ASSET_REACHABLE,P0_ACTIVE_ROUTE_REVIEW,ACTIVE_WORLD_READBACK_OWNER,PENDING_VERIFICATION,STATIC_SOURCE,GUID_REFERENCE_ONLY_NO_IMPORT_RUNTIME_VISUAL_OR_AUDIO_PROOF
3248410377598bf4b935417906c28fd5,Assets/_Project/Data/World/ProceduralFamilies/ProceduralFamily_family_landmark_spire.asset,.asset,scriptable_or_native_asset,FIRST_PARTY_PROJECT,5282,NativeFormatImporter,74,74,0,0,2,72,0,Assets/_Project/Data/Biomes/MatrixProfiles/Biome_001_North_01.asset|Assets/_Project/Data/Biomes/MatrixProfiles/Biome_002_South_01.asset|Assets/_Project/Data/Biomes/MatrixProfiles/Biome_003_East_01.asset|Assets/_Project/Data/Biomes/MatrixProfiles/Biome_005_North_02.asset|Assets/_Project/Data/Biomes/MatrixProfiles/Biome_006_South_02.asset|Assets/_Project/Data/Biomes/MatrixProfiles/Biome_009_North_03.asset,ACTIVE_WORLD_SCENE_REACHABLE|SCENE_REACHABLE|SCRIPTABLE_ASSET_REACHABLE,P0_ACTIVE_ROUTE_REVIEW,ACTIVE_WORLD_READBACK_OWNER,PENDING_VERIFICATION,STATIC_SOURCE,GUID_REFERENCE_ONLY_NO_IMPORT_RUNTIME_VISUAL_OR_AUDIO_PROOF
723bfa18be2651148ba5aec371fae323,Assets/_Project/Data/World/ProceduralFamilies/ProceduralFamily_family_rock_arch_large.asset,.asset,scriptable_or_native_asset,FIRST_PARTY_PROJECT,5253,NativeFormatImporter,68,68,0,0,2,66,0,Assets/_Project/Data/Biomes/MatrixProfiles/Biome_001_North_01.asset|Assets/_Project/Data/Biomes/MatrixProfiles/Biome_002_South_01.asset|Assets/_Project/Data/Biomes/MatrixProfiles/Biome_003_East_01.asset|Assets/_Project/Data/Biomes/MatrixProfiles/Biome_004_West_01.asset|Assets/_Project/Data/Biomes/MatrixProfiles/Biome_006_South_02.asset|Assets/_Project/Data/Biomes/MatrixProfiles/Biome_007_East_02.asset,ACTIVE_WORLD_SCENE_REACHABLE|SCENE_REACHABLE|SCRIPTABLE_ASSET_REACHABLE,P0_ACTIVE_ROUTE_REVIEW,ACTIVE_WORLD_READBACK_OWNER,PENDING_VERIFICATION,STATIC_SOURCE,GUID_REFERENCE_ONLY_NO_IMPORT_RUNTIME_VISUAL_OR_AUDIO_PROOF
749c8bd2ced6fa043a661fd8c3841898,Assets/_Project/Data/Biomes/FamilyProfiles/BiomeFamilyProfile_biome_family_sediment_drift.asset,.asset,scriptable_or_native_asset,FIRST_PARTY_PROJECT,3442,NativeFormatImporter,57,57,0,0,2,55,0,Assets/_Project/Data/Biomes/MatrixProfiles/Biome_004_West_01.asset|Assets/_Project/Data/Biomes/MatrixProfiles/Biome_008_West_02.asset|Assets/_Project/Data/Biomes/MatrixProfiles/Biome_013_North_04.asset|Assets/_Project/Data/Biomes/MatrixProfiles/Biome_014_South_04.asset|Assets/_Project/Data/Biomes/MatrixProfiles/Biome_024_West_06.asset|Assets/_Project/Data/Biomes/MatrixProfiles/Biome_028_West_07.asset,ACTIVE_WORLD_SCENE_REACHABLE|SCENE_REACHABLE|SCRIPTABLE_ASSET_REACHABLE,P0_ACTIVE_ROUTE_REVIEW,ACTIVE_WORLD_READBACK_OWNER,PENDING_VERIFICATION,STATIC_SOURCE,GUID_REFERENCE_ONLY_NO_IMPORT_RUNTIME_VISUAL_OR_AUDIO_PROOF
6cbd01b092811a34898cf4376bf66851,Assets/_Project/Data/World/ProceduralFamilies/ProceduralFamily_family_ruin_module_single.asset,.asset,scriptable_or_native_asset,FIRST_PARTY_PROJECT,2836,NativeFormatImporter,57,57,0,0,2,55,0,Assets/_Project/Data/Biomes/MatrixProfiles/Biome_004_West_01.asset|Assets/_Project/Data/Biomes/MatrixProfiles/Biome_008_West_02.asset|Assets/_Project/Data/Biomes/MatrixProfiles/Biome_009_North_03.asset|Assets/_Project/Data/Biomes/MatrixProfiles/Biome_013_North_04.asset|Assets/_Project/Data/Biomes/MatrixProfiles/Biome_014_South_04.asset|Assets/_Project/Data/Biomes/MatrixProfiles/Biome_017_North_05.asset,ACTIVE_WORLD_SCENE_REACHABLE|SCENE_REACHABLE|SCRIPTABLE_ASSET_REACHABLE,P0_ACTIVE_ROUTE_REVIEW,ACTIVE_WORLD_READBACK_OWNER,PENDING_VERIFICATION,STATIC_SOURCE,GUID_REFERENCE_ONLY_NO_IMPORT_RUNTIME_VISUAL_OR_AUDIO_PROOF
