path,pack,extension,bytes,file_role,is_image,width,height,mode,has_alpha,probe_status,policy_flags,evidence_boundary
Docs/GeneratedAssets/AssetSystem_20260605/AegirCloudPrototype_20260605/AegirCloudPrototype_MANIFEST_20260605.md,aegir_cloud_prototype,md,1756,MANIFEST_OR_REVIEW_DOC,False,0,0,NOT_IMAGE,False,NOT_IMAGE,NONE,DOCS_GENERATED_SOURCE_ONLY_NOT_ASSETS_IMPORT_OR_VISUAL_PROOF
Docs/GeneratedAssets/AssetSystem_20260605/AegirCloudPrototype_20260605/TX_H8_AegirBand_Albedo_SOURCE_ONLY_NOT_IMPORTED_PENDING_VERIFICATION_20260605.png,aegir_cloud_prototype,png,2547157,SOURCE_ONLY_REFERENCE,True,2048,1024,RGBA,True,OK,NOT_IMPORT_READY,DOCS_GENERATED_SOURCE_ONLY_NOT_ASSETS_IMPORT_OR_VISUAL_PROOF
Docs/GeneratedAssets/AssetSystem_20260605/AegirCloudPrototype_20260605/TX_H8_AegirCloud_Detail_SOURCE_ONLY_NOT_IMPORTED_PENDING_VERIFICATION_20260605.png,aegir_cloud_prototype,png,4999409,SOURCE_ONLY_REFERENCE,True,2048,1024,RGBA,True,OK,NOT_IMPORT_READY,DOCS_GENERATED_SOURCE_ONLY_NOT_ASSETS_IMPORT_OR_VISUAL_PROOF
Docs/GeneratedAssets/AssetSystem_20260605/AegirCloudPrototype_20260605/TX_H8_AegirCloudPrototype_ContactSheet_SOURCE_ONLY_NOT_IMPORTED_PENDING_VERIFICATION_20260605.png,aegir_cloud_prototype,png,1904816,CONTACT_SHEET_SOURCE_ONLY,True,2040,1334,RGB,False,OK,NOT_IMPORT_READY,DOCS_GENERATED_SOURCE_ONLY_NOT_ASSETS_IMPORT_OR_VISUAL_PROOF
Docs/GeneratedAssets/AssetSystem_20260605/AegirCloudPrototype_20260605/TX_H8_AegirStorm_MaskRGBA_SOURCE_ONLY_NOT_IMPORTED_PENDING_VERIFICATION_20260605.png,aegir_cloud_prototype,png,4875410,SOURCE_ONLY_REFERENCE,True,2048,1024,RGBA,True,OK,NOT_IMPORT_READY,DOCS_GENERATED_SOURCE_ONLY_NOT_ASSETS_IMPORT_OR_VISUAL_PROOF
Docs/GeneratedAssets/AssetSystem_20260605/CleanupPass_20260605/AegirCloud_CleanupPass_ContactSheet_SOURCE_ONLY_20260605.png,cleanup_pass,png,590989,CONTACT_SHEET_SOURCE_ONLY,True,1280,794,RGB,False,OK,NOT_IMPORT_READY,DOCS_GENERATED_SOURCE_ONLY_NOT_ASSETS_IMPORT_OR_VISUAL_PROOF
Docs/GeneratedAssets/AssetSystem_20260605/CleanupPass_20260605/CleanupPass_MANIFEST_20260605.md,cleanup_pass,md,3082,MANIFEST_OR_REVIEW_DOC,False,0,0,NOT_IMAGE,False,NOT_IMAGE,NONE,DOCS_GENERATED_SOURCE_ONLY_NOT_ASSETS_IMPORT_OR_VISUAL_PROOF
Docs/GeneratedAssets/AssetSystem_20260605/CleanupPass_20260605/FoamContact_CleanupPass_ContactSheet_SOURCE_ONLY_20260605.png,cleanup_pass,png,839997,CONTACT_SHEET_SOURCE_ONLY,True,1280,794,RGB,False,OK,NOT_IMPORT_READY,DOCS_GENERATED_SOURCE_ONLY_NOT_ASSETS_IMPORT_OR_VISUAL_PROOF
Docs/GeneratedAssets/AssetSystem_20260605/CleanupPass_20260605/generate_cleanup_pass.py,cleanup_pass,py,8677,GENERATOR_SCRIPT_SOURCE_ONLY,False,0,0,NOT_IMAGE,False,NOT_IMAGE,NOT_IMPORT_READY,DOCS_GENERATED_SOURCE_ONLY_NOT_ASSETS_IMPORT_OR_VISUAL_PROOF
Docs/GeneratedAssets/AssetSystem_20260605/CleanupPass_20260605/TX_H8_AegirCloud_CleanedSource_BandAlbedo_20260605.png,cleanup_pass,png,593176,SOURCE_ONLY_REFERENCE,True,1024,512,RGB,False,OK,NOT_IMPORT_READY,DOCS_GENERATED_SOURCE_ONLY_NOT_ASSETS_IMPORT_OR_VISUAL_PROOF
