path,class,extension,bytes,size_mb,width,height,pixels,mode,has_alpha,image_probe_status,has_meta,meta_texture_type,meta_srgb,meta_mipmaps,meta_streaming_mips,meta_read_write,meta_max_texture_size,meta_texture_compression,ledger_status,ledger_class,policy_flags,evidence_boundary
Assets/_Project/_PROLOGUE_CONTENT/Textures/Planets/Clouds/GASgIANT/Aegir_storms.png,sky_aegir_cloud,png,356896,0.340,4096,2048,8388608,RGBA,True,OK,True,0,1,1,0,0,2048,1,MATCHED_TEXTURE_LEDGER,sky_aegir_cloud,HERO_SCALE_PIXELS|STATIC_META_STREAMING_MIPS_OFF_WORLD_RISK,STATIC_SOURCE_META_NOT_UNITY_IMPORT_OR_VISUAL_PROOF
Assets/_Project/_PROLOGUE_CONTENT/Textures/Planets/Clouds/GASgIANT/clouds.png,sky_aegir_cloud,png,3012389,2.873,4096,2048,8388608,L,False,OK,True,0,1,1,0,0,2048,1,MATCHED_TEXTURE_LEDGER,sky_aegir_cloud,HERO_SCALE_PIXELS|STATIC_META_STREAMING_MIPS_OFF_WORLD_RISK,STATIC_SOURCE_META_NOT_UNITY_IMPORT_OR_VISUAL_PROOF
Assets/_Project/_PROLOGUE_CONTENT/Textures/Planets/Clouds/GASgIANT/clouds0_diff.png,sky_aegir_cloud,png,10991664,10.482,4096,2048,8388608,RGBA,True,OK,True,0,1,1,0,0,2048,1,MATCHED_TEXTURE_LEDGER,sky_aegir_cloud,HERO_SCALE_PIXELS|SOURCE_GT8MB|STATIC_META_STREAMING_MIPS_OFF_WORLD_RISK,STATIC_SOURCE_META_NOT_UNITY_IMPORT_OR_VISUAL_PROOF
Assets/_Project/_PROLOGUE_CONTENT/Textures/Planets/pLANET/clouds0_diff.png,sky_aegir_cloud,png,7351608,7.011,4096,2048,8388608,RGBA,True,OK,True,0,1,1,0,0,2048,1,MATCHED_TEXTURE_LEDGER,sky_aegir_cloud,HERO_SCALE_PIXELS|STATIC_META_STREAMING_MIPS_OFF_WORLD_RISK,STATIC_SOURCE_META_NOT_UNITY_IMPORT_OR_VISUAL_PROOF
Assets/_Project/_PROLOGUE_CONTENT/Textures/Planets/pLANET/surface_bump.png,sky_aegir_cloud,png,476749,0.455,4096,2048,8388608,L,False,OK,True,0,1,1,0,0,2048,1,MATCHED_TEXTURE_LEDGER,unknown,HERO_SCALE_PIXELS|STATIC_META_STREAMING_MIPS_OFF_WORLD_RISK,STATIC_SOURCE_META_NOT_UNITY_IMPORT_OR_VISUAL_PROOF
Assets/_Project/_PROLOGUE_CONTENT/Textures/Planets/pLANET/surface_diff.png,sky_aegir_cloud,png,1355342,1.293,4096,2048,8388608,RGB,False,OK,True,0,1,1,0,0,2048,1,MATCHED_TEXTURE_LEDGER,unknown,HERO_SCALE_PIXELS|STATIC_META_STREAMING_MIPS_OFF_WORLD_RISK,STATIC_SOURCE_META_NOT_UNITY_IMPORT_OR_VISUAL_PROOF
Assets/_Project/_PROLOGUE_CONTENT/Textures/Planets/pLANET/surface_norm.png,sky_aegir_cloud,png,1074719,1.025,4096,2048,8388608,RGB,False,OK,True,0,1,1,0,0,2048,1,MATCHED_TEXTURE_LEDGER,unknown,HERO_SCALE_PIXELS|STATIC_META_SRGB_RISK_FOR_NONCOLOR_NAME|STATIC_META_STREAMING_MIPS_OFF_WORLD_RISK,STATIC_SOURCE_META_NOT_UNITY_IMPORT_OR_VISUAL_PROOF
Assets/_Project/_PROLOGUE_CONTENT/Textures/Planets/pLANET/surface_spec.png,sky_aegir_cloud,png,184349,0.176,4096,2048,8388608,L,False,OK,True,0,1,1,0,0,2048,1,MATCHED_TEXTURE_LEDGER,unknown,HERO_SCALE_PIXELS|STATIC_META_STREAMING_MIPS_OFF_WORLD_RISK,STATIC_SOURCE_META_NOT_UNITY_IMPORT_OR_VISUAL_PROOF
Assets/_Project/Art/Models/Rocks/Rock 6/rock6/Mossy_Forest_Rock_vimrfjsaw_Mid_2K_AO.jpg,terrain_geology,jpg,2045437,1.951,2048,2048,4194304,RGB,False,OK,True,0,0,1,1,0,2048,1,MATCHED_TEXTURE_LEDGER,terrain_geology,NONE,STATIC_SOURCE_META_NOT_UNITY_IMPORT_OR_VISUAL_PROOF
Assets/_Project/Art/Models/Rocks/Rock 6/rock6/Mossy_Forest_Rock_vimrfjsaw_Mid_2K_BaseColor.jpg,terrain_geology,jpg,2030319,1.936,2048,2048,4194304,RGB,False,OK,True,0,1,1,1,0,2048,1,MATCHED_TEXTURE_LEDGER,terrain_geology,NONE,STATIC_SOURCE_META_NOT_UNITY_IMPORT_OR_VISUAL_PROOF
Assets/_Project/Art/Models/Rocks/Rock 6/rock6/Mossy_Forest_Rock_vimrfjsaw_Mid_2K_Normal.jpg,terrain_geology,jpg,6889172,6.570,2048,2048,4194304,RGB,False,OK,True,1,0,1,1,0,2048,1,MATCHED_TEXTURE_LEDGER,terrain_geology,NONE,STATIC_SOURCE_META_NOT_UNITY_IMPORT_OR_VISUAL_PROOF
