folder,ledger_rows,classes,total_duration_sec,long_rows_gt10s,streaming_rows,compressed_memory_rows,decompress_on_load_rows,low_quality_rows_below_q70,placeholder_rows,unresolved_owner_rows,unresolved_addressables_rows,direct_prefab_ref_rows,remediation_rows,highest_priority,primary_blocker,next_packet_or_owner
Assets/_Project/Audio,11,ambient:11,1469.000,11,7,4,0,7,0,11,11,2,9,P0,Direct Player.prefab AudioClip refs need lifecycle classification and proof.,ASSET_OWNER_10_MUSICDIRECTOR_AUDIO_ROUTING_PACKET.md / ASSET_OWNER_08_AUDIO_DIRECT_REF_UNWIRING_PACKET.md
Assets/_Project/Audio/Ambient,1,ambient:1,63.336,1,1,0,0,1,0,1,1,0,1,P2,Low Vorbis quality rows conflict with Q70 target or require scoped exception and listening proof.,ASSET_OWNER_10_MUSICDIRECTOR_AUDIO_ROUTING_PACKET.md
Assets/_Project/Audio/Breathing,3,player_loop:3,76.137,1,2,1,0,2,1,3,3,0,0,NONE_STATIC,"Player-loop breath/suit rows need low-latency owner route, placeholder disposition, import exception, warning ducking, and listening proof.",ASSET_OWNER_08_AUDIO_DIRECT_REF_UNWIRING_PACKET.md
Assets/_Project/Audio/Footsteps/Default,4,sfx:4,1.500,0,0,0,4,0,0,4,4,4,4,P1,Direct Player.prefab footstep refs need owner/load/release/playback and no-allocation proof.,ASSET_OWNER_08_AUDIO_DIRECT_REF_UNWIRING_PACKET.md
Assets/_Project/Audio/Footsteps/Metal,4,sfx:4,2.964,0,0,2,2,4,0,4,4,4,4,P1,Direct Player.prefab footstep refs need owner/load/release/playback and no-allocation proof.,ASSET_OWNER_08_AUDIO_DIRECT_REF_UNWIRING_PACKET.md
Assets/_Project/Audio/Footsteps/Rock,4,sfx:4,1.911,0,0,0,4,0,0,4,4,4,4,P1,Direct Player.prefab footstep refs need owner/load/release/playback and no-allocation proof.,ASSET_OWNER_08_AUDIO_DIRECT_REF_UNWIRING_PACKET.md
Assets/_Project/Audio/Footsteps/Sand,4,sfx:4,2.252,0,0,0,4,4,0,4,4,4,4,P1,Direct Player.prefab footstep refs need owner/load/release/playback and no-allocation proof.,ASSET_OWNER_08_AUDIO_DIRECT_REF_UNWIRING_PACKET.md
Assets/_Project/Audio/Footsteps/Wet,4,sfx:4,3.549,0,0,1,3,4,0,4,4,4,4,P1,Direct Player.prefab footstep refs need owner/load/release/playback and no-allocation proof.,ASSET_OWNER_08_AUDIO_DIRECT_REF_UNWIRING_PACKET.md
Assets/_Project/Audio/Impact,2,sfx:2,1.188,0,0,1,1,2,0,2,2,0,0,NONE_STATIC,Low Vorbis quality rows conflict with Q70 target or require scoped exception and listening proof.,AUDIO_IMPORT_POLICY_EXCEPTION_TABLE_20260605.md / future SFX owner
Assets/_Project/Audio/Movement,3,player_loop:2;sfx:1,20.616,1,2,1,0,2,0,3,3,2,2,P0,Direct dive_splash refs and movement loops need player/contact route classification.,ASSET_OWNER_08_AUDIO_DIRECT_REF_UNWIRING_PACKET.md
Assets/_Project/Audio/Music for Game,84,music:84,14832.462,84,84,0,0,0,0,84,84,0,18,P1,"MusicDirector profile beds/stingers need mixer route, silence-window, cooldown, Addressables, and listening proof.",ASSET_OWNER_10_MUSICDIRECTOR_AUDIO_ROUTING_PACKET.md
Assets/_Project/Audio/SFX,5,sfx:5,8.312,0,0,3,2,5,0,5,5,0,0,NONE_STATIC,Low Vorbis quality rows conflict with Q70 target or require scoped exception and listening proof.,AUDIO_IMPORT_POLICY_EXCEPTION_TABLE_20260605.md / future SFX owner
Assets/_Project/Audio/Thruster,2,sfx:2,2.574,0,0,0,2,2,0,2,2,0,0,NONE_STATIC,Low Vorbis quality rows conflict with Q70 target or require scoped exception and listening proof.,AUDIO_IMPORT_POLICY_EXCEPTION_TABLE_20260605.md / future SFX owner
Assets/_Project/Audio/UI,5,ui:5,6.011,0,0,3,2,0,0,5,5,4,4,P1,"Direct Player.prefab UI refs need UI feedback owner, warning-priority, import readback, and no-allocation proof.",ASSET_OWNER_08_AUDIO_DIRECT_REF_UNWIRING_PACKET.md
Assets/_Project/Audio/VO/Stubs,2,voice:2,2.682,0,0,1,1,2,2,2,2,0,2,P1,"Placeholder VO/source rows cannot define final voice, subtitle, localization, or loudness policy.",AUDIO_ASSET_TAXONOMY_20260605.md / localization-writing owner
