packet_id,article_id,release_set_id,locale,locale_present,required_fields_present,player_visible_draft_markers,rtl_flag,cjk_flag,suspected_mojibake_flag,title_mismatch_flag,localization_state
P001_CRASH_SHELF,hecton8.crash_shelf,,en_US,yes,yes,no,no,no,no,no,source_ready
P001_CRASH_SHELF,hecton8.crash_shelf,,ru_RU,yes,yes,no,no,no,no,no,machine_draft
P001_CRASH_SHELF,hecton8.crash_shelf,,ja_JP,yes,yes,no,no,yes,no,no,machine_draft
P001_CRASH_SHELF,hecton8.crash_shelf,,zh_CN,yes,yes,no,no,yes,no,no,machine_draft
P001_CRASH_SHELF,hecton8.crash_shelf,,fr_FR,yes,yes,no,no,no,yes,no,machine_draft
P001_CRASH_SHELF,hecton8.crash_shelf,,es_ES,yes,yes,no,no,no,yes,no,machine_draft
P001_CRASH_SHELF,hecton8.crash_shelf,,de_DE,yes,yes,no,no,no,yes,no,machine_draft
P001_CRASH_SHELF,hecton8.crash_shelf,,pl_PL,yes,yes,no,no,no,no,no,machine_draft
P001_CRASH_SHELF,hecton8.crash_shelf,,uk_UA,yes,yes,no,no,no,no,no,machine_draft
P001_CRASH_SHELF,hecton8.crash_shelf,,ar_SA,yes,yes,no,yes,no,no,no,machine_draft
P001_CRASH_SHELF,hecton8.crash_shelf,,id_ID,yes,yes,no,no,no,no,no,machine_draft
P001_CRASH_SHELF,hecton8.crash_shelf,,ko_KR,yes,yes,no,no,yes,no,no,machine_draft
P001_CRASH_SHELF,hecton8.crash_shelf,,he_IL,yes,yes,no,yes,no,no,no,machine_draft
P001_CRASH_SHELF,hecton8.crash_shelf,,pt_BR,yes,yes,no,no,no,yes,no,machine_draft
P001_CRASH_SHELF,hecton8.crash_shelf,,nl_NL,yes,yes,no,no,no,yes,no,machine_draft
P002_BLACK_KEEL_CONTACT,black_keel.contact,,en_US,yes,yes,no,no,no,no,no,source_ready
P002_BLACK_KEEL_CONTACT,black_keel.contact,,ru_RU,yes,yes,no,no,no,no,no,machine_draft
P002_BLACK_KEEL_CONTACT,black_keel.contact,,ja_JP,yes,yes,no,no,yes,no,no,machine_draft
P002_BLACK_KEEL_CONTACT,black_keel.contact,,zh_CN,yes,yes,no,no,yes,no,no,machine_draft
P002_BLACK_KEEL_CONTACT,black_keel.contact,,fr_FR,yes,yes,no,no,no,yes,no,machine_draft
P002_BLACK_KEEL_CONTACT,black_keel.contact,,es_ES,yes,yes,no,no,no,yes,no,machine_draft
P002_BLACK_KEEL_CONTACT,black_keel.contact,,de_DE,yes,yes,no,no,no,yes,no,machine_draft
P002_BLACK_KEEL_CONTACT,black_keel.contact,,pl_PL,yes,yes,no,no,no,no,no,machine_draft
P002_BLACK_KEEL_CONTACT,black_keel.contact,,uk_UA,yes,yes,no,no,no,no,no,machine_draft
P002_BLACK_KEEL_CONTACT,black_keel.contact,,ar_SA,yes,yes,no,yes,no,no,no,machine_draft
P002_BLACK_KEEL_CONTACT,black_keel.contact,,id_ID,yes,yes,no,no,no,no,no,machine_draft
P002_BLACK_KEEL_CONTACT,black_keel.contact,,ko_KR,yes,yes,no,no,yes,no,no,machine_draft
P002_BLACK_KEEL_CONTACT,black_keel.contact,,he_IL,yes,yes,no,yes,no,no,no,machine_draft
P002_BLACK_KEEL_CONTACT,black_keel.contact,,pt_BR,yes,yes,no,no,no,yes,no,machine_draft
P002_BLACK_KEEL_CONTACT,black_keel.contact,,nl_NL,yes,yes,no,no,no,yes,no,machine_draft
P003_BARNARD_MARK,player.barnard_mark,,en_US,yes,yes,no,no,no,no,no,source_ready
P003_BARNARD_MARK,player.barnard_mark,,ru_RU,yes,yes,no,no,no,no,no,machine_draft
P003_BARNARD_MARK,player.barnard_mark,,ja_JP,yes,yes,no,no,yes,no,no,machine_draft
P003_BARNARD_MARK,player.barnard_mark,,zh_CN,yes,yes,no,no,yes,no,no,machine_draft
P003_BARNARD_MARK,player.barnard_mark,,fr_FR,yes,yes,no,no,no,yes,no,machine_draft
P003_BARNARD_MARK,player.barnard_mark,,es_ES,yes,yes,no,no,no,no,no,machine_draft
P003_BARNARD_MARK,player.barnard_mark,,de_DE,yes,yes,no,no,no,yes,no,machine_draft
P003_BARNARD_MARK,player.barnard_mark,,pl_PL,yes,yes,no,no,no,no,no,machine_draft
P003_BARNARD_MARK,player.barnard_mark,,uk_UA,yes,yes,no,no,no,no,no,machine_draft
P003_BARNARD_MARK,player.barnard_mark,,ar_SA,yes,yes,no,yes,no,no,no,machine_draft
P003_BARNARD_MARK,player.barnard_mark,,id_ID,yes,yes,no,no,no,no,no,machine_draft
P003_BARNARD_MARK,player.barnard_mark,,ko_KR,yes,yes,no,no,yes,no,no,machine_draft
P003_BARNARD_MARK,player.barnard_mark,,he_IL,yes,yes,no,yes,no,no,no,machine_draft
P003_BARNARD_MARK,player.barnard_mark,,pt_BR,yes,yes,no,no,no,yes,no,machine_draft
P003_BARNARD_MARK,player.barnard_mark,,nl_NL,yes,yes,no,no,no,no,no,machine_draft
P004_BLUE_DEBT,resource.blue_debt,,en_US,yes,yes,no,no,no,no,no,source_ready
P004_BLUE_DEBT,resource.blue_debt,,ru_RU,yes,yes,no,no,no,no,no,machine_draft
P004_BLUE_DEBT,resource.blue_debt,,ja_JP,yes,yes,no,no,yes,no,no,machine_draft
P004_BLUE_DEBT,resource.blue_debt,,zh_CN,yes,yes,no,no,yes,no,no,machine_draft
P004_BLUE_DEBT,resource.blue_debt,,fr_FR,yes,yes,no,no,no,yes,no,machine_draft
P004_BLUE_DEBT,resource.blue_debt,,es_ES,yes,yes,no,no,no,yes,no,machine_draft
P004_BLUE_DEBT,resource.blue_debt,,de_DE,yes,yes,no,no,no,yes,no,machine_draft
P004_BLUE_DEBT,resource.blue_debt,,pl_PL,yes,yes,no,no,no,no,no,machine_draft
P004_BLUE_DEBT,resource.blue_debt,,uk_UA,yes,yes,no,no,no,no,no,machine_draft
P004_BLUE_DEBT,resource.blue_debt,,ar_SA,yes,yes,no,yes,no,no,no,machine_draft
P004_BLUE_DEBT,resource.blue_debt,,id_ID,yes,yes,no,no,no,no,no,machine_draft
P004_BLUE_DEBT,resource.blue_debt,,ko_KR,yes,yes,no,no,yes,no,no,machine_draft
P004_BLUE_DEBT,resource.blue_debt,,he_IL,yes,yes,no,yes,no,no,no,machine_draft
P004_BLUE_DEBT,resource.blue_debt,,pt_BR,yes,yes,no,no,no,yes,no,machine_draft
P004_BLUE_DEBT,resource.blue_debt,,nl_NL,yes,yes,no,no,no,no,no,machine_draft
P005_REPAIR_SCAR,atlas.repair_scar,,en_US,yes,yes,no,no,no,no,no,source_ready
P005_REPAIR_SCAR,atlas.repair_scar,,ru_RU,yes,yes,no,no,no,no,no,machine_draft
P005_REPAIR_SCAR,atlas.repair_scar,,ja_JP,yes,yes,no,no,yes,no,no,machine_draft
P005_REPAIR_SCAR,atlas.repair_scar,,zh_CN,yes,yes,no,no,yes,no,no,machine_draft
P005_REPAIR_SCAR,atlas.repair_scar,,fr_FR,yes,yes,no,no,no,yes,no,machine_draft
P005_REPAIR_SCAR,atlas.repair_scar,,es_ES,yes,yes,no,no,no,yes,no,machine_draft
P005_REPAIR_SCAR,atlas.repair_scar,,de_DE,yes,yes,no,no,no,yes,no,machine_draft
P005_REPAIR_SCAR,atlas.repair_scar,,pl_PL,yes,yes,no,no,no,no,no,machine_draft
