article_id,packet_id,canonical_owner_doc,allowed_surfaces,forbidden_surfaces,spoiler_level,unlock_gate,in_world_voice_options,runtime_layer
hecton8.crash_shelf,P001_CRASH_SHELF,Docs/Lore/Lore_Bible.md;Docs/Lore/ContentPacks/CP01_Arrival_Shallow_Water.md,audio;external_site;field_note;image_brief;in_game_wiki;scanner;terminal,none_identified_static,1,unlock.first_shelter,scanner;terminal;audio;field_note;in_game_wiki;external_site,Narrative
black_keel.contact,P002_BLACK_KEEL_CONTACT,Docs/Lore/Canon_Locks.md;Docs/Lore/Lore_Bible.md,audio;external_site;field_note;image_brief;in_game_wiki;scanner;terminal,none_identified_static,1,unlock.black_keel_handshake,scanner;terminal;audio;field_note;in_game_wiki;external_site,Narrative
player.barnard_mark,P003_BARNARD_MARK,Docs/Lore/Canon_Locks.md;Docs/Lore/Lore_Bible.md,audio;external_site;field_note;image_brief;in_game_wiki;scanner;terminal,none_identified_static,1,unlock.first_barnard_mark,scanner;terminal;audio;field_note;in_game_wiki;external_site,Narrative
resource.blue_debt,P004_BLUE_DEBT,Docs/Lore/Canon_Locks.md;Docs/Lore/Lore_Bible.md,audio;external_site;field_note;image_brief;in_game_wiki;scanner;terminal,none_identified_static,2,unlock.first_blue_debt_sample,scanner;terminal;audio;field_note;in_game_wiki;external_site,Narrative
atlas.repair_scar,P005_REPAIR_SCAR,Docs/Lore/Canon_Locks.md;Docs/Lore/Lore_Bible.md,audio;external_site;field_note;image_brief;in_game_wiki;scanner;terminal,pre_evidence_audio;pre_evidence_scanner;public_site_open,3,unlock.first_atlas_category_error,scanner;terminal;audio;field_note;in_game_wiki;external_site,Narrative
marauder.dead_claim_cache,P006_DEAD_CLAIM_CACHE,Docs/Lore/Canon_Locks.md;Docs/Lore/Lore_Bible.md,audio;external_site;field_note;in_game_wiki;scanner;terminal,none_identified_static,2,unlock.first_marauder_cache,scanner;terminal;audio;field_note;in_game_wiki;external_site,Narrative
hecton8.brine_stair,P007_BRINE_STAIR,Docs/Lore/Canon_Locks.md;Docs/Lore/Lore_Bible.md,audio;external_site;field_note;image_brief;in_game_wiki;scanner;terminal,none_identified_static,2,unlock.first_brine_layer_route,scanner;terminal;audio;field_note;in_game_wiki;external_site,Narrative
colony.evacuation_hold,P008_EVACUATION_HOLD,Docs/Lore/Canon_Locks.md;Docs/Lore/Lore_Bible.md,audio;external_site;field_note;image_brief;in_game_wiki;scanner;terminal,pre_evidence_audio;pre_evidence_scanner;public_site_open,3,unlock.first_evacuation_hold_record,scanner;terminal;audio;field_note;in_game_wiki;external_site,Narrative
atlas.bottom_factory,P009_BOTTOM_FACTORY,Docs/Lore/Canon_Locks.md;Docs/Lore/Lore_Bible.md,audio;external_site;field_note;image_brief;in_game_wiki;scanner;terminal,pre_evidence_audio;pre_evidence_scanner;public_site_open,3,unlock.first_bottom_factory_contact,scanner;terminal;audio;field_note;in_game_wiki;external_site,Narrative
ending.payload_window,P010_PAYLOAD_WINDOW,Docs/Lore/Canon_Locks.md;Docs/Lore/Lore_Bible.md,audio;external_site;field_note;image_brief;in_game_wiki;scanner;terminal,marketing_public_page;pre_evidence_audio;pre_evidence_scanner;public_site_open;spoiler_free_wiki,4,unlock.first_payload_window,scanner;terminal;audio;field_note;in_game_wiki;external_site,Narrative
