packet_id,arc_id,depth_band,route_moment,prereq_packet_ids,next_packet_ids,evidence_type,truth_claim,player_decision,spoiler_tier,primary_surface
P416_SITE_WIKI_START_HERE_CLUSTER,site_wiki_navigation_clusters,variable,first_site_wiki_start_here_cluster,P396_PUBLIC_STARTING_PREMISE_ARTICLE_MODULE;P381_CONTRACT_APPROACH_ACT_GATE,P417_SITE_WIKI_SYSTEM_AND_SHIPS_CLUSTER,site wiki start here cluster,"The public start-here cluster frames HECTON-8 as salvage contract, professional guilt and hard constraints without spoiling final receivers.",What should a new reader know before the game starts?,1,external_site
P417_SITE_WIKI_SYSTEM_AND_SHIPS_CLUSTER,site_wiki_navigation_clusters,variable,first_site_wiki_system_and_ships_cluster,P397_PUBLIC_NO_FTL_ROUTE_ARTICLE_MODULE;P341_NEEDLEPROBE_PRECURSOR_PROGRAM;P342_BEAM_SAIL_AND_PELLET_LANE,P418_SITE_WIKI_COLONY_AND_WORKERS_CLUSTER,site wiki system and ships cluster,"This system-and-ships cluster turns no-FTL travel, Aegir route timing, Black Keel custody, transfer windows, and the damaged bathydrop into one survival-readable lane.",Why can a signal reach Aegir faster than a body can be saved?,1,external_site
P418_SITE_WIKI_COLONY_AND_WORKERS_CLUSTER,site_wiki_navigation_clusters,variable,first_site_wiki_colony_and_workers_cluster,P359_WORKER_COMMUNITY_NO_FAMILY_HOOK_RULE;P401_MARA_VENN_PUMP_CHIEF_DOSSIER;P405_LIAN_TORRES_VENT_FORGE_OPERATOR_DOSSIER,P419_SITE_WIKI_RESOURCES_AND_ECOLOGY_CLUSTER,site wiki colony and workers cluster,"The colony/workers cluster makes people legible through jobs and evidence, not relatives of the protagonist.",How do we make the colony human without cheap personal melodrama?,1,external_site
P419_SITE_WIKI_RESOURCES_AND_ECOLOGY_CLUSTER,site_wiki_navigation_clusters,variable,first_site_wiki_resources_and_ecology_cluster,P351_DROWNED_CRUST_STRATA_GUIDE;P411_PREDATOR_SHADOW_ENCOUNTER_GRAMMAR;P415_SENSOR_TAGGED_FAUNA_PURSUIT_ENCOUNTER_GRAMMAR,P420_SITE_WIKI_ENDINGS_SPOILER_CLUSTER,site wiki resources and ecology cluster,"This resource/ecology cluster treats geology, blue debt, fauna behavior, extraction damage, and Atlas repair misuse as one process chain rather than a loot list.",What did the ocean use this material for before a Marauder cut it loose?,1,external_site
P420_SITE_WIKI_ENDINGS_SPOILER_CLUSTER,site_wiki_navigation_clusters,variable,first_site_wiki_endings_spoiler_cluster,P400_PUBLIC_ATLAS_SPOILER_GATE_ARTICLE_MODULE;P376_PAYLOAD_SELL_COORDINATES_RECEIVER_PROTOCOL;P380_PAYLOAD_WITHHOLD_BLIND_RETURN_PROTOCOL,,site wiki endings spoiler cluster,"The endings cluster treats endings as payload custody: body, coordinates, samples, Atlas records, worker proof, quarantine status, and legal authority move to specific receivers.",Who owns the proof when the Marauder leaves HECTON-8?,2,external_site
AL_EVAC_QUEUE,derived_unassigned,biome.drowned_factories;biome.brine_stair,unlock.audio.evac_queue,,P702_BRINE_STALKER;AL_SCRUBBER_BED;AL_SERVICE_CHAPEL;AL_WINDOW_WATCH;P706_AL_COLD_MIST_LEAK;P706_AL_MANUAL_GAUGE,derived_from_unlock_and_poi_tags,,,,external_site
AL_HULL_CHOIR,derived_unassigned,biome.drowned_factories,unlock.audio.hull_choir,,P711_PAD_TOOL_RECERT_INVOICE,derived_from_unlock_and_poi_tags,,,,external_site
AL_PAYROLL_DEAD,derived_unassigned,biome.spine_shallows,unlock.audio.payroll_dead,,P706_AL_NARCOSIS_TEST,derived_from_unlock_and_poi_tags,,,,external_site
AL_PUMP_BLESSING,derived_unassigned,biome.drowned_factories,unlock.audio.pump_blessing,,P711_PAD_ROSTER_DOUBLE_ENTRY,derived_from_unlock_and_poi_tags,,,,external_site
AL_SCRUBBER_BED,derived_unassigned,biome.drowned_factories,unlock.audio.scrubber_bed,AL_EVAC_QUEUE,,derived_from_unlock_and_poi_tags,,,,external_site
AL_SERVICE_CHAPEL,derived_unassigned,biome.drowned_factories,unlock.audio.service_chapel,AL_EVAC_QUEUE,,derived_from_unlock_and_poi_tags,,,,external_site
