locale,page_path,packet_id,article_id,title,unlock_gate,source_voice,status
en_US,Docs/Lore/AppliedContent/in_game_wiki/en_US/P001_CRASH_SHELF.md,P001_CRASH_SHELF,hecton8.crash_shelf,Crash Shelf,unlock.first_shelter,player_codex_from_applied_packet,source_ready
en_US,Docs/Lore/AppliedContent/in_game_wiki/en_US/P002_BLACK_KEEL_CONTACT.md,P002_BLACK_KEEL_CONTACT,black_keel.contact,Black Keel Contact,unlock.black_keel_handshake,player_codex_from_applied_packet,source_ready
en_US,Docs/Lore/AppliedContent/in_game_wiki/en_US/P003_BARNARD_MARK.md,P003_BARNARD_MARK,player.barnard_mark,Barnard Mark,unlock.first_barnard_mark,player_codex_from_applied_packet,source_ready
en_US,Docs/Lore/AppliedContent/in_game_wiki/en_US/P004_BLUE_DEBT.md,P004_BLUE_DEBT,resource.blue_debt,Blue Debt,unlock.first_blue_debt_sample,player_codex_from_applied_packet,source_ready
en_US,Docs/Lore/AppliedContent/in_game_wiki/en_US/P005_REPAIR_SCAR.md,P005_REPAIR_SCAR,atlas.repair_scar,Repair Scar,unlock.first_atlas_category_error,player_codex_from_applied_packet,source_ready
en_US,Docs/Lore/AppliedContent/in_game_wiki/en_US/P006_DEAD_CLAIM_CACHE.md,P006_DEAD_CLAIM_CACHE,marauder.dead_claim_cache,Dead Claim Cache,unlock.first_marauder_cache,player_codex_from_applied_packet,source_ready
en_US,Docs/Lore/AppliedContent/in_game_wiki/en_US/P007_BRINE_STAIR.md,P007_BRINE_STAIR,hecton8.brine_stair,Brine Stair,unlock.first_brine_layer_route,player_codex_from_applied_packet,source_ready
en_US,Docs/Lore/AppliedContent/in_game_wiki/en_US/P008_EVACUATION_HOLD.md,P008_EVACUATION_HOLD,colony.evacuation_hold,Evacuation Hold,unlock.first_evacuation_hold_record,player_codex_from_applied_packet,source_ready
en_US,Docs/Lore/AppliedContent/in_game_wiki/en_US/P009_BOTTOM_FACTORY.md,P009_BOTTOM_FACTORY,atlas.bottom_factory,Bottom Factory,unlock.first_bottom_factory_contact,player_codex_from_applied_packet,source_ready
en_US,Docs/Lore/AppliedContent/in_game_wiki/en_US/P010_PAYLOAD_WINDOW.md,P010_PAYLOAD_WINDOW,ending.payload_window,Payload Window,unlock.first_payload_window,player_codex_from_applied_packet,source_ready
en_US,Docs/Lore/AppliedContent/in_game_wiki/en_US/P011_DOMAIN_MARKS_2190.md,P011_DOMAIN_MARKS_2190,human.domain_marks_2190,Domain Marks 2190,unlock.first_multi_domain_mark,player_codex_from_applied_packet,source_ready
en_US,Docs/Lore/AppliedContent/in_game_wiki/en_US/P012_RELAY_SPINE.md,P012_RELAY_SPINE,transit.relay_spine,Relay Spine,unlock.first_relay_buffer,player_codex_from_applied_packet,source_ready
