"scraped_utc","source_game","source_slug","source_segment","source_surface","source_page","source_url","channel_name","channel_path","channel_profile_url","country","primary_metric_raw","primary_metric_number","latest_or_ranked_video_title","latest_or_ranked_video_url","published_or_rank_context","relative_context","duration","contact_route","verification_status"
"2026-05-18T20:11:06Z","Abiotic Factor","abiotic-factor-2024","facility_survival_systems","latest_letsplay","top-100","https://www.letsplayindex.com/games/abiotic-factor-2024/lets-play-channels","Andy Plays All Night","/channels/96720-andy-plays-all-night","https://www.letsplayindex.com/channels/96720-andy-plays-all-night","United States","1,840","1840","IF HALF-LIFE WAS A SURVIVAL GAME | Let's Play: Abiotic Factor (Demo)","https://www.letsplayindex.com/video/if-half-life-was-a-survival-game-lets-play-abiotic-factor-o6yyIL3usws","March 1, 2024 1:00:26 AM","2024-03-01","33:57","UNKNOWN_VERIFY_FROM_CREATOR_PAGE","RAW_PUBLIC_INDEX_NOT_CONTACT_READY"
"2026-05-18T20:11:06Z","Abiotic Factor","abiotic-factor-2024","facility_survival_systems","latest_letsplay","top-100","https://www.letsplayindex.com/games/abiotic-factor-2024/lets-play-channels","AnjelusX","/channels/86440-anjelusx","https://www.letsplayindex.com/channels/86440-anjelusx","Canada","752","752","Anjel Plays Abiotic Factor with SuddenlyMatt","https://www.letsplayindex.com/video/anjel-plays-abiotic-factor-with-suddenlymatt-anjelusx-4iDOXUr2wRE","June 2, 2024 5:44:13 AM","2024-06-02","4:08:20","UNKNOWN_VERIFY_FROM_CREATOR_PAGE","RAW_PUBLIC_INDEX_NOT_CONTACT_READY"
"2026-05-18T20:11:06Z","Abiotic Factor","abiotic-factor-2024","facility_survival_systems","latest_letsplay","top-100","https://www.letsplayindex.com/games/abiotic-factor-2024/lets-play-channels","ATACHI","/channels/1051761-atachi","https://www.letsplayindex.com/channels/1051761-atachi","Luxembourg","35,500","35500","Abiotic Factor BECOME MILITARY CRUSADE","https://www.letsplayindex.com/video/abiotic-factor-become-military-crusade-atachi-bUeQbXuBlRA","June 6, 2024 5:53:38 AM","2024-06-06","5:44","UNKNOWN_VERIFY_FROM_CREATOR_PAGE","RAW_PUBLIC_INDEX_NOT_CONTACT_READY"
"2026-05-18T20:11:06Z","Abiotic Factor","abiotic-factor-2024","facility_survival_systems","latest_letsplay","top-100","https://www.letsplayindex.com/games/abiotic-factor-2024/lets-play-channels","BigVladGaming","/channels/2837023-bigvladgaming","https://www.letsplayindex.com/channels/2837023-bigvladgaming","UNKNOWN","1,590","1590","More Lab nightmares, resource collection, research | Abiotic Factor | BigVlad Let's Play | Part 19","https://www.letsplayindex.com/video/more-lab-nightmares-resource-collection-research-abiotic-sFTLTi_lchg","July 12, 2024 10:00:58 AM","2024-07-12","44:30","UNKNOWN_VERIFY_FROM_CREATOR_PAGE","RAW_PUBLIC_INDEX_NOT_CONTACT_READY"
"2026-05-18T20:11:06Z","Abiotic Factor","abiotic-factor-2024","facility_survival_systems","latest_letsplay","top-100","https://www.letsplayindex.com/games/abiotic-factor-2024/lets-play-channels","Blazze Valkurm","/channels/948828-blazze-valkurm","https://www.letsplayindex.com/channels/948828-blazze-valkurm","United States","774","774","Abiotic Factor ~ The Alpha Part 2!","https://www.letsplayindex.com/video/abiotic-factor-the-alpha-part-2-blazze-valkurm-uax_4gvEkDg","December 3, 2023 10:00:45 AM","2023-12-03","24:54","UNKNOWN_VERIFY_FROM_CREATOR_PAGE","RAW_PUBLIC_INDEX_NOT_CONTACT_READY"
"2026-05-18T20:11:06Z","Abiotic Factor","abiotic-factor-2024","facility_survival_systems","latest_letsplay","top-100","https://www.letsplayindex.com/games/abiotic-factor-2024/lets-play-channels","Bottenbig","/channels/2890634-bottenbig","https://www.letsplayindex.com/channels/2890634-bottenbig","United States","26,000","26000","I'm In Danger... - Abiotic Factor SOLO - Blind Playthrough","https://www.letsplayindex.com/video/im-in-danger-abiotic-factor-solo-blind-playthrough-bottenbig-p_inzgB2u8A","February 3, 2026 3:11:42 AM","2026-02-03","0:00","UNKNOWN_VERIFY_FROM_CREATOR_PAGE","RAW_PUBLIC_INDEX_NOT_CONTACT_READY"
"2026-05-18T20:11:06Z","Abiotic Factor","abiotic-factor-2024","facility_survival_systems","latest_letsplay","top-100","https://www.letsplayindex.com/games/abiotic-factor-2024/lets-play-channels","Bumpy McSquigums","/channels/14953-bumpy-mcsquigums","https://www.letsplayindex.com/channels/14953-bumpy-mcsquigums","Canada","23,400","23400","Limited Run - Abiotic Factor - (Co-Op) - Part 4 - Heater & A Battery!","https://www.letsplayindex.com/video/limited-run-abiotic-factor-co-op-part-4-heater-and-a-battery-VhLh1_E0kzk","May 29, 2024 9:50:28 PM","2024-05-29","30:53","UNKNOWN_VERIFY_FROM_CREATOR_PAGE","RAW_PUBLIC_INDEX_NOT_CONTACT_READY"
"2026-05-18T20:11:06Z","Abiotic Factor","abiotic-factor-2024","facility_survival_systems","latest_letsplay","top-100","https://www.letsplayindex.com/games/abiotic-factor-2024/lets-play-channels","Burning P","/channels/300894-burning-p","https://www.letsplayindex.com/channels/300894-burning-p","Austria","3,370","3370","Abiotic Factor - Alpha Peccary","https://www.letsplayindex.com/video/abiotic-factor-alpha-peccary-burning-p-6z7edkrrJhg","July 9, 2024 2:45:00 PM","2024-07-09","3:33","UNKNOWN_VERIFY_FROM_CREATOR_PAGE","RAW_PUBLIC_INDEX_NOT_CONTACT_READY"
"2026-05-18T20:11:06Z","Abiotic Factor","abiotic-factor-2024","facility_survival_systems","latest_letsplay","top-100","https://www.letsplayindex.com/games/abiotic-factor-2024/lets-play-channels","Captain Adonis","/channels/22643-captain-adonis","https://www.letsplayindex.com/channels/22643-captain-adonis","United States","954","954","Aboitic Factor - First Look Day 6 - Multiplayer with FSBrain, Sprigleaf and the Mahula Family","https://www.letsplayindex.com/video/aboitic-factor-first-look-day-6-multiplayer-with-fsbrain-CSze_qvUNsQ","July 13, 2024 1:11:45 PM","2024-07-13","3:00:12","UNKNOWN_VERIFY_FROM_CREATOR_PAGE","RAW_PUBLIC_INDEX_NOT_CONTACT_READY"
"2026-05-18T20:11:06Z","Abiotic Factor","abiotic-factor-2024","facility_survival_systems","latest_letsplay","top-100","https://www.letsplayindex.com/games/abiotic-factor-2024/lets-play-channels","CardenEllie","/channels/3681133-cardenellie","https://www.letsplayindex.com/channels/3681133-cardenellie","United States","490","490","We Made it to Arcade!! |Abiotic Factor |E11| #gaming","https://www.letsplayindex.com/video/we-made-it-to-arcade-abiotic-factor-e11-gaming-cardenellie-_7mPIuR7sPw","July 28, 2024 12:00:22 PM","2024-07-28","53:30","UNKNOWN_VERIFY_FROM_CREATOR_PAGE","RAW_PUBLIC_INDEX_NOT_CONTACT_READY"
