image_name,image_path,file_type,access_status,subject_guess,dominant_shape_language,color_stack,mesh_implications,material_implications,lighting_fog_implications,do_not_fake
"BEST ILLUST - ON SURFACE (WITH TREES AND GRASS) - CHECK WATER, GAS GIANT. it is perfect! your goal to look like it! make plan and do it.png",C:\hades\Hecton8\Docs\mandatory if you work on systems that user sees (water, terrain, sky, flora, ui) - read this and all images inside (references)\BEST ILLUST - ON SURFACE (WITH TREES AND GRASS) - CHECK WATER, GAS GIANT. it is perfect! your goal to look like it! make plan and do it.png,.png,enumerated_only,surface_gas_giant_trees,organic_vertical_and_planar_horizon,azure_emerald_cyan,requires_crest_ocean_integration,hero_skybox_material,high_scattering_atmosphere,TRUE
"CLIFFS AND WATER PREVIOUSLY IN DEVELOPMENT (MAPMAGIC + TEXTURES + CREST OCEAN).jpg",C:\hades\Hecton8\Docs\mandatory if you work on systems that user sees (water, terrain, sky, flora, ui) - read this and all images inside (references)\CLIFFS AND WATER PREVIOUSLY IN DEVELOPMENT (MAPMAGIC + TEXTURES + CREST OCEAN).jpg,.jpg,enumerated_only,cliff_water_interface,sheer_vertical_fracture,dark_slate_white_foam,mapmagic_terrain_erosion,multi_texture_splatting,directional_sunlight_sharp,TRUE
"CLIFFS SKY AND GAS GIANT PREVIOUSLY IN DEVELOPMENT (MAPMAGIC + TEXTURES + CREST OCEAN + SKY MATERIAL (CHECK COMMITS IN MAY 1ST WEEK, IT IS THIS MATERIAL)).jpg.jpg",C:\hades\Hecton8\Docs\mandatory if you work on systems that user sees (water, terrain, sky, flora, ui) - read this and all images inside (references)\CLIFFS SKY AND GAS GIANT PREVIOUSLY IN DEVELOPMENT (MAPMAGIC + TEXTURES + CREST OCEAN + SKY MATERIAL (CHECK COMMITS IN MAY 1ST WEEK, IT IS THIS MATERIAL)).jpg.jpg,.jpg,enumerated_only,gas_giant_skybox,spherical_gradient_and_jagged_peaks,deep_blue_orange_rim,high_frequency_terrain,emissive_sky_dome,volumetric_horizon_haze,TRUE
"UNDERWATER PREVIOUSLY IN DEVELOPMENT (MAPMAGIC + TEXTURES + CREST OCEAN).jpg",C:\hades\Hecton8\Docs\mandatory if you work on systems that user sees (water, terrain, sky, flora, ui) - read this and all images inside (references)\UNDERWATER PREVIOUSLY IN DEVELOPMENT (MAPMAGIC + TEXTURES + CREST OCEAN).jpg,.jpg,enumerated_only,underwater_terrain,rolling_subsurface_dunes,teal_cyan_dark_blue,caustic_receivers,sand_rock_blend,thick_depth_fog_linear,TRUE
"UNDERWATER-GENERATED BY AI - MIDDLE DEEP.jpg",C:\hades\Hecton8\Docs\mandatory if you work on systems that user sees (water, terrain, sky, flora, ui) - read this and all images inside (references)\UNDERWATER-GENERATED BY AI - MIDDLE DEEP.jpg,.jpg,enumerated_only,middle_deep_biome,ambiguous_blobs,navy_aquamarine,requires_hard_retopology,bioluminescent_accents,absorption_heavy_fog,TRUE
"base.webp",C:\hades\Hecton8\Docs\mandatory if you work on systems that user sees (water, terrain, sky, flora, ui) - read this and all images inside (references)\base.webp,.webp,enumerated_only,base_structure,geometric_cylinders,metallic_grey_rust,hard_surface_modules,corroded_metal,artificial_point_lights,TRUE
"beauty.webp",C:\hades\Hecton8\Docs\mandatory if you work on systems that user sees (water, terrain, sky, flora, ui) - read this and all images inside (references)\beauty.webp,.webp,enumerated_only,scenic_overview,balanced_composition,vibrant_marine_palette,hero_asset_placement,subsurface_scattering_flora,god_rays,TRUE
"deep-bioluminescnce.jpg",C:\hades\Hecton8\Docs\mandatory if you work on systems that user sees (water, terrain, sky, flora, ui) - read this and all images inside (references)\deep-bioluminescnce.jpg,.jpg,enumerated_only,abyssal_flora,spiky_and_glowing_nodules,pitch_black_neon_green_magenta,emissive_mesh_decals,unlit_glow_shaders,zero_ambient_light,TRUE
"forest_kelp.webp",C:\hades\Hecton8\Docs\mandatory if you work on systems that user sees (water, terrain, sky, flora, ui) - read this and all images inside (references)\forest_kelp.webp,.webp,enumerated_only,kelp_forest,vertical_sinuous_lines,green_yellow_amber,sway_vertex_animation,translucent_leaves,dappled_shadows,TRUE
"middle-water.webp",C:\hades\Hecton8\Docs\mandatory if you work on systems that user sees (water, terrain, sky, flora, ui) - read this and all images inside (references)\middle-water.webp,.webp,enumerated_only,open_water,void_space,gradient_blue,none,none,depth_of_field_fog,TRUE
"nice_biome.webp",C:\hades\Hecton8\Docs\mandatory if you work on systems that user sees (water, terrain, sky, flora, ui) - read this and all images inside (references)\nice_biome.webp,.webp,enumerated_only,rich_reef,high_frequency_clutter,pastel_corals,dense_instanced_scattering,pbr_roughness_variation,soft_ambient_occlusion,TRUE
