path,line,pattern,editor_only,profiler_priority,snippet,required_action,evidence_class
Assets/_Project/Scripts/Core/HectonXRManager.cs,14,RenderTextureDescriptor,false,P1_RUNTIME_PROFILER,private static RenderTextureDescriptor _cachedEyeDescriptor;,"Capture owner lifetime, dimensions, format, and residency in Unity Memory Profiler; static source cannot prove RT+Depth cost.",STATIC_SOURCE
Assets/_Project/Scripts/Core/HectonXRManager.cs,20,RenderTextureDescriptor,false,P1_RUNTIME_PROFILER,public static RenderTextureDescriptor EyeRenderTextureDescriptor,"Capture owner lifetime, dimensions, format, and residency in Unity Memory Profiler; static source cannot prove RT+Depth cost.",STATIC_SOURCE
Assets/_Project/Scripts/Core/HectonXRManager.cs,39,RenderTextureDescriptor,false,P1_RUNTIME_PROFILER,public static RenderTextureDescriptor RefreshEyeDescriptor(),"Capture owner lifetime, dimensions, format, and residency in Unity Memory Profiler; static source cannot prove RT+Depth cost.",STATIC_SOURCE
Assets/_Project/Scripts/Core/HectonXRManager.cs,41,RenderTextureDescriptor,false,P1_RUNTIME_PROFILER,RenderTextureDescriptor descriptor = ResolveUnityEyeDescriptor();,"Capture owner lifetime, dimensions, format, and residency in Unity Memory Profiler; static source cannot prove RT+Depth cost.",STATIC_SOURCE
Assets/_Project/Scripts/Core/HectonXRManager.cs,60,RenderTextureDescriptor,false,P1_RUNTIME_PROFILER,private static RenderTextureDescriptor ResolveUnityEyeDescriptor(),"Capture owner lifetime, dimensions, format, and residency in Unity Memory Profiler; static source cannot prove RT+Depth cost.",STATIC_SOURCE
Assets/_Project/Scripts/Core/HectonXRManager.cs,64,RenderTextureDescriptor,false,P1_RUNTIME_PROFILER,RenderTextureDescriptor descriptor = XRSettings.eyeTextureDesc;,"Capture owner lifetime, dimensions, format, and residency in Unity Memory Profiler; static source cannot prove RT+Depth cost.",STATIC_SOURCE
Assets/_Project/Scripts/Core/HectonXRManager.cs,69,RenderTextureDescriptor,false,P1_RUNTIME_PROFILER,return new RenderTextureDescriptor(,"Capture owner lifetime, dimensions, format, and residency in Unity Memory Profiler; static source cannot prove RT+Depth cost.",STATIC_SOURCE
Assets/_Project/Scripts/Graphics/VR/FoveatedRenderCommander.cs,107,RenderTextureDescriptor,false,P1_RUNTIME_PROFILER,private RenderTextureDescriptor _eyeDescriptorCold;,"Capture owner lifetime, dimensions, format, and residency in Unity Memory Profiler; static source cannot prove RT+Depth cost.",STATIC_SOURCE
Assets/_Project/Scripts/Graphics/VR/FoveatedRenderCommander.cs,541,RenderTextureDescriptor,false,P1_RUNTIME_PROFILER,RenderTextureDescriptor eyeDescriptor = _eyeDescriptorCold;,"Capture owner lifetime, dimensions, format, and residency in Unity Memory Profiler; static source cannot prove RT+Depth cost.",STATIC_SOURCE
Assets/_Project/Scripts/Graphics/VR/FoveatedRenderCommander.cs,821,RenderTextureDescriptor,false,P1_RUNTIME_PROFILER,"private void ReportHardwareState(bool applied, float appliedLevel, RenderTextureDescriptor eyeDescriptor)","Capture owner lifetime, dimensions, format, and residency in Unity Memory Profiler; static source cannot prove RT+Depth cost.",STATIC_SOURCE
Assets/_Project/Scripts/HectonCelestialEngine.cs,4429,new RenderTexture,false,P1_RUNTIME_PROFILER,_bakedStarCubemap = new RenderTexture(,"Capture owner lifetime, dimensions, format, and residency in Unity Memory Profiler; static source cannot prove RT+Depth cost.",STATIC_SOURCE
Assets/_Project/Scripts/HectonCelestialEngine.cs,4460,new RenderTexture,false,P1_RUNTIME_PROFILER,_atmosphereScatteringLutTexture = new RenderTexture(,"Capture owner lifetime, dimensions, format, and residency in Unity Memory Profiler; static source cannot prove RT+Depth cost.",STATIC_SOURCE
Assets/_Project/Scripts/HectonFluidEngine.cs,5110,RTHandles.Alloc,false,P1_RUNTIME_PROFILER,_emptyFluidAdvectionTextureHandle = RTHandles.Alloc(_emptyFluidAdvectionTexture);,"Capture owner lifetime, dimensions, format, and residency in Unity Memory Profiler; static source cannot prove RT+Depth cost.",STATIC_SOURCE
Assets/_Project/Scripts/HectonFluidEngine.cs,5123,RTHandles.Alloc,false,P1_RUNTIME_PROFILER,_emptyFluidAdvectionTextureHandle = RTHandles.Alloc(_emptyFluidAdvectionTexture);,"Capture owner lifetime, dimensions, format, and residency in Unity Memory Profiler; static source cannot prove RT+Depth cost.",STATIC_SOURCE
Assets/_Project/Scripts/HectonFluidEngine.cs,5163,RTHandles.Alloc,false,P1_RUNTIME_PROFILER,_gpuAbyssalFlowTextureAHandle = RTHandles.Alloc(_gpuAbyssalFlowTextureA);,"Capture owner lifetime, dimensions, format, and residency in Unity Memory Profiler; static source cannot prove RT+Depth cost.",STATIC_SOURCE
Assets/_Project/Scripts/HectonFluidEngine.cs,5176,RTHandles.Alloc,false,P1_RUNTIME_PROFILER,_gpuAbyssalFlowTextureBHandle = RTHandles.Alloc(_gpuAbyssalFlowTextureB);,"Capture owner lifetime, dimensions, format, and residency in Unity Memory Profiler; static source cannot prove RT+Depth cost.",STATIC_SOURCE
Assets/_Project/Scripts/HectonFluidEngine.cs,5189,RTHandles.Alloc,false,P1_RUNTIME_PROFILER,_cachedFluidAdvectionFlowHandle = RTHandles.Alloc(texture);,"Capture owner lifetime, dimensions, format, and residency in Unity Memory Profiler; static source cannot prove RT+Depth cost.",STATIC_SOURCE
Assets/_Project/Scripts/HectonFluidEngine.cs,5207,RTHandles.Alloc,false,P1_RUNTIME_PROFILER,_cachedFluidAdvectionSdfHandle = RTHandles.Alloc(texture);,"Capture owner lifetime, dimensions, format, and residency in Unity Memory Profiler; static source cannot prove RT+Depth cost.",STATIC_SOURCE
Assets/_Project/Scripts/HectonFluidEngine.cs,8071,RTHandles.Alloc,false,P1_RUNTIME_PROFILER,_gpuAbyssalFlowTextureAHandle = RTHandles.Alloc(_gpuAbyssalFlowTextureA);,"Capture owner lifetime, dimensions, format, and residency in Unity Memory Profiler; static source cannot prove RT+Depth cost.",STATIC_SOURCE
Assets/_Project/Scripts/HectonFluidEngine.cs,8074,RTHandles.Alloc,false,P1_RUNTIME_PROFILER,_gpuAbyssalFlowTextureBHandle = RTHandles.Alloc(_gpuAbyssalFlowTextureB);,"Capture owner lifetime, dimensions, format, and residency in Unity Memory Profiler; static source cannot prove RT+Depth cost.",STATIC_SOURCE
Assets/_Project/Scripts/HectonFluidEngine.cs,8134,RenderTextureDescriptor,false,P1_RUNTIME_PROFILER,RenderTextureDescriptor descriptor = new RenderTextureDescriptor(,"Capture owner lifetime, dimensions, format, and residency in Unity Memory Profiler; static source cannot prove RT+Depth cost.",STATIC_SOURCE
Assets/_Project/Scripts/HectonFluidEngine.cs,8149,new RenderTexture,false,P1_RUNTIME_PROFILER,RenderTexture texture = new RenderTexture(descriptor),"Capture owner lifetime, dimensions, format, and residency in Unity Memory Profiler; static source cannot prove RT+Depth cost.",STATIC_SOURCE
Assets/_Project/Scripts/HectonUnderwaterVisuals.cs,6009,RenderTextureDescriptor,false,P1_RUNTIME_PROFILER,"RenderTextureDescriptor descriptor = new RenderTextureDescriptor(1, 1)","Capture owner lifetime, dimensions, format, and residency in Unity Memory Profiler; static source cannot prove RT+Depth cost.",STATIC_SOURCE
Assets/_Project/Scripts/HectonUnderwaterVisuals.cs,6021,new RenderTexture,false,P1_RUNTIME_PROFILER,_hudFogLuminanceTexture = new RenderTexture(descriptor),"Capture owner lifetime, dimensions, format, and residency in Unity Memory Profiler; static source cannot prove RT+Depth cost.",STATIC_SOURCE
Assets/_Project/Scripts/HectonUnderwaterVisuals.cs,6458,RenderTextureDescriptor,false,P1_RUNTIME_PROFILER,RenderTextureDescriptor descriptor = new RenderTextureDescriptor(,"Capture owner lifetime, dimensions, format, and residency in Unity Memory Profiler; static source cannot prove RT+Depth cost.",STATIC_SOURCE
