path,width,height,bc7_full_mip_mib,first_party_production,flags,recommendation
Assets/MapMagic/Map_Graph/New Gen/heightmap.png,4096,4096,21.333,false,VRAM CRIME: TEXTURE_GT_2048;VRAM CRIME: IMPORT_MAX_GT_2048;VRAM CRIME: UNCOMPRESSED_RGBA32_STATIC_SUSPECT;STREAMING_MIPMAPS_OFF_LARGE;READ_WRITE_ENABLED_LARGE_STATIC_SUSPECT,Low tier should halve source/import max; keep high mips only with hero or streaming proof.
Assets/ScifiFacility/Textures/Base_02_dirt_roughness.png,4096,4096,21.333,false,VRAM CRIME: TEXTURE_GT_2048;VRAM CRIME: IMPORT_MAX_GT_2048;STREAMING_MIPMAPS_OFF_LARGE,Channel-pack masks into one RGBA texture; avoid separate AO/spec maps.
Assets/ScifiFacility/Textures/Base_dirt_roughness.png,4096,4096,21.333,false,VRAM CRIME: TEXTURE_GT_2048;VRAM CRIME: IMPORT_MAX_GT_2048;STREAMING_MIPMAPS_OFF_LARGE,Channel-pack masks into one RGBA texture; avoid separate AO/spec maps.
Assets/ScifiFacility/Textures/Base_normal.png,4096,4096,21.333,false,VRAM CRIME: TEXTURE_GT_2048;VRAM CRIME: IMPORT_MAX_GT_2048;STREAMING_MIPMAPS_OFF_LARGE,Use BC5 normal import; Low tier cap 1024 unless hero close-read asset.
Assets/ScifiFacility/Textures/BrushedMetal_dirt_roughness.png,4096,4096,21.333,false,VRAM CRIME: TEXTURE_GT_2048;VRAM CRIME: IMPORT_MAX_GT_2048;STREAMING_MIPMAPS_OFF_LARGE,Channel-pack masks into one RGBA texture; avoid separate AO/spec maps.
Assets/ScifiFacility/Textures/DetailSheet_mask.png,4096,4096,21.333,false,VRAM CRIME: TEXTURE_GT_2048;VRAM CRIME: IMPORT_MAX_GT_2048;STREAMING_MIPMAPS_OFF_LARGE,Channel-pack masks into one RGBA texture; avoid separate AO/spec maps.
Assets/ScifiFacility/Textures/DetailSheet_normal.png,4096,4096,21.333,false,VRAM CRIME: TEXTURE_GT_2048;VRAM CRIME: IMPORT_MAX_GT_2048;STREAMING_MIPMAPS_OFF_LARGE,Use BC5 normal import; Low tier cap 1024 unless hero close-read asset.
Assets/ScifiFacility/Textures/plane_2x2_DefaultMaterial_Normal.png,4096,4096,21.333,false,VRAM CRIME: TEXTURE_GT_2048;VRAM CRIME: IMPORT_MAX_GT_2048;STREAMING_MIPMAPS_OFF_LARGE,Use BC5 normal import; Low tier cap 1024 unless hero close-read asset.
Assets/ScifiFacility/Textures/Transparent_basecolor.png,4096,4096,21.333,false,VRAM CRIME: TEXTURE_GT_2048;VRAM CRIME: IMPORT_MAX_GT_2048;STREAMING_MIPMAPS_OFF_LARGE,Low tier should halve source/import max; keep high mips only with hero or streaming proof.
Assets/ScifiFacility/Textures/Transparent_normal.png,4096,4096,21.333,false,VRAM CRIME: TEXTURE_GT_2048;VRAM CRIME: IMPORT_MAX_GT_2048;STREAMING_MIPMAPS_OFF_LARGE,Use BC5 normal import; Low tier cap 1024 unless hero close-read asset.
Assets/_Project/Art/Models/Rocks/Rock 7/Materials/2.jpg,4000,4000,20.345,true,VRAM CRIME: TEXTURE_GT_2048,Low tier should halve source/import max; keep high mips only with hero or streaming proof.
Assets/Plugins/Sirenix/Odin Inspector/Assets/Editor/SdfIconAtlas.png,3072,3072,12.000,false,VRAM CRIME: TEXTURE_GT_2048;VRAM CRIME: IMPORT_MAX_GT_2048;VRAM CRIME: UNCOMPRESSED_RGBA32_STATIC_SUSPECT;STREAMING_MIPMAPS_OFF_LARGE,Low tier should halve source/import max; keep high mips only with hero or streaming proof.
Assets/_Project/_PROLOGUE_CONTENT/Textures/Planets/Clouds/GASgIANT/Aegir_storms.png,4096,2048,10.667,true,VRAM CRIME: TEXTURE_GT_2048;STREAMING_MIPMAPS_OFF_LARGE,Low tier should halve source/import max; keep high mips only with hero or streaming proof.
Assets/_Project/_PROLOGUE_CONTENT/Textures/Planets/Clouds/GASgIANT/clouds.png,4096,2048,10.667,true,VRAM CRIME: TEXTURE_GT_2048;STREAMING_MIPMAPS_OFF_LARGE,Low tier should halve source/import max; keep high mips only with hero or streaming proof.
Assets/_Project/_PROLOGUE_CONTENT/Textures/Planets/Clouds/GASgIANT/clouds0_diff.png,4096,2048,10.667,true,VRAM CRIME: TEXTURE_GT_2048;STREAMING_MIPMAPS_OFF_LARGE,Low tier should halve source/import max; keep high mips only with hero or streaming proof.
Assets/_Project/_PROLOGUE_CONTENT/Textures/Planets/pLANET/clouds0_diff.png,4096,2048,10.667,true,VRAM CRIME: TEXTURE_GT_2048;STREAMING_MIPMAPS_OFF_LARGE,Low tier should halve source/import max; keep high mips only with hero or streaming proof.
