"file","name","dataBytes","pad","hasFrame","hasSystem","hasBuffer","hasGen"
"Assets/_Project/Scripts/AI/Pathfinding/PathFunnelContracts.cs","PathFunnelTelemetryEntry","48","16","True","False","False","False"
"Assets/_Project/Scripts/Audio/Editor/ShinobuAcousticDspSmokeTester.cs","AcousticTelemetryEntry","0","64","False","False","False","False"
"Assets/_Project/Scripts/EncounterDirector.cs","EncounterDirectorBlackBoxEntry","48","16","True","False","False","False"
"Assets/_Project/Scripts/Fauna/PredatorCognitionDomain.cs","RetinalTelemetryEntry","32","32","True","False","False","False"
"Assets/_Project/Scripts/Core/SystemDispatcherContracts.cs","DispatcherPipelineTelemetryEntry","32","32","True","False","False","False"
"Assets/_Project/Scripts/Core/Hardware/HardwareThermalService.cs","HardwareThermalTelemetryEntry","24","40","True","False","False","False"
"Assets/_Project/Scripts/Environment/HectonSeismicTideDirector.cs","SeismicTideTelemetryEntry","40","24","False","False","False","False"
"Assets/_Project/Scripts/Core/Memory/Editor/OOP_MemorySentryConcurrentRelocationFuzzer.cs","FuzzerTelemetryEntry","60","4","False","False","True","False"
"Assets/_Project/Scripts/Core/HomeostasisBrain.ScalabilityDictator.cs","ScalabilityTelemetryEntry","28","36","False","False","False","False"
"Assets/_Project/Scripts/Graphics/Scalability/ThermalDynamicResolutionAdapter.cs","DrsTelemetryEntry","48","16","True","False","False","False"
"Assets/_Project/Scripts/Graphics/Culling/TBDRPipelineSurgeonTypes.cs","TBDRPipelineTelemetryEntry","32","32","True","False","False","False"
"Assets/_Project/Scripts/ConstructionManager.cs","HabitatDeconstructionTelemetryEntry","24","40","True","False","False","False"
"Assets/_Project/Scripts/Gameplay/DataArchaeologyRuntime.cs","DataArchaeologyTelemetryEntry","32","32","True","False","False","False"
"Assets/_Project/Scripts/Construction/HabitatGraphManager.cs","HabitatFloodBlackBoxEntry","40","24","True","False","False","False"
"Assets/_Project/Scripts/Construction/FluidPipeGraphTypes.cs","FluidPipeTelemetryEntry","32","32","True","False","False","False"
"Assets/_Project/Scripts/PlayerInventory.cs","SalinityCorrosionTelemetryEntry","32","32","True","False","False","False"
"Assets/_Project/Scripts/Narrative/Prologue/AwaitableDropSequenceDirector.cs","PrologueSequenceTelemetryEntry","28","36","True","False","False","False"
"Assets/_Project/Scripts/Narrative/Campaign/MetaCampaignService.cs","MetaCampaignBlackBoxEntry","24","40","True","False","False","False"
"Assets/_Project/Scripts/ModdingAPI/ModEventProjectionBridge.cs","ModCullTelemetryEntry","24","40","True","False","False","False"
"Assets/_Project/Scripts/World/Resources/WorldRegrowthSimulation.cs","WorldRegrowthTelemetryEntry","48","16","False","False","False","False"
"Assets/_Project/Scripts/Rendering/HectonUberNoirRuntimeBridge.cs","UberNoirShaderTelemetryEntry","48","16","True","False","False","False"
"Assets/_Project/Scripts/Power/Generators/RadioisotopeThermalGenerator.cs","RtgTelemetryEntry","23","41","True","False","False","False"
"Assets/_Project/Scripts/SaveManager.cs","AsyncPersistenceTelemetryEntry","32","32","True","False","False","False"
"Assets/_Project/Scripts/QA/Headless/HeadlessSimulationRunner.cs","HeadlessTelemetryEntry","64","0","True","False","False","False"
"Assets/_Project/Scripts/Prologue/VFX/OrbitalDropReentryVfxController.cs","ReentryVfxTelemetryEntry","48","16","True","False","False","False"
"Assets/_Project/Scripts/UI/DiegeticVisorHudMesh.cs","DiegeticHudTelemetryEntry","36","28","True","False","False","False"
"Assets/_Project/Scripts/World/HectonIndirectVegetationRenderer.cs","FloraGrowthTelemetryEntry","40","24","True","False","False","False"
"Assets/_Project/Scripts/World/HectonIndirectVegetationRenderer.cs","ScatterCullTelemetryEntry","40","24","True","False","False","False"
"Assets/_Project/Scripts/UI/DiegeticTooltipSystem.cs","TooltipBlackBoxEntry","32","32","True","False","False","False"
"Assets/_Project/Scripts/UI/VR/OpenXRManualOverrideLever.cs","ManualOverrideLeverTelemetryEntry","41","23","True","False","False","False"
"Assets/_Project/Scripts/World/FloraAmbientSway/FloraAmbientSwayRuntime.cs","SwayTelemetryEntry","32","32","True","False","False","False"
"Assets/_Project/Scripts/UI/PDADecryptionSpectrogramPanel.cs","FrequencyTuningTelemetryEntry","32","32","True","False","False","False"
"Assets/_Project/Scripts/World/EcosystemDirector.cs","MacroSwarmTelemetryEntry","32","32","True","False","False","False"
"Assets/_Project/Scripts/World/EcosystemDirector.cs","FaunaMutationTelemetryEntry","48","16","True","False","False","False"
"Assets/_Project/Scripts/World/EcosystemDirector.cs","BiomassTelemetryEntry","32","32","True","False","False","False"
"Assets/_Project/Scripts/World/Biolum/HectonBiolumManager.cs","BiolumTelemetryEntry","32","32","True","False","False","False"
"Assets/_Project/Scripts/Visor/SpectrumSystem.cs","ActiveSonarGeoTelemetryEntry","28","36","True","False","False","False"
"Assets/_Project/Scripts/Visor/InternalFloodWaterlineRuntime.cs","WaterlineTelemetryEntry","40","24","True","False","False","False"
"Assets/_Project/Scripts/Visor/HectonVisorFluidDistortionFeature.cs","VisorRefractionTelemetryEntry","48","16","True","False","False","True"
"Assets/_Project/Scripts/VFX/Bioluminescence/BiolumPulseSyncRuntime.cs","BiolumPulseTelemetryEntry","32","32","True","False","False","False"
