"priority","file","line_hint","old_reference","new_reference","recommended_action","reason"
"P0","taskslocal/world_system_20260605/WORLD_OWNER_01_ROCK_FLORA_CORAL_PLACEMENT_STAGING_PACKET.md","45","OPT_Cinematic_Cheat_Protocol_Visual_Fake_First.txt","OPT_Premium_Approximation_Protocol.txt plus PREMIUM_APPROXIMATION_LEDGER.md","Patch current packet reference before execution","Current packet points at deleted mandate file"
"P1","taskslocal/world_system_20260605/WORLD_OWNER_01_ROCK_FLORA_CORAL_PLACEMENT_STAGING_PACKET.md","230","visual fake-first rules","premium approximation rules","Terminology patch only","Meaning remains valid but old term is stale"
"P0","taskslocal/world_system_20260605/WORLD_OWNER_01_FIRST20_ROUTE_PLACEMENT_STAGING_PACKET.md","40","OPT_Cinematic_Cheat_Protocol_Visual_Fake_First.txt","OPT_Premium_Approximation_Protocol.txt plus PREMIUM_APPROXIMATION_LEDGER.md","Patch current packet reference before execution","Current packet points at deleted mandate file"
"P1","taskslocal/world_system_20260605/WORLD_OWNER_01_FIRST20_ROUTE_PLACEMENT_STAGING_PACKET.md","129","visual fake-first presentation","premium approximation presentation","Terminology patch only","Old term can confuse future owners but does not lower floor"
"P0","taskslocal/asset_system_20260605/ASSET_OWNER_14_SKY_AEGIR_CLOUD_SLOT_PROOF_PACKET.md","14","OPT_Cinematic_Cheat_Protocol_Visual_Fake_First","OPT_Premium_Approximation_Protocol","Patch current packet reference before execution","Current visual packet references deleted mandate"
"P0","Docs/Reports/AssetSystem_20260605/H8_1475_CANONICAL_SHOTLIST_20260605.md","26","OPT_Cinematic_Cheat_Protocol_Visual_Fake_First.txt","OPT_Premium_Approximation_Protocol.txt plus PREMIUM_APPROXIMATION_LEDGER.md","Patch shotlist authority reference","Current h8_1475 proof docs reference deleted mandate"
"P0","Docs/Reports/AssetSystem_20260605/PRODUCT_FACE_STATIC_EXECUTION_REFINEMENT_20260605.md","15","OPT_Cinematic_Cheat_Protocol_Visual_Fake_First.txt","OPT_Premium_Approximation_Protocol.txt plus PREMIUM_APPROXIMATION_LEDGER.md","Patch refinement authority reference","Current product-face execution doc references deleted mandate"
"P0","Docs/Reports/AssetSystem_20260605/VISUAL_REFERENCE_CRITIQUE_CHECKLIST_20260605.md","23","OPT_Cinematic_Cheat_Protocol_Visual_Fake_First.txt","OPT_Premium_Approximation_Protocol.txt plus PREMIUM_APPROXIMATION_LEDGER.md","Patch checklist authority reference","Current visual critique checklist references deleted mandate"
"P0","Docs/Reports/AssetSystem_20260605/VISUAL_REFERENCE_VS_CURRENT_REJECTION_MATRIX_20260605.md","16","OPT_Cinematic_Cheat_Protocol_Visual_Fake_First.txt","OPT_Premium_Approximation_Protocol.txt plus PREMIUM_APPROXIMATION_LEDGER.md","Patch rejection matrix authority reference","Current visual rejection matrix references deleted mandate"
"P1","Docs/Reports/AssetSystem_20260605/PRODUCT_FACE_STATIC_EXECUTION_REFINEMENT_20260605.csv","PF-REF-013","deterministic visual fake before physical simulation","premium deterministic approximation before physical simulation","Terminology patch only","CSV row meaning remains valid but old term is stale"
"P0","taskslocal/asset_system_20260605/ASSET_OWNER_24_PRODUCT_FACE_MATERIAL_REPAIR_PACKET.md","47","OPT_Cinematic_Cheat_Protocol_Visual_Fake_First.txt","OPT_Premium_Approximation_Protocol.txt plus PREMIUM_APPROXIMATION_LEDGER.md","Patch current packet reference before execution","Current product-face packet references deleted mandate"
"P0","taskslocal/asset_system_20260605/ASSET_OWNER_25_PREFAB_PRIMITIVE_MESH_REPLACEMENT_PACKET.md","43","OPT_Cinematic_Cheat_Protocol_Visual_Fake_First.txt","OPT_Premium_Approximation_Protocol.txt plus PREMIUM_APPROXIMATION_LEDGER.md","Patch current packet reference before execution","Current prefab packet references deleted mandate"
"P1","taskslocal/asset_system_20260605/ASSET_OWNER_25_PREFAB_PRIMITIVE_MESH_REPLACEMENT_PACKET.md","145","visual fake route","premium approximation route","Terminology patch only","Old wording must still reject flat plane camouflage"
"P0","taskslocal/asset_system_20260605/ASSET_OWNER_26_UNITY_READBACK_NO_MUTATION_PACKET.md","61","OPT_Cinematic_Cheat_Protocol_Visual_Fake_First.txt","OPT_Premium_Approximation_Protocol.txt plus PREMIUM_APPROXIMATION_LEDGER.md","Patch current packet reference before execution","Current Unity readback packet references deleted mandate"
"P0","taskslocal/asset_system_20260605/ASSET_OWNER_27_UNDERWATER_VFX_SOURCE_PACKET.md","30","OPT_Cinematic_Cheat_Protocol_Visual_Fake_First.txt","OPT_Premium_Approximation_Protocol.txt plus PREMIUM_APPROXIMATION_LEDGER.md","Patch current packet reference before execution","Current VFX packet references deleted mandate"
