path,priority,reason,base_maps,normal_maps,occlusion_sources,roughness_sources,metallic_sources,legacy_mask_sources,detail_sources,has_detail
Art/Materials/Meshy_AI_Alien_barnacles_clust_0301230506_texture.mat,LOW,Base material has no prompt ORM slot; author or reuse ORM if the material is near-field.,_BaseMap:Art/TEXTURES/Meshy_AI_Alien_barnacles_clust_0301230506_texture.png;_MainTex:Art/TEXTURES/Meshy_AI_Alien_barnacles_clust_0301230506_texture.png,,,,,,,False
Art/Materials/Construction/Mat_RuinSeepSheen.mat,LOW,Base material has no prompt ORM slot; author or reuse ORM if the material is near-field.,_MainTex:Art/TEXTURES/Detali/Mineral Seep Mask - second try.png,,,,,,,False
Art/Materials/WorldProceduralProxy/MAT_family_coral_branching.mat,MEDIUM,"Legacy packed/gloss slot exists, but prompt ORM slot is absent.",_BaseMap:Art/TEXTURES/WorldProceduralFlora/Imported/family.coral.branching/albedo___family.coral.branching.png,_NormalMap:Art/TEXTURES/WorldProceduralFlora/Imported/family.coral.branching/normal___family.coral.branching.png,,,,_MaskMap:Art/TEXTURES/WorldProceduralFlora/Imported/family.coral.branching/mask___family.coral.branching.png,,False
Art/Materials/WorldProceduralProxy/MAT_family_coral_brittle.mat,MEDIUM,"Legacy packed/gloss slot exists, but prompt ORM slot is absent.",_BaseMap:Art/TEXTURES/WorldProceduralFlora/Imported/family.coral.brittle/albedo___family.coral.brittle.png,_NormalMap:Art/TEXTURES/WorldProceduralFlora/Imported/family.coral.brittle/normal___family.coral.brittle.png,,,,_MaskMap:Art/TEXTURES/WorldProceduralFlora/Imported/family.coral.brittle/mask___family.coral.brittle.png,,False
Art/Materials/WorldProceduralProxy/MAT_family_coral_low.mat,MEDIUM,"Legacy packed/gloss slot exists, but prompt ORM slot is absent.",_BaseMap:Art/TEXTURES/WorldProceduralFlora/Imported/family.coral.low/albedo___family.coral.low.png,_NormalMap:Art/TEXTURES/WorldProceduralFlora/Imported/family.coral.low/normal___family.coral.low.png,,,,_MaskMap:Art/TEXTURES/WorldProceduralFlora/Imported/family.coral.low/mask___family.coral.low.png,,False
Art/Materials/WorldProceduralProxy/MAT_family_coral_massive.mat,MEDIUM,"Legacy packed/gloss slot exists, but prompt ORM slot is absent.",_BaseMap:Art/TEXTURES/WorldProceduralFlora/Imported/family.coral.massive/albedo___family.coral.massive.png,_NormalMap:Art/TEXTURES/WorldProceduralFlora/Imported/family.coral.massive/normal___family.coral.massive.png,,,,_MaskMap:Art/TEXTURES/WorldProceduralFlora/Imported/family.coral.massive/mask___family.coral.massive.png,,False
Art/Materials/WorldProceduralProxy/MAT_family_coral_plate.mat,MEDIUM,"Legacy packed/gloss slot exists, but prompt ORM slot is absent.",_BaseMap:Art/TEXTURES/WorldProceduralFlora/Imported/family.coral.plate/albedo___family.coral.plate.png,_NormalMap:Art/TEXTURES/WorldProceduralFlora/Imported/family.coral.plate/normal___family.coral.plate.png,,,,_MaskMap:Art/TEXTURES/WorldProceduralFlora/Imported/family.coral.plate/mask___family.coral.plate.png,,False
Art/Materials/WorldProceduralProxy/MAT_family_kelp_abyssal.mat,MEDIUM,"Legacy packed/gloss slot exists, but prompt ORM slot is absent.",_BaseMap:Art/TEXTURES/WorldProceduralFlora/Imported/family.kelp.abyssal/albedo___family.kelp.abyssal.png,_NormalMap:Art/TEXTURES/WorldProceduralFlora/Imported/family.kelp.abyssal/normal___family.kelp.abyssal.png,,,,_MaskMap:Art/TEXTURES/WorldProceduralFlora/Imported/family.kelp.abyssal/mask___family.kelp.abyssal.png,,False
Art/Materials/WorldProceduralProxy/MAT_family_kelp_canopy.mat,MEDIUM,"Legacy packed/gloss slot exists, but prompt ORM slot is absent.",_BaseMap:Art/TEXTURES/WorldProceduralFlora/Imported/family.kelp.canopy/albedo___family.kelp.canopy.png,_NormalMap:Art/TEXTURES/WorldProceduralFlora/Imported/family.kelp.canopy/normal___family.kelp.canopy.png,,,,_MaskMap:Art/TEXTURES/WorldProceduralFlora/Imported/family.kelp.canopy/mask___family.kelp.canopy.png,,False
Art/Materials/WorldProceduralProxy/MAT_family_kelp_patch_dense.mat,MEDIUM,"Legacy packed/gloss slot exists, but prompt ORM slot is absent.",_BaseMap:Art/TEXTURES/WorldProceduralFlora/Imported/family.kelp.patch.dense/albedo___family.kelp.patch.dense.png,_NormalMap:Art/TEXTURES/WorldProceduralFlora/Imported/family.kelp.patch.dense/normal___family.kelp.patch.dense.png,,,,_MaskMap:Art/TEXTURES/WorldProceduralFlora/Imported/family.kelp.patch.dense/mask___family.kelp.patch.dense.png,,False
Art/Materials/WorldProceduralProxy/MAT_family_kelp_tall.mat,MEDIUM,"Legacy packed/gloss slot exists, but prompt ORM slot is absent.",_BaseMap:Art/TEXTURES/WorldProceduralFlora/Imported/family.kelp.tall/albedo___family.kelp.tall.png,_NormalMap:Art/TEXTURES/WorldProceduralFlora/Imported/family.kelp.tall/normal___family.kelp.tall.png,,,,_MaskMap:Art/TEXTURES/WorldProceduralFlora/Imported/family.kelp.tall/mask___family.kelp.tall.png,,False
