StableId|Hash|MassKg|VolumeL|EnergyDensityMJkg|BaseDurability
Data_Copper|0x59F4F85F|2.40|1.00|0.00|36
Data_TitaniumScrap|0xD00F5C5A|2.40|1.00|0.00|36
Data_IronComposite|0x72783AD3|2.40|1.00|0.00|36
Data_SilicaShards|0x31E4BD68|1.40|0.80|0.40|28
Data_FiberKelp|0x459F1430|0.80|1.20|1.60|16
Data_SulfurClumps|0xA1C2A85B|1.00|0.90|2.20|20
Data_HydrocarbonResin|0xB3A3599A|1.00|0.90|2.20|20
Data_GoldOre|0xCBB4D7FC|2.40|1.00|0.00|36
Data_SilverOre|0x2F0D505D|2.40|1.00|0.00|36
Data_NickelOre|0x4803C5C0|2.40|1.00|0.00|36
Data_TungstenChunk|0x5A47CDAB|2.85|1.12|0.00|41
Data_RareEarthDust|0x5C634272|1.18|1.00|2.70|24
Data_ElectrolyteSalts|0x5302E193|1.18|1.00|2.70|24
Data_LithiumCrystal|0xB28CEA78|1.62|0.88|0.60|32
Data_BiolumPaste|0xBC07BDF5|0.94|1.30|1.90|19
Data_MembraneTissue|0xC1ACF5C4|0.94|1.30|1.90|19
Data_EnzymeCoral|0xD4A0B197|0.94|1.30|1.90|19
Data_ThermalGel|0x4BD0539F|1.18|1.00|2.70|24
Data_CobaltAlloy|0x4B254CB8|2.85|1.12|0.00|41
Data_AbyssalCrystal|0x50278D73|1.98|0.93|3.90|46
Data_ManganeseNodule|0x64EBC87C|3.30|1.24|0.00|46
Data_BasaltCore|0x19DAD4FC|3.30|1.24|0.00|46
Data_BrineQuartz|0x6AB59867|1.84|0.96|0.80|36
Data_PhosphorSlurry|0x4C710FC4|1.36|1.10|3.20|28
Data_AlgaeProtein|0xA0996F55|1.08|1.40|2.20|22
Data_CalcifiedTube|0x7FCFEED8|1.08|1.40|2.20|22
Data_MagnesiumFlake|0x55858BBF|3.30|1.24|0.00|46
Data_VanadiumShard|0x07D135A5|3.30|1.24|0.00|46
Data_BorateStone|0x4E82DED0|1.84|0.96|0.80|36
Data_MethaneIce|0x583FE7A5|2.26|1.01|4.80|46
Data_CryoBrine|0x8254E05B|2.54|1.09|5.70|58
Data_ConductiveSponge|0x12098612|2.54|1.09|5.70|52
Data_CarbonSludge|0x32ADCD2D|1.54|1.20|3.70|32
