packet_id,surface,locale,status,blocker,recommended action
P001_CRASH_SHELF,in_game_wiki,en_US,static_game_source_candidate_runtime_proof_pending,runtime UI/DataMonolith proof pending,Queue for English prototype reader/game codex only after runtime string-pool/UI proof.
P002_BLACK_KEEL_CONTACT,in_game_wiki,en_US,static_game_source_candidate_runtime_proof_pending,runtime UI/DataMonolith proof pending,Queue for English prototype reader/game codex only after runtime string-pool/UI proof.
P003_BARNARD_MARK,in_game_wiki,en_US,static_game_source_candidate_runtime_proof_pending,runtime UI/DataMonolith proof pending,Queue for English prototype reader/game codex only after runtime string-pool/UI proof.
P004_BLUE_DEBT,in_game_wiki,en_US,static_game_source_candidate_runtime_proof_pending,runtime UI/DataMonolith proof pending,Queue for English prototype reader/game codex only after runtime string-pool/UI proof.
P005_REPAIR_SCAR,in_game_wiki,en_US,static_game_source_candidate_runtime_proof_pending,runtime UI/DataMonolith proof pending,Queue for English prototype reader/game codex only after runtime string-pool/UI proof.
P006_DEAD_CLAIM_CACHE,in_game_wiki,en_US,static_game_source_candidate_runtime_proof_pending,runtime UI/DataMonolith proof pending,Queue for English prototype reader/game codex only after runtime string-pool/UI proof.
P007_BRINE_STAIR,in_game_wiki,en_US,blocked_production_residue,text residue: ai_meta_phrase,Rewrite source field/page as in-world copy; rerun importer/exporter only in serialized writer slot; rescan banned terms.
P008_EVACUATION_HOLD,in_game_wiki,en_US,static_game_source_candidate_runtime_proof_pending,runtime UI/DataMonolith proof pending,Queue for English prototype reader/game codex only after runtime string-pool/UI proof.
P009_BOTTOM_FACTORY,in_game_wiki,en_US,static_game_source_candidate_runtime_proof_pending,runtime UI/DataMonolith proof pending,Queue for English prototype reader/game codex only after runtime string-pool/UI proof.
P010_PAYLOAD_WINDOW,in_game_wiki,en_US,static_game_source_candidate_runtime_proof_pending,runtime UI/DataMonolith proof pending,Queue for English prototype reader/game codex only after runtime string-pool/UI proof.
P011_DOMAIN_MARKS_2190,in_game_wiki,en_US,static_game_source_candidate_runtime_proof_pending,runtime UI/DataMonolith proof pending,Queue for English prototype reader/game codex only after runtime string-pool/UI proof.
P012_RELAY_SPINE,in_game_wiki,en_US,static_game_source_candidate_runtime_proof_pending,runtime UI/DataMonolith proof pending,Queue for English prototype reader/game codex only after runtime string-pool/UI proof.
P013_NEARLIGHT_SHIP_CLASSES,in_game_wiki,en_US,static_game_source_candidate_runtime_proof_pending,runtime UI/DataMonolith proof pending,Queue for English prototype reader/game codex only after runtime string-pool/UI proof.
P014_AEGIR_ROUTE_WINDOW,in_game_wiki,en_US,static_game_source_candidate_runtime_proof_pending,runtime UI/DataMonolith proof pending,Queue for English prototype reader/game codex only after runtime string-pool/UI proof.
P015_BLACK_KEEL_LEDGER,in_game_wiki,en_US,static_game_source_candidate_runtime_proof_pending,runtime UI/DataMonolith proof pending,Queue for English prototype reader/game codex only after runtime string-pool/UI proof.
P016_AEGIR_HOST_STAR,in_game_wiki,en_US,static_game_source_candidate_runtime_proof_pending,runtime UI/DataMonolith proof pending,Queue for English prototype reader/game codex only after runtime string-pool/UI proof.
P017_AEGIR_MOON_LADDER,in_game_wiki,en_US,static_game_source_candidate_runtime_proof_pending,runtime UI/DataMonolith proof pending,Queue for English prototype reader/game codex only after runtime string-pool/UI proof.
P018_HECTON8_DROWNED_GEOLOGY,in_game_wiki,en_US,static_game_source_candidate_runtime_proof_pending,runtime UI/DataMonolith proof pending,Queue for English prototype reader/game codex only after runtime string-pool/UI proof.
P019_HECTON8_RESOURCE_STACK,in_game_wiki,en_US,static_game_source_candidate_runtime_proof_pending,runtime UI/DataMonolith proof pending,Queue for English prototype reader/game codex only after runtime string-pool/UI proof.
