"step_id","phase","owner_mode","action","allowed_files_or_routes","blocked_files_or_routes","inputs_required","preflight_check","proof_required","rollback_or_abort_condition","parallel_allowed_before_step","status"
"PF1892-001","preflight_slot_gate","single Unity owner","Acquire uncontested Unity slot and record owner lock.","Docs/AgentLogs; owner lock note outside runtime product routes","Unity import; PlayMode; profiler; screenshots; DataMonolith; exporters; build; source/assets/prefabs/scenes by non-owner","AGENTS.md; 1892 runbook; current process list; dirty tree snapshot","No dotnet/csc/Unity import/shader compiler/build/profiler/DataMonolith active; CPU below project gate","Owner lock record and dirty tree snapshot","Abort if any competing Unity/build/import/profiler owner or high CPU/process conflict exists","Reports; manifests; static no-mutation audits","PENDING UNITY SLOT"
"PF1892-002","preflight_backup","single Unity owner","Create rollback plan before any import or prefab save.","VCS checkpoint or owned rollback folder outside runtime product routes","Blind prefab save; deleting assets; moving .prefab without .meta; changing unrelated dirty files","Target prefab list; GUID list; renderer paths; material slots; anchor refs","Confirm rollback can restore prefab and .meta together","Rollback inventory with touched asset list","Abort if rollback cannot restore all target files atomically","Reports; shot-list prep; source-only validators","PENDING UNITY SLOT"
"PF1892-003","static_prerequisites","single Unity owner","Confirm required static packets and validators exist before opening Unity.","Tools/GeneratedAssetProductionAudit.py; ProductFace validator scripts; Batch18 reports 1867-1891","Unity mutation when prerequisites missing","1867-1891 packets; 1888 channel manifest; 1889 exclusion matrix; 1890 validator report","All required files exist; 1890 present not 1890_PENDING","Static checklist in owner log","Abort if any required static prerequisite is absent or stale","All no-mutation report work","PENDING UNITY SLOT"
"PF1892-004","source_route_roots","single Unity owner","Lock current ProductFace source roots and reject stale generated paths.","Assets/_Project/Art/Generated/ProductFace/Tools/; Resources/; Transport/; PlayerSuit/","Generic Generated/Resources; AI_Texturing generic folders; terrain/ocean/flora donor roots","1874-1877 source route reports; 1886 pipeline discovery","Folder route plan matches 1892 runbook","Static route table","Abort if source generation tries non-ProductFace roots","Static manifests and reports","PENDING UNITY SLOT"
"PF1892-005","material_manifest_preflight","single Unity owner","Validate ProductFace texture/material manifest before import.","Assets/_Project/Data/ProductFace/TextureIngestion/product_face_texture_manifest.csv or stricter ProductFace manifest","Assets/_Project/Data/AITexturing/ai_texture_prefab_bindings.csv; wildcard prefab binding; all-renderers rows","1888 channel manifest; 1889 exclusions; 1891 hardening packet","Every row has category, shader, map role, packed layout, channels, import settings, allowed prefab slot if relink-ready","Manifest parse and dry-run validation report","Abort on missing channel contract, wildcard prefab target, generic AI binding, or forbidden donor","Manifest authoring; no Unity mutation","PENDING UNITY SLOT"
"PF1892-006","tool_mesh_sources","single Unity owner","Run tool mesh source authoring after prerequisites pass.","HECTON-8/Product Face/Author Tool Mesh Sources 1874; Assets/_Project/Art/Generated/ProductFace/Tools/","Prefab relink before generated meshes exist; material assignment; collider mutation","1874 source script; all 12 tool specs","Unity compile/import ready; no other owner active","Generated mesh asset report and static no-built-in-primitive source check","Abort on menu/import error, missing tool family, invalid mesh validation, or non-ProductFace output path","Reports; material role manifests","PENDING UNITY SLOT"
"PF1892-007","resource_mesh_sources","single Unity owner","Run resource pickup mesh source authoring.","HECTON-8/Product Face/Author Resource Pickup Source Meshes; Assets/_Project/Art/Generated/ProductFace/Resources/","Creating duplicate Item_Titanium mesh truth; changing item data; prefab relink before material proof","1875 source script; Data_Copper; Data_TitaniumScrap truth","Unity ready; resource spec list matches CopperOre/FiberKelp/HydrocarbonResin/MembraneTissue/SilicaShards/SilverOre/SulfurClumps/TitaniumScrap","Generated resource mesh report","Abort on data identity drift, missing resource, invalid mesh, or duplicate titanium truth","Reports; static audits","PENDING UNITY SLOT"
"PF1892-008","transport_mesh_sources","single Unity owner","Run transport mesh source authoring.","Assets/_Project/Art/Generated/ProductFace/Transport/","Transport prefab relink; anchor migration; vehicle behavior edits","1876 source script; CargoSled/ExosuitFrame/MicroSub/ScoutGlider specs","Unity ready; transport route list matches 1876","Generated transport mesh report","Abort on missing transport, invalid mesh, or anchor/preset mutation attempt","Reports; material role manifests","PENDING UNITY SLOT"
"PF1892-009","player_suit_mesh_sources","single Unity owner","Run player suit/body mesh source authoring.","HECTON-8/Product Face/Author Player Suit Mesh Sources 1877; Assets/_Project/Art/Generated/ProductFace/PlayerSuit/","Player.prefab relink; HandAnchor movement; HUD/camera edits","1877 source script; 10 suit source parts","Unity ready; suit part list matches report","Generated suit mesh report","Abort on missing part, invalid mesh, or any attempted gameplay/camera/HUD mutation","Reports; static validators","PENDING UNITY SLOT"
"PF1892-010","texture_import_phase","single Unity owner","Import/create ProductFace texture and material assets without prefab editing.","Assets/_Project/Textures/ProductFace/**; Assets/_Project/Materials/ProductFace/**; Docs/Reports/ProductFace/**","Prefabs; scenes; runtime scripts; Crest/MapMagic materials; ai_texture_prefab_bindings.csv","ProductFace manifest; 1888 channel contracts; 1889 exclusions; 1891 guardrails","Manifest rows declare shader-specific channel layout and import policy","Import report; material validation report; black-box dump on failure","Abort on baked lighting, false PBR channels, missing albedo/normal/packed map, wrong sRGB/normal/linear settings, or forbidden donor","Reports; shot-list prep","PENDING UNITY SLOT"
