material,mesh,texture,tool,path,role,risk
-,-,-,-,Assets/_Project/Scenes/02_HECTON_WORLD.unity,Static source scene for coast and foam object names,STATIC_ONLY_NO_RUNTIME_PROOF
-,-,-,-,Assets/_Project/Prefabs/Ocean_Crest.prefab,Ocean prefab candidate for later Unity inspection,DO_NOT_BLINDLY_ENABLE_CREST_DEPTH_OR_FOAM_CAMERAS
MAT_H8_SurfaceCrestOcean_1428,-,-,-,Assets/_Project/Art/Materials/MAT_H8_SurfaceCrestOcean_1428.mat,First-party Crest ocean material candidate with foam caustics normals,PACKAGE_SHADER_REFERENCE_ONLY_BINDING_PENDING
MAT_H8_SurfaceCrestOcean_1428,-,Foam2.png,-,Assets/Crest/Crest/Textures/Foam2.png,Crest foam texture already referenced by ocean material,THIRD_PARTY_ASSET_READ_ONLY
MAT_H8_SurfaceCrestOcean_1428,-,Caustics_tex_color.png,-,Assets/Crest/Crest/Textures/Caustics/Caustics_tex_color.png,Crest caustic texture already referenced by ocean material,THIRD_PARTY_ASSET_READ_ONLY
MAT_H8_SurfaceCrestOcean_1428,-,TX_H8_SurfaceWaterNormals_1428,-,Assets/_Project/Art/TEXTURES/TX_H8_SurfaceWaterNormals_1428.asset,First-party ocean normal texture referenced by ocean material,STATIC_BINDING_ONLY
MAT_H8SurfaceShoreFoam_1428,-,foam.png,-,Assets/_Project/Art/Materials/World/MAT_H8SurfaceShoreFoam_1428.mat,Primary current shoreline foam material candidate,SCENE_OBJECT_INACTIVE_PENDING_UNITY
MAT_H8SurfaceShoreFoam_1428,-,foam.png,-,Assets/_Project/Art/TEXTURES/foam.png,First-party foam texture wired to shoreline foam material,STATIC_TEXTURE_ONLY_VISUAL_PENDING
MAT_H8_SurfaceFoamRibbons_1428,-,-,-,Assets/_Project/Art/Materials/MAT_H8_SurfaceFoamRibbons_1428.mat,Foam ribbon material candidate requiring packed texture assignment,EMPTY_TEXTURE_SLOTS_REJECT_AS_FINAL
-,-,-,-,Assets/_Project/Art/Shaders/H8_ShorelineFoamRibbon_1428.shader,First-party foam ribbon shader using RGB breakup channels,DO_NOT_EDIT_SHADER_IN_THIS_TASK
