"material_family","domain","shader_or_route","albedo_slot","normal_slot","packed_slot","packed_r","packed_g","packed_b","packed_a","extra_slots","import_policy","status","blocked_until"
"tools using Hecton_ToolDecayLit","tools","Assets/_Project/Art/Shaders/Hecton_ToolDecayLit.shader + Hecton_CoreLit PackedMaskV1","_BaseMap","_BumpMap","_MaskMap","Metallic","AO/Occlusion","Smoothness","EmissionMask","_BaseColor; _EmissionColor; dynamic wear uses CoreLit rust detail route if present","Albedo sRGB; normal NormalMap/BC5 where possible; mask linear BC7/ASTC; mips on; no placeholder empty slots","ACCEPTED_CHANNEL_CONTRACT_STATIC","Texture source, import report, held/world assignment, screenshot, Frame Debugger/profiler acceptance still required"
"tool screens using Hecton_ToolScreenDiegetic","tools","Hecton_ToolScreenDiegetic candidate route from 1880; shader not in 1888 required source list","BLOCKED_SCREEN_ALBEDO_OR_RT_SLOT_REQUIRED","BLOCKED_SCREEN_NORMAL_SLOT_REQUIRED","BLOCKED_SCREEN_MASK_SLOT_REQUIRED","BLOCKED","BLOCKED","BLOCKED","BLOCKED","Screen/readout emission/HUD/scanline slots unknown in this audit","Do not author or relink screen packed maps until shader property/channel contract is inspected","BLOCKED_CHANNEL_CONTRACT_REQUIRED","Read/audit Hecton_ToolScreenDiegetic.shader and declare screen albedo/normal/emission/channel contract"
"resource minerals","resources","Mineral pickup route unresolved; candidate MRAO only if chosen per material owner","_BaseMap or declared mineral albedo slot","_NormalMap or declared mineral normal slot","BLOCKED_MINERAL_PACKED_SLOT_REQUIRED","Metallic if MRAO; BLOCKED until shader chosen","Roughness if MRAO; BLOCKED until shader chosen","AO if MRAO; BLOCKED until shader chosen","Wetness/glint/emission/family mask if declared","Copper/silver/silica/sulfur mineral seams; wetness; glint; cavity AO; detail grain","Albedo sRGB; normal NormalMap/BC5; packed linear; terrain donor textures require owner approval and ore-specific overlays","BLOCKED_CHANNEL_CONTRACT_REQUIRED","Per-mineral shader route and packed-map layout plus source texture/import proof"
"resource organics","resources","ProceduralBio ORM allowed only for organic/flora-derived route; pickup shader unresolved","_AlbedoAtlas or pickup albedo slot","_NormalAtlas or pickup normal slot","_ORMAtlas if ProceduralBio chosen","Occlusion","Roughness","Metallic","EmissionMask","Thickness/translucency/wetness/biolum masks only if shader declares them","Albedo sRGB; normal NormalMap/BC5; ORM linear; no alpha-blend dense fields without proof","BLOCKED_CHANNEL_CONTRACT_REQUIRED","Per-organic pickup declares ProceduralBio ORM or a pickup-specific shader contract"
"resource scrap","resources","Scrap pickup route unresolved; may use MRAO or ToolDecayLit only after owner choice","_BaseMap or declared scrap albedo slot","_NormalMap/_BumpMap or declared scrap normal slot","BLOCKED_SCRAP_PACKED_SLOT_REQUIRED","BLOCKED metallic meaning until shader chosen","BLOCKED roughness/AO meaning until shader chosen","BLOCKED AO/smoothness meaning until shader chosen","Emission/wetness/wear mask if declared","Cut edge; bent metal; worn paint; labels; salt/oil grime","Albedo sRGB; normal NormalMap/BC5; packed linear; no flat Mat_Resource_Scrap source promotion","BLOCKED_CHANNEL_CONTRACT_REQUIRED","Scrap shader route and packed channel conversion manifest"
"transport hull metal","transport","Dedicated transport hull route missing; RuntimeShell/RuntimeVisualProof candidates are semantic only","BLOCKED_TRANSPORT_HULL_ALBEDO_REQUIRED","BLOCKED_TRANSPORT_HULL_NORMAL_REQUIRED","BLOCKED_TRANSPORT_HULL_PACKED_REQUIRED","BLOCKED metallic","BLOCKED roughness/smoothness/AO","BLOCKED AO/smoothness","BLOCKED emission/wetness/wear","Wet steel; graphite; edge wear; waterline; panel dirt; decals","Project-owned MAT_/TX_ only; albedo sRGB; normal NormalMap; packed linear; no runtime proof-material promotion without owner approval","BLOCKED_CHANNEL_CONTRACT_REQUIRED","Transport family material source package with shader/channel/import proof"
"transport glass","transport","Dedicated transport glass route missing; SuitVisor is not a transport glass donor by default","BLOCKED_GLASS_TINT_OR_BASE_REQUIRED","BLOCKED_GLASS_SCRATCH_NORMAL_REQUIRED","BLOCKED_GLASS_WEAR_OR_MASK_REQUIRED","BLOCKED","BLOCKED","BLOCKED","BLOCKED","Scratch; droplet; runoff; grime; viewport rim masks; transparency/cutout policy","Glass route must declare transparent/cutout strategy and compact readability; no generic SuitVisor slot reuse without owner approval","BLOCKED_CHANNEL_CONTRACT_REQUIRED","Transport viewport shader and slot contract"
"transport rubber","transport","Dedicated transport rubber/gasket route missing","BLOCKED_RUBBER_ALBEDO_REQUIRED","BLOCKED_RUBBER_NORMAL_REQUIRED","BLOCKED_RUBBER_PACKED_REQUIRED","Usually nonmetal; BLOCKED until shader chosen","Roughness/smoothness blocked until shader chosen","AO blocked until shader chosen","Wear/wetness family mask if declared","Gaskets; grips; seals; hose ribbing; abrasion","Albedo sRGB; normal NormalMap; packed linear; no flat color rubber","BLOCKED_CHANNEL_CONTRACT_REQUIRED","Rubber material family shader/channel/import proof"
"player suit body","player","Dedicated player suit body route missing; RuntimeVisualProof candidates are semantic only","BLOCKED_SUIT_BODY_ALBEDO_REQUIRED","BLOCKED_SUIT_BODY_NORMAL_REQUIRED","BLOCKED_SUIT_BODY_PACKED_REQUIRED","BLOCKED metallic panels","BLOCKED roughness/smoothness/AO","BLOCKED AO/smoothness","BLOCKED emission/wetness/wear","Graphite suit panels; gloves; fins; seals; cyan/amber trims if separate","Project-owned suit atlas; albedo sRGB; normal NormalMap; packed linear; no MAT_PlayerSwimBlockout or unresolved GUID","BLOCKED_CHANNEL_CONTRACT_REQUIRED","Suit body texture atlas and shader/channel contract"
"player visor glass","player","Assets/_Project/Art/Shaders/SuitVisor.shader","_BaseColor plus _HUD_RenderTexture for HUD compositing","_ScratchNormalMap; _WaterRunoffNormalTex","_VisorMaskTex","Dirt","Scratch","Salt","Condensation","_FingerprintTex R mask; _WaterDropletMaskTex droplet mask; refraction/frost/pressure crack parameters","HUD/render texture owned separately; scratch/runoff normals as normal import; masks linear; no generic PBR MRAO/ORM/ARM reuse","PARTIAL_SOURCE_STATIC","ScratchNormal/Fingerprint/VisorMask source maps, non-primitive visor mesh, screenshots, Frame Debugger proof"
