"route_zone","depth_band","biome_or_zone_plan","candidate_prefab_or_asset","material_family","silhouette_role","color_role","navigation_role","hazard_or_fauna_role","density_compact","density_middle","density_high","density_ultra","runtime_risk","required_unity_capture","rejection_gate","proof_source"
"Route_Anchor_Waterline","0-5 m","Archipelago Needles + Resources Starter + socket.nav.anchor","family_kelp_canopy/GEN_family_kelp_canopy__veil.prefab + family_coral_low/GEN_family_coral_low__bed.prefab","MAT_family_kelp_canopy + MAT_family_coral_low","low waving canopy fringe with coral carpet at the first descent line","sunlit green canopy over warm rose low coral","frames the return anchor from surface to first underwater read","none claimed; open-water safety read only","authoring target GQW 0.00: 1 canopy fringe cluster + 3 coral beds per 64 m route cell","authoring target GQW 0.40: 2 canopy fringe clusters + 5 coral beds per 64 m route cell","authoring target GQW 0.75: 3 canopy fringe clusters + 7 coral beds per 64 m route cell","authoring target GQW 1.00: 4 canopy fringe clusters + 9 coral beds per 64 m route cell","STATIC_DOC only; no active scatter proof; future placement must not hide waterline readability","low waterline screenshot with Aegir sky + route anchor + first biota silhouettes","reject if waterline stays flat or biota becomes random rim clutter","STATIC_SOURCE: VISION_LOCKS 0-100 m bright lock; 1801 Route_Anchor socket; 1802 kelp_canopy/coral_low inventory; Baked flora README"
"Starter_ReefField_Entry","5-20 m","Starter_ReefField / Sea-Stack Forest / ZoneProfile_Resources_Starter","family_kelp_tall/GEN_family_kelp_tall__tower__s130-185.prefab + family_coral_branching/GEN_family_coral_branching__thicket.prefab","MAT_family_kelp_tall + MAT_family_coral_branching","vertical kelp towers against branching reef thickets","clear green columns with orange-pink coral accents","first descent corridor and memory landmark between spawn and copper/scrap sockets","passive schooling silhouettes allowed only after behavior proof; no behavior claimed here","target: 2 kelp tower clusters at 6-8 rule instances + 2 coral thickets per 64 m cell","target: 3 kelp tower clusters at 8-12 rule instances + 3 coral thickets per 64 m cell","target: 4 kelp tower clusters at 12-16 rule instances + 4 coral thickets per 64 m cell","target: 5 kelp tower clusters at 16-18 rule instances + 5 coral thickets per 64 m cell","STATIC_SOURCE only; LOD prefabs exist but placement/culling/perf unproven","5-20 m forward swim capture from spawn toward Starter_ReefField with node visibility","reject if entry remains empty blue water or silhouettes merge into unreadable grass","STATIC_SOURCE: scene Starter_ReefField active; rule_kelp_starter 0-180 m min 6 max 18; rule_coral_branching 0-600 m; 1802 inventory"
"Starter_ReefField_Core","20-45 m","Starter_ReefField / Resources Starter / fossil shelf","family_kelp_patch_dense/GEN_family_kelp_patch_dense__sheetwall__s120-185.prefab + family_coral_massive/GEN_family_coral_massive__porous.prefab","MAT_family_kelp_patch_dense + MAT_family_coral_massive","dense sheet walls broken by bulky porous coral mounds","deep green occlusion pockets with amber coral masses","turns copper and scrap pockets into a readable shelter/resource bowl","small passive fauna shadows may pass behind coral only with future owner proof","target: 1 dense kelp wall + 3 massive coral mounds per 64 m cell","target: 2 dense kelp walls + 5 massive coral mounds per 64 m cell","target: 3 dense kelp walls + 7 massive coral mounds per 64 m cell","target: 4 dense kelp walls + 9 massive coral mounds per 64 m cell","risk is over-occlusion around resource sockets; authored visibility lane required","30 m resource-pocket capture showing Scrap_A and Copper_A remain legible through biota","reject if resource readability is blocked or route becomes a maze of identical kelp","STATIC_SOURCE: Copper_A and Scrap_A sockets; rule_kelp_patch_dense 0-220 m min 3 max 9; rule_coral_massive 6-420 m min 3 max 9"
"Carbonate_Ledge_Shelves","18-60 m","Sea-Stack Forest / fossil reef ledge route","family_coral_plate/GEN_family_coral_plate__shelf.prefab + family_coral_low/GEN_family_coral_low__ridge.prefab","MAT_family_coral_plate + MAT_family_coral_low","stacked plate shelves with low coral seams on ledge lips","peach shelf faces with rose low-coral underlines","side-lit shelf arrows guide player around reef perimeter without UI spam","ledge-edge caution only; no physical damage claim","target: 2 plate shelf clusters + 4 low coral seams per 64 m ledge","target: 3 plate shelf clusters + 6 low coral seams per 64 m ledge","target: 4 plate shelf clusters + 8 low coral seams per 64 m ledge","target: 5 plate shelf clusters + 10 low coral seams per 64 m ledge","STATIC_SOURCE only; slope suitability needs terrain probe in Unity pass","oblique ledge capture with plate coral readable against terrain and water caustics","reject if shelves look like flat decals or hide terrain shape","STATIC_SOURCE: rule_coral_plate 18-520 m; rule_coral_low 0-550 m; coral materials use CoralMaster GPUI shader and imported maps"
"Alabaster_Pool_Rim","5-35 m","White Alabaster Pools / starter photic pocket","BioForge/Shallows/TubeCoral generated mesh set + family_coral_low/GEN_family_coral_low__bed.prefab","MAT_family_coral_low + future tube-coral material binding required","short tube clusters and low carpet around bright mineral pool rims","rose low coral against pale alabaster substrate; tube tips need colored authored material","marks safe shallow pockets and gives color contrast against pale terrain","no hazard claim; glare/over-brightness must be controlled","target: 4 low beds + 8 tube-coral candidates per 64 m pool rim","target: 6 low beds + 12 tube-coral candidates per 64 m pool rim","target: 8 low beds + 16 tube-coral candidates per 64 m pool rim","target: 10 low beds + 20 tube-coral candidates per 64 m pool rim","BioForge meshes are asset evidence only; prefab/material slot must be baked before runtime use","5-20 m pool-rim capture with color contrast and no blown-out shallows","reject if alabaster route reads beige/empty or tube coral remains unbound mesh dump","STATIC_SOURCE: 1802 BioForge Shallows TubeCoral 150 assets; White Alabaster biome profile; VISION_LOCKS colorful photic lock"
"Kelp_Canopy_Return_Lane","20-60 m","Fabrication Early + route return lane","family_kelp_canopy/GEN_family_kelp_canopy__tapestry__s160-240.prefab + family_kelp_tall/GEN_family_kelp_tall__ribbon.prefab","MAT_family_kelp_canopy + MAT_family_kelp_tall","overhead canopy strips and taller ribbon kelp forming a return lane ceiling","layered green canopy with brighter top-side caustic reads","gives return-to-fabricator direction and keeps open station sightline","none claimed; safe-pocket canopy must not imply predator cover without proof","target: 1 canopy strip + 2 tall kelp accents per 64 m lane","target: 2 canopy strips + 3 tall kelp accents per 64 m lane","target: 3 canopy strips + 4 tall kelp accents per 64 m lane","target: 4 canopy strips + 5 tall kelp accents per 64 m lane","risk is hiding Forward_Fabricator; keep clear axial window","capture from route toward Forward_Fabricator with canopy framing but station visible","reject if fabrication pocket is hidden or route guidance depends on UI text","STATIC_SOURCE: Forward_Fabricator socket; ZoneProfile_Fabrication_Early near density 6 mid 4 far 2; rule_kelp_canopy 0-180 m"
"Sediment_Delta_Patches","10-45 m","Sand-Fan Deltas / Resources Starter edge","family_kelp_patch_dense/GEN_family_kelp_patch_dense__tuft.prefab + family_coral_low/GEN_family_coral_low__knoll.prefab","MAT_family_kelp_patch_dense + MAT_family_coral_low","broken tuft islands on sediment fans with coral knolls as hard spots","dark green tufts cut by warm coral dots on pale sediment","prevents soft-bottom transit from becoming empty flat sand","burrow/hazard claim forbidden until owned gameplay source exists","target: 2 tuft islands + 3 coral knolls per 64 m fan","target: 3 tuft islands + 5 coral knolls per 64 m fan","target: 4 tuft islands + 7 coral knolls per 64 m fan","target: 5 tuft islands + 9 coral knolls per 64 m fan","terrain-fit and draw-call proof pending; no runtime scatter claim","wide shallow fan capture showing negative space plus visible life islands","reject if sediment fan is barren or if scatter is uniform noise","STATIC_SOURCE: Sand-Fan Delta biome profile; rule_kelp_patch_dense heatmap kelp_density; rule_coral_low heatmap coral_density"
"Tectonic_Wall_Crack","30-80 m","The Tectonic Chute / service route edge","family_coral_plate/GEN_family_coral_plate__ledge.prefab + family_coral_massive/GEN_family_coral_massive__porous.prefab + service_scar rule candidate","MAT_family_coral_plate + MAT_family_coral_massive + service-scar layout material pending","hard wall shelves and porous coral around a service scar crack","peach plates and amber mounds against darker rock; industrial scar gets restrained metal contrast","wall-following route cue down to 80 m without abyss/noir treatment","tight-route warning only; no current/damage behavior claim","target: 2 plate ledges + 2 massive mounds + 1 service-scar accent per 80 m wall","target: 3 plate ledges + 3 massive mounds + 1 service-scar accent per 80 m wall","target: 4 plate ledges + 4 massive mounds + 2 service-scar accents per 80 m wall","target: 5 plate ledges + 5 massive mounds + 2 service-scar accents per 80 m wall","service-scar candidates are layout proof only; hero material/mesh quality pending","30-80 m wall route capture showing coral reads before industrial trace","reject if wall becomes dark cave noir or industrial proxy becomes hero asset","STATIC_SOURCE: Tectonic Chute biome profile; rule_service_scar 30-5000 m; rule_coral_plate and massive depth windows"
"Fabricator_Safe_Pocket_Biota","15-50 m","Forward_Fabricator / ZoneProfile_Fabrication_Early","family_coral_low/GEN_family_coral_low__bed.prefab + family_kelp_tall/GEN_family_kelp_tall__seedling.prefab","MAT_family_coral_low + MAT_family_kelp_tall","low coral cushion with sparse seedling kelp; station remains dominant silhouette","warm coral base and small green accents around logistics stop","marks recovery stop while preserving docking/fabricator line of sight","safe pocket; no fauna hazard allowed inside primary service radius","target: 3 coral beds + 1 seedling kelp cluster around station perimeter","target: 5 coral beds + 2 seedling kelp clusters around station perimeter","target: 7 coral beds + 3 seedling kelp clusters around station perimeter","target: 9 coral beds + 4 seedling kelp clusters around station perimeter","risk is decoration obstructing interaction radius; maintain clear socket pad","close capture of Forward_Fabricator with biota perimeter and unobstructed approach","reject if station reads like random prop pile or biota blocks interaction clearance","STATIC_SOURCE: Forward_Fabricator socket; ZoneProfile_Fabrication_Early; coral_low and kelp_tall baked prefabs"
"Lower_Photic_Silhouette_Band","60-100 m","Sea-Stack Forest lower band + Trial Early threshold","family_coral_massive/GEN_family_coral_massive__porous.prefab + family_kelp_tall/GEN_family_kelp_tall__tower__s130-185.prefab + rule_fauna_passive candidate","MAT_family_coral_massive + MAT_family_kelp_tall + future fauna material","large coral silhouettes with fewer but taller kelp shapes and occasional passive shadow","reduced saturation but still photic; green/amber forms remain visible","signals lower photic threshold and prepares deeper-route direction","passive fauna route presence pending owner behavior; static shadow only until proof","target: 2 massive mounds + 1 tall kelp cluster + 0-1 passive shadow per 100 m lane","target: 3 massive mounds + 2 tall kelp clusters + 1 passive shadow per 100 m lane","target: 4 massive mounds + 3 tall kelp clusters + 1-2 passive shadows per 100 m lane","target: 5 massive mounds + 4 tall kelp clusters + 2 passive shadows per 100 m lane","fauna shadow names are static evidence only; no AI/perception claim","60-100 m route capture with silhouettes readable and not blacked out","reject if lower photic becomes abyss-dark or if fauna is decorative noise","STATIC_SOURCE: rule_fauna_passive 0-2500 m; H8_FAUNA_SHADOW_BODY scene names; VISION_LOCKS lower photic still readable"
