route,source_owner,producer_path,consumer_path,static_status,unity_status,required_artifact,blocker_if_absent,notes
shared_voxel_sdf_contract,HectonVoxelEngine / HectonVoxelVolume,"Assets/_Project/Scripts/HectonVoxelVolume.cs:2097; Assets/_Project/Scripts/HectonVoxelEngine.cs:5770","Assets/_Project/Scripts/Core/Contracts/GroundRadarContracts.cs:34",STATIC_SOURCE_VERIFIED,PENDING_UNITY_SLOT,"Unity log/capture showing valid VoxelSdfPayloadDescriptorDTO and nonzero VoxelSdfTexture3D generation from WorldStreaming","No proof that a live first-20 route publishes real substrate SDF","Descriptor has BufferId VoxelSdfTexture3D, OwnerSystemId WorldStreaming, FlagValid in source."
gpr_sdf_acquire,HectonVoxelEngine lease model,"Assets/_Project/Scripts/HectonVoxelEngine.cs:5770","Assets/_Project/Scripts/World/GroundPenetratingRadarRuntime.cs:1152",STATIC_SOURCE_VERIFIED,PENDING_UNITY_SLOT,"Play/route log showing TryStageNearestSdf true with valid dims/range and scanDue path","GPR can run with no SDF hits if lease or ore source is absent","GPR stages leased SDF into pending snapshot and releases lease immediately after copy."
gpr_raymarch_consumption,GroundRadarRaymarchJob,"Assets/_Project/Scripts/World/GroundPenetratingRadarRuntime.cs:919","Assets/_Project/Scripts/World/GPR/GroundRadarJobs.cs:100",STATIC_SOURCE_VERIFIED,PENDING_UNITY_SLOT,"Captured GPR sweep with nonzero SDF-backed signal plus blackbox/console artifact path","Source does not prove live substrate affects player-visible scan","Job requires valid SDF and ore arrays before raymarching."
foundation_descriptor_gate,WorldStreaming DataVault SDF lane,"Assets/_Project/Scripts/HectonVoxelVolume.cs:2291","Assets/_Project/Scripts/Construction/FoundationPylonGpuBatch.cs:540",STATIC_SOURCE_VERIFIED,PENDING_UNITY_SLOT,"Unity foundation placement log showing descriptor owner WorldStreaming, byte count equals grid voxel count, positive range","Foundation pylon batch fails closed and clears upload","Rejects invalid flag, wrong buffer, stale generation, non-WorldStreaming owner, bad size/range/cell/origin."
foundation_fail_closed,FoundationPylonGpuBatch,"Assets/_Project/Scripts/Construction/FoundationPylonGpuBatch.cs:299","Assets/_Project/Scripts/Construction/FoundationPylonGpuBatch.cs:846",STATIC_SOURCE_VERIFIED,PENDING_UNITY_SLOT,"Console/log proof of warning only when substrate is actually missing, plus successful no-warning run when substrate present","Construction support route remains visually/physically blocked by missing substrate","Publishes FOUNDATION SNAP FAILED: VOXEL SDF SUBSTRATE MISSING via SignalBus and notification."
foundation_job_sampling,CalculateFoundationPylonsJob,"Assets/_Project/Scripts/Construction/FoundationPylonGpuBatch.cs:341","Assets/_Project/Scripts/Construction/FoundationSnappingCalculatorJobs.cs:107",STATIC_SOURCE_VERIFIED,PENDING_UNITY_SLOT,"Foundation pylon snap capture showing HitSdf/RealVoxelSdf flags from real SDF and stable support placement","Static source proves gate and sample math, not route acceptance","Invalid SDF sets SnapFailed_NoSubstrate; valid SDF raymarches downward and samples encoded bytes."
drone_sdf_acquire,IVoxelSonarSdfReadLeaseModel,"Assets/_Project/Scripts/Core/GlobalRegistry.cs:1416","Assets/_Project/Scripts/Construction/DroneFleetManager.cs:4226",STATIC_SOURCE_VERIFIED,PENDING_UNITY_SLOT,"Drone route log showing TryAcquireDroneSdfGrid true, valid lease, valid DroneSdfGrid.Version","Drone scheduler fails closed before headless cognition if no SDF grid","Drone caches read model from GlobalRegistry once/hotswap; no new hot polling added by this task."
drone_cognition_repulsion,DroneSdfGrid,"Assets/_Project/Scripts/Construction/DroneFleetManager.cs:3711","Assets/_Project/Scripts/Construction/DroneCognitionJob.cs:674",STATIC_SOURCE_VERIFIED,PENDING_UNITY_SLOT,"Capture/log showing SDF repulsion normal applied near substrate and no NaN/GC/profiler regression","Drone avoidance may be blocked or inert without live SDF","Repulsion uses inverse-square strength from sampled SDF clearance."
drone_astar_blocking,DroneSdfGrid,"Assets/_Project/Scripts/Construction/DroneFleetNavigationKernel.cs:1017","Assets/_Project/Scripts/Construction/DroneFleetNavigationKernel.cs:1779",STATIC_SOURCE_VERIFIED,PENDING_UNITY_SLOT,"Drone path debug route showing SDF-blocked cells around substrate and successful alternate route","Drone path proof absent; static only shows blocked-cell code path","Invalid or out-of-bounds SDF samples block for radius instead of pretending route is clear."
datamonolith_sdf_binding,DataMonolith static data,"Assets/StreamingAssets/Hecton8/DataMonolith/static_data.h8bin","Assets/_SourceData/DataMonolith/Narrative/applied_lore_packets.csv",STATIC_BINARY_PRESENT_NO_ROUTE_BINDING,PENDING_UNITY_SLOT,"Bake/import artifact proving static data contains substrate route binding if that becomes required","Current inspected binary/text data do not prove SDF substrate data ownership","static_data.h8bin exists; rg -a found no VoxelSdf/GPR/Foundation/Drone SDF keys. Source-data hits are narrative substrate text."
