"slot","phase","can_parallel_before_unity","must_serialize_in_unity","category","blocked_prefab_roots","expected_future_mesh_asset_folder","material_source_requirements","collider_proxy_split","anchors_presentation_refs_to_preserve","lod_hlod_expectations","validation_proof_steps","rollback_backup_expectations","global_quality_weight_consequence","status"
"01","source_authoring","yes","no","player_suit_body_visor","Assets/_Project/Prefabs/Player.prefab","Assets/_Project/Art/Generated/ProductFace/PlayerSuit/","Graphite/rubber suit shell; wet pressure metal plates; scratched visor glass; cyan/green trims; amber latches; worn labels; normal/MRAO roles documented.","Keep root CapsuleCollider; add only named COL_Visor/COL_Torso_Interact/COL_ToolMount if required; no visual mesh collision.","HandAnchor; Main Camera; FirstPerson_Overlay_Camera; SpaceCamera; HUD_Render_Camera; Suit_Diegetic_HUD_V4_Projection; Suit_Visor; VisorHUDController; SuitHUDPresentationController; PlayerToolManager.handAnchor; PlayerSwimPresentationController; Swim_*Attachment transforms.","LOD0 first-person hero arms/gloves/visor and near full suit; LOD1 reduced plates/hoses; LOD2 readable body shell; distant HLOD/impostor only for external/corpse/reflection routes.","Static primitive scan; mesh/material GUID proof; anchor transform comparison; Product-Face Prefab Quality Gate; first-person and external screenshots; compact/high captures; profiler only if render/runtime path changes.","Duplicate Player prefab or VCS backup; preserve blockout attachment transforms until replacement proof exists.","Compact keeps authored suit silhouette/visor/tool anchors; Middle adds grime/labels; High adds wetness/bevels; Ultra adds hoses/straps/droplets without changing movement/collision truth.","PENDING_SOURCE_AND_UNITY_SLOT"
"02","source_authoring","yes","no","held_tools","Assets/_Project/Prefabs/Tools/Held/Tool_BeaconDeployer_Held.prefab; Assets/_Project/Prefabs/Tools/Held/Tool_Builder_Held.prefab; Assets/_Project/Prefabs/Tools/Held/Tool_EnvAnalyzer_Held.prefab; Assets/_Project/Prefabs/Tools/Held/Tool_Flashlight_Held.prefab; Assets/_Project/Prefabs/Tools/Held/Tool_HarpoonLauncher_Held.prefab; Assets/_Project/Prefabs/Tools/Held/Tool_Knife_Held.prefab; Assets/_Project/Prefabs/Tools/Held/Tool_LaserCutter_Held.prefab; Assets/_Project/Prefabs/Tools/Held/Tool_Propulsion_Held.prefab; Assets/_Project/Prefabs/Tools/Held/Tool_Repair_Held.prefab; Assets/_Project/Prefabs/Tools/Held/Tool_SalvageSampler_Held.prefab; Assets/_Project/Prefabs/Tools/Held/Tool_Scanner_Held.prefab; Assets/_Project/Prefabs/Tools/Held/Tool_StunPistol_Held.prefab","Assets/_Project/Art/Generated/ProductFace/Tools/","Worn casing; rubber grip; metal barrel/nozzle/blade; glass/lens/screen; labels; heat/residue masks where physical; Hecton_ToolDecayLit and ToolScreenDiegetic support only after concrete texture paths exist.","VIS/LOD body separate from COL_Grip, COL_Body, COL_BeamOriginProxy, COL_MuzzleProxy, COL_SampleContactProxy; no LOD0 visual MeshCollider.","ANCHOR_Grip_R/LR; ray/scan/beam/muzzle/nozzle origins; ANCHOR_TetherAnchor for harpoon; ANCHOR_AUP_LocalOrigin where relevant; existing tool data/metadata refs.","LOD0 first-person hero; LOD1 shared world pickup; LOD2 coarse item; HLOD only for staged clutter clusters.","Static scan; held mesh/material proof; anchor proof; Product-Face gate; held first-person screenshots; player-use capture; profiler if beam/light/tether/render path changes.","Relink held/world pair as one family; backup each target prefab; revert family if either held or world variant fails scan.","Compact keeps verb silhouette; Middle labels/grime; High material response/bevels; Ultra small screws/cables/glow/slag presentation only.","PENDING_SOURCE_AND_UNITY_SLOT"
"03","source_authoring","yes","no","world_tool_pickups","Assets/_Project/Prefabs/Items/Tools/Item_Tool_BeaconDeployer_World.prefab; Assets/_Project/Prefabs/Items/Tools/Item_Tool_Builder_World.prefab; Assets/_Project/Prefabs/Items/Tools/Item_Tool_EnvAnalyzer_World.prefab; Assets/_Project/Prefabs/Items/Tools/Item_Tool_Flashlight_World.prefab; Assets/_Project/Prefabs/Items/Tools/Item_Tool_HarpoonLauncher_World.prefab; Assets/_Project/Prefabs/Items/Tools/Item_Tool_Knife_World.prefab; Assets/_Project/Prefabs/Items/Tools/Item_Tool_LaserCutter_World.prefab; Assets/_Project/Prefabs/Items/Tools/Item_Tool_Propulsion_World.prefab; Assets/_Project/Prefabs/Items/Tools/Item_Tool_Repair_World.prefab; Assets/_Project/Prefabs/Items/Tools/Item_Tool_SalvageSampler_World.prefab; Assets/_Project/Prefabs/Items/Tools/Item_Tool_Scanner_World.prefab; Assets/_Project/Prefabs/Items/Tools/Item_Tool_StunPistol_World.prefab","Assets/_Project/Art/Generated/ProductFace/Tools/","Same source family as held tool; folded/dropped state; dirt/wear; no placeholder material promotion.","VIS pickup mesh separate from COL_PickupTrigger and coarse pickup bounds; item data owns truth.","ANCHOR_Pickup; itemData references; collection/highlight components; shared family references to held mesh/materials.","LOD1 or LOD0 pickup depending camera; LOD2 coarse item; clutter HLOD only when placed dense.","Static scan; shared family proof; pickup screenshot; compact readability; Product-Face gate; audit fail-on-error; profiler only if render/instancing path changes.","Relink with held tool in same Unity owner slot; revert both variants if family proof fails.","Compact keeps dropped tool identity; Middle adds labels/grime; High material response; Ultra tiny hardware without changing item truth.","PENDING_SOURCE_AND_UNITY_SLOT"
"04","source_authoring","yes","no","resource_pickups","Assets/_Project/Prefabs/Resources/Pickups/PFB_Resource_CopperOre.prefab; Assets/_Project/Prefabs/Resources/Pickups/PFB_Resource_FiberKelp.prefab; Assets/_Project/Prefabs/Resources/Pickups/PFB_Resource_HydrocarbonResin.prefab; Assets/_Project/Prefabs/Resources/Pickups/PFB_Resource_MembraneTissue.prefab; Assets/_Project/Prefabs/Resources/Pickups/PFB_Resource_SilicaShards.prefab; Assets/_Project/Prefabs/Resources/Pickups/PFB_Resource_SilverOre.prefab; Assets/_Project/Prefabs/Resources/Pickups/PFB_Resource_SulfurClumps.prefab; Assets/_Project/Prefabs/Resources/Pickups/PFB_Resource_TitaniumScrap.prefab","Assets/_Project/Art/Generated/ProductFace/Resources/","Ore host rock/mineral streaks/fracture normals/wetness/AO; kelp/tissue veins and wet masks; resin oily/translucent clump; scrap bent metal/paint/salt/oil grime; MRAO semantics documented.","VIS resource mesh separate from COL_PickupTrigger and coarse safe pickup bounds; no visual MeshCollider; pickup proxy remains dumb view of item data.","Data_* resource refs; scan/highlight/collection refs; stable pickup trigger position and interaction distance.","LOD0 resource identity; LOD1 reduced shards/fronds/veins; LOD2 coarse identifiable; HLOD/impostor for dense fields.","Source prefab under Resources/Sources; static scan; mesh/material/texture role report; collider proof; compact and normal pickup screenshots; Product-Face gate; audit fail-on-error.","Relink one canonical resource package at a time; backup prefab; revert if material identity or pickup readability fails.","Compact keeps physical resource silhouette/material family; Middle adds veins/residue; High fracture/wetness/glass response; Ultra micro chips/folds/shards.","PENDING_SOURCE_AND_UNITY_SLOT"
"05","source_authoring","yes","no","titanium_legacy_root","Assets/_Project/Prefabs/Item_Titanium.prefab","Assets/_Project/Art/Generated/ProductFace/Resources/","Must share canonical titanium scrap material route or be quarantined; unresolved material GUID must not carry forward.","If retained, VIS scrap separate from COL_PickupTrigger/coarse collider; no separate collision truth.","Data_TitaniumScrap reference; ScannableTarget if retained; production references if any must be listed.","Same LOD0/1/2 as titanium scrap if retained; no independent HLOD.","Static production-reference scan; quarantine proof or canonical relink proof; Product-Face gate; audit fail-on-error; screenshot if retained.","Backup then either relink to canonical source or quarantine with no production refs; no deletion from this packet.","Inherits titanium scrap quality scaling only; no duplicate item/data truth.","PENDING_DECISION_AND_UNITY_SLOT"
"06","source_authoring","yes","no","transport","Assets/_Project/Prefabs/Transport/PFB_CargoSled_Transport.prefab; Assets/_Project/Prefabs/Transport/PFB_Exosuit_Frame_Transport.prefab; Assets/_Project/Prefabs/Transport/PFB_MicroSub_Transport.prefab; Assets/_Project/Prefabs/Transport/PFB_ScoutGlider_Transport.prefab","Assets/_Project/Art/Generated/ProductFace/Transport/","Pressure hull/frame metal; rubber seals/grips/pads; dirty glass/lens/viewport; hazard paint; labels; clamps; worn panels; signal accents; packed normal/MRAO.","VIS hull/frame separate from existing rider/dismount anchors and compound COL_* proxies; no LOD0 visual MeshCollider.","RiderAnchor; DismountAnchor; PlayerTransportFeelContract; MountablePlayerTransport; transport preset refs; occupancy/AUP/drive/mount/dismount/camera routes.","LOD0 distinct vehicle silhouette; LOD1 reduced rails/tanks/panels/fins; LOD2 coarse recognizable; HLOD/impostor for parked/distant vehicles.","Static scan; mesh/material proof; anchor local transform comparison; collider split proof; Product-Face gate; near/boarding screenshots; profiler if runtime vehicle/render path changes.","Relink one transport at a time; backup target prefab; revert if anchor comparison or vehicle capture fails.","Compact keeps vehicle-specific silhouette/material identity; Middle decals/grime; High hull/glass/rubber richness; Ultra cables/bolts/straps/lights only.","PENDING_SOURCE_AND_UNITY_SLOT"
"07","source_cleanup","yes","yes","sky_source","Assets/_Project/Prefabs/Sky_System.prefab","Assets/_Project/Art/Generated/Sky/","Source prefab must use authored/generated sky dome mesh and material route; no scene override required to avoid built-in sphere; Aegir/moons/clouds readable with texture role proof.","No gameplay collision; visible sky mesh is presentation only.","SkySystemFollowCamera; runtime camera reference route; sky material/texture refs; celestial presentation owner refs.","Sky/celestial route must preserve surface/photic readability on compact; higher tiers add atmosphere/cloud/reflection richness without changing route truth.","Product-Face gate; audit fail-on-error; Sky-Ocean Source Primitive Gate; surface/coast/waterline/photic/medium-depth screenshots; Frame Debugger; profiler/GC for runtime claims.","Backup Sky_System source prefab; revert if source cleanup breaks scene override or sky visibility proof.","Compact keeps beautiful readable sky/Aegir/moons; Middle richer clouds; High atmosphere/reflections; Ultra visual overkill without hiding surface art.","PENDING_SOURCE_CLEANUP_AND_1878_GATE"
"08","source_cleanup","yes","yes","ocean_source","Assets/_Project/Prefabs/Ocean_Crest.prefab","Assets/_Project/Art/Generated/Ocean/","Crest package materials assigned, not cloned; input planes become hidden-input-only with proof or are replaced by non-rendering carriers; micro-fauna boid mesh becomes authored/generated mesh or designed impostor/card set.","Visible ocean presentation separated from Crest data-input carriers; no gameplay collider mutation in this contract.","Crest material assignment; primary light; Crest input components; micro-fauna owner refs; scene override compatibility.","Ocean/waterline/foam/refraction/micro-fauna readable on compact; HLOD/density gates for micro-fauna; high tiers add richness, not truth.","Product-Face gate; audit fail-on-error; Sky-Ocean Source Primitive Gate; surface/waterline/photic captures; Frame Debugger proving input planes not visible; profiler/GC for ocean/micro-fauna claims.","Backup Ocean_Crest source prefab; no Crest material clone; if hidden-input proof fails, replace carrier route or revert.","Compact keeps beautiful ocean color/waterline/specular/foam cues; Middle richer response; High reflection/material depth; Ultra micro-fauna/foam richness without fog/darkness concealment.","PENDING_SOURCE_CLEANUP_AND_1878_GATE"
"09","quarantine_or_replace","yes","yes","legacy_aggregate_structures","Assets/_Project/Prefabs/STRUCTURES.prefab","Assets/_Project/Prefabs/Resources/Sources/ or construction source route if retained","Must not retain active primitive child via Item_Titanium; delegate to canonical child assets or quarantine.","Aggregate owns no collision truth; child prefabs keep their own COL_* proxies if retained.","Production references to aggregate; child prefab references; item/resource refs if any.","No independent LOD; delegate to canonical child prefab or construction module source.","Static production-reference scan; quarantine proof or canonical child replacement; Product-Face gate; audit fail-on-error.","Backup aggregate; quarantine only with scoped proof; no deletion authorized here.","Inherits canonical child scaling only; no separate quality truth.","PENDING_DECISION_AND_UNITY_SLOT"
"10","quarantine_or_replace","yes","yes","legacy_building_cube","Assets/_Project/Prefabs/Buildings/Cube.prefab","Assets/_Project/Art/Generated/Buildings/<ModuleName>/ if retained","If production, needs pressure-rated module material with metal/concrete/paint/wetness normal/MRAO; otherwise quarantine as dev placeholder.","Visual module separate from compound building COL_* proxies; no visual MeshCollider.","Construction/building owner refs; production references if any; placement/building route refs.","LOD0 module; LOD1 reduced panels; LOD2 shell; HLOD for building clusters if retained.","Static production-reference scan; quarantine proof or replacement mesh/material/collider proof; Unity screenshot if retained; Product-Face gate; audit fail-on-error.","Backup prefab; quarantine with no production refs or revert if replacement fails visual floor.","Compact keeps pressure-vessel silhouette/material identity; Middle panels/labels; High bevel/wear; Ultra decals/fittings.","PENDING_DECISION_AND_UNITY_SLOT"
