originalPath,archivePath,bytesBefore,lastWriteUtcBefore,sha256Before,sha256AfterArchivePrefix,prefixedTitle,activeReplacement,reason
Docs/Reports/APEX_V10_STATIC_REVIEW_1303.json,Docs/_Archive/Reports_1334_2026-05-26/SignalBus1303Superseded/APEX_V10_STATIC_REVIEW_1303.json,9064,2026-05-25T18:29:31.736434+00:00,7b0aed5b1090ac55e52d18724327ccb316f99b31cf28c58f5e192270021a9a79,7b0aed5b1090ac55e52d18724327ccb316f99b31cf28c58f5e192270021a9a79,False,Docs/Reports/SIGNALBUS_HOTPATH_AUDIT_1303_APEX_V16.md,superseded SignalBus/Tether 1303 iteration; V16 remains active evidence snapshot
Docs/Reports/APEX_V11_STATIC_REVIEW_1303.json,Docs/_Archive/Reports_1334_2026-05-26/SignalBus1303Superseded/APEX_V11_STATIC_REVIEW_1303.json,9803,2026-05-25T18:40:22.998380+00:00,96c1728f2ef049212f881d9cd8b262cf525ff815f59f09ac6d5aa1597fe80e41,96c1728f2ef049212f881d9cd8b262cf525ff815f59f09ac6d5aa1597fe80e41,False,Docs/Reports/SIGNALBUS_HOTPATH_AUDIT_1303_APEX_V16.md,superseded SignalBus/Tether 1303 iteration; V16 remains active evidence snapshot
Docs/Reports/APEX_V12_STATIC_REVIEW_1303.json,Docs/_Archive/Reports_1334_2026-05-26/SignalBus1303Superseded/APEX_V12_STATIC_REVIEW_1303.json,10937,2026-05-25T18:55:54.874270+00:00,53b5a9d0b599d0dbc741b0c800a59bf649c29f85719eebd6e2d5946bb539b7f0,53b5a9d0b599d0dbc741b0c800a59bf649c29f85719eebd6e2d5946bb539b7f0,False,Docs/Reports/SIGNALBUS_HOTPATH_AUDIT_1303_APEX_V16.md,superseded SignalBus/Tether 1303 iteration; V16 remains active evidence snapshot
Docs/Reports/APEX_V13_STATIC_REVIEW_1303.json,Docs/_Archive/Reports_1334_2026-05-26/SignalBus1303Superseded/APEX_V13_STATIC_REVIEW_1303.json,17881,2026-05-25T19:11:01.023747+00:00,cb7eeef8288585af99d887f69f841712b1da1947313fad757f33c53d510550d2,cb7eeef8288585af99d887f69f841712b1da1947313fad757f33c53d510550d2,False,Docs/Reports/SIGNALBUS_HOTPATH_AUDIT_1303_APEX_V16.md,superseded SignalBus/Tether 1303 iteration; V16 remains active evidence snapshot
Docs/Reports/APEX_V14_STATIC_REVIEW_1303.json,Docs/_Archive/Reports_1334_2026-05-26/SignalBus1303Superseded/APEX_V14_STATIC_REVIEW_1303.json,16766,2026-05-25T19:18:43.310365+00:00,49b6ccedc0060ca506f1c206da5aee208ca902451b469319b605663e9a86f3ef,49b6ccedc0060ca506f1c206da5aee208ca902451b469319b605663e9a86f3ef,False,Docs/Reports/SIGNALBUS_HOTPATH_AUDIT_1303_APEX_V16.md,superseded SignalBus/Tether 1303 iteration; V16 remains active evidence snapshot
Docs/Reports/APEX_V15_STATIC_REVIEW_1303.json,Docs/_Archive/Reports_1334_2026-05-26/SignalBus1303Superseded/APEX_V15_STATIC_REVIEW_1303.json,17593,2026-05-25T19:33:08.039590+00:00,6cb990e56830cf619edeb6f712d78fa6ba654a50ee1fd9130ec23fe7208b85f1,6cb990e56830cf619edeb6f712d78fa6ba654a50ee1fd9130ec23fe7208b85f1,False,Docs/Reports/SIGNALBUS_HOTPATH_AUDIT_1303_APEX_V16.md,superseded SignalBus/Tether 1303 iteration; V16 remains active evidence snapshot
Docs/Reports/APEX_V7_STATIC_REVIEW_1303.json,Docs/_Archive/Reports_1334_2026-05-26/SignalBus1303Superseded/APEX_V7_STATIC_REVIEW_1303.json,13890,2026-05-25T17:04:17.737864+00:00,b6a602326ec9dffc6a4576389c2e265f56059ab23857be88b67892ed4fea8020,b6a602326ec9dffc6a4576389c2e265f56059ab23857be88b67892ed4fea8020,False,Docs/Reports/SIGNALBUS_HOTPATH_AUDIT_1303_APEX_V16.md,superseded SignalBus/Tether 1303 iteration; V16 remains active evidence snapshot
Docs/Reports/APEX_V8_STATIC_REVIEW_1303.json,Docs/_Archive/Reports_1334_2026-05-26/SignalBus1303Superseded/APEX_V8_STATIC_REVIEW_1303.json,22405,2026-05-25T17:33:24.808593+00:00,2337bf35c1c2a7093d873ace198376a4b07920837a75efc866a40d07b3985c76,2337bf35c1c2a7093d873ace198376a4b07920837a75efc866a40d07b3985c76,False,Docs/Reports/SIGNALBUS_HOTPATH_AUDIT_1303_APEX_V16.md,superseded SignalBus/Tether 1303 iteration; V16 remains active evidence snapshot
Docs/Reports/APEX_V9_STATIC_REVIEW_1303.json,Docs/_Archive/Reports_1334_2026-05-26/SignalBus1303Superseded/APEX_V9_STATIC_REVIEW_1303.json,16908,2026-05-25T18:17:32.974219+00:00,05d44ea30657376ea80cf25cf8720d15864af98d489a8655a2c66a32f5769f64,05d44ea30657376ea80cf25cf8720d15864af98d489a8655a2c66a32f5769f64,False,Docs/Reports/SIGNALBUS_HOTPATH_AUDIT_1303_APEX_V16.md,superseded SignalBus/Tether 1303 iteration; V16 remains active evidence snapshot
Docs/Reports/SIGNALBUS_HOTPATH_AUDIT_1303_APEX.json,Docs/_Archive/Reports_1334_2026-05-26/SignalBus1303Superseded/SIGNALBUS_HOTPATH_AUDIT_1303_APEX.json,907666,2026-05-25T16:53:41.517338+00:00,9fbfeff44994210c75c13f45768b7e5c3561da9b691e48ac793bfa17e7008ea8,9fbfeff44994210c75c13f45768b7e5c3561da9b691e48ac793bfa17e7008ea8,False,Docs/Reports/SIGNALBUS_HOTPATH_AUDIT_1303_APEX_V16.md,superseded SignalBus/Tether 1303 iteration; V16 remains active evidence snapshot
