job_id,title,role,category,final_filename,save_dir,final_target_path,references,prompt_file,prompt
REF_SEED_001,Premium Habitat Material Grammar,LOOKDEV_REFERENCE,SEED_REFERENCE,LOOKDEV_APPROVED_REF_SEED_001.png,C:\hades\Hecton8\Docs\ArtDrop\SHINOBU_361\Batch00_Seeds\REF_SEED_001,LOOKDEV_ONLY_NOT_ASSET_TARGET,project planet/cloud mood image if useful; no random primary refs,C:\hades\Hecton8\Docs\Reports\TextureGeneratorWorkpack_SHINOBU_361\Prompts\Batch00_Seeds\REF_SEED_001_Premium_Habitat_Material_Grammar.txt,"Create a beautiful seamless PBR albedo reference for premium abyssal research habitat hardware, a tasteful NASA Punk material grammar sheet that can guide many game textures. Show warm off-white ceramic pressure panels, satin titanium rails, graphite rubber gasket channels, small teal engineering paint accents, amber locator strips, pale mineral dust, polished hand-wear, tiny salt halos inside seams, and controlled micro-scratches. The design should feel funded, precise, calm, and expensive, like real ocean-lab equipment prepared for long missions under pressure. Keep the surface attractive and readable, with clear large shapes and restrained high-frequency detail. Use flat, top-down, orthogonal orthographic view, completely uniform diffuse lighting, zero directional shadows, perfect seamless tiling, no text watermark, no letters, no numbers, no logo, no border, no perspective object scene."
REF_SEED_002,Habitat Floor Navigation Language,LOOKDEV_REFERENCE,SEED_REFERENCE,LOOKDEV_APPROVED_REF_SEED_002.png,C:\hades\Hecton8\Docs\ArtDrop\SHINOBU_361\Batch00_Seeds\REF_SEED_002,LOOKDEV_ONLY_NOT_ASSET_TARGET,project planet/cloud mood image if useful; no random primary refs,C:\hades\Hecton8\Docs\Reports\TextureGeneratorWorkpack_SHINOBU_361\Prompts\Batch00_Seeds\REF_SEED_002_Habitat_Floor_Navigation_Language.txt,"Create a seamless premium expedition floor texture reference for an abyssal habitat route, with broad warm off-white composite floor plates, satin graphite anti-slip insets, thin amber navigation stripes, subtle teal maintenance ticks, titanium edge rails, shallow drainage grooves, rubber isolation seams, and light polished foot traffic arcs. The result should look clean, strong, and used with care, not abandoned. Wear is curated: small edge chips, mineral dust in grooves, faint salt rings near seams, and smooth rubber shine in walking lanes. Keep the shapes wide enough to read during gameplay and elegant enough for close inspection. Use flat, top-down, orthogonal orthographic view, completely uniform diffuse lighting, zero directional shadows, perfect seamless tiling, no text watermark, no letters, no numbers, no logo, no border, no perspective object scene."
REF_SEED_003,Habitat Wall And Ceiling Utility Trim,LOOKDEV_REFERENCE,SEED_REFERENCE,LOOKDEV_APPROVED_REF_SEED_003.png,C:\hades\Hecton8\Docs\ArtDrop\SHINOBU_361\Batch00_Seeds\REF_SEED_003,LOOKDEV_ONLY_NOT_ASSET_TARGET,project planet/cloud mood image if useful; no random primary refs,C:\hades\Hecton8\Docs\Reports\TextureGeneratorWorkpack_SHINOBU_361\Prompts\Batch00_Seeds\REF_SEED_003_Habitat_Wall_And_Ceiling_Utility_Trim.txt,"Create a seamless high-quality albedo reference for modular abyssal habitat wall and ceiling utility trim. Build a clean pattern of off-white pressure-panel tiles, satin titanium service ribs, graphite rubber cable raceway lips, recessed access hatches, small teal diagnostic paint marks, amber locator slivers, and pale salt dust only in the deepest seams. Add precise beveled panel logic, restrained fastener wells, soft scuffs from maintenance tools, and tiny mineral specks without making the image dirty. The surface should feel engineered, calm, and premium, like a maintained underwater orbital-station interior translated to the deep ocean. Use flat, top-down, orthogonal orthographic view, completely uniform diffuse lighting, zero directional shadows, perfect seamless tiling, no text watermark, no letters, no numbers, no logo, no border, no perspective object scene."
REF_SEED_004,"Satin Titanium, Rubber, Ceramic Swatch Tile",LOOKDEV_REFERENCE,SEED_REFERENCE,LOOKDEV_APPROVED_REF_SEED_004.png,C:\hades\Hecton8\Docs\ArtDrop\SHINOBU_361\Batch00_Seeds\REF_SEED_004,LOOKDEV_ONLY_NOT_ASSET_TARGET,project planet/cloud mood image if useful; no random primary refs,C:\hades\Hecton8\Docs\Reports\TextureGeneratorWorkpack_SHINOBU_361\Prompts\Batch00_Seeds\REF_SEED_004_Satin_Titanium_Rubber_Ceramic_Swatch_Tile.txt,"Create a seamless reference tile that clearly separates HECTON-8 materials: satin titanium with fine brushed grain, warm off-white ceramic composite with subtle molded pores, graphite pressure rubber with soft matte texture, translucent teal polymer inserts, small amber safety enamel, and pale mineral residue caught only along junctions. Arrange the materials as a tasteful modular industrial pattern with clean divisions and believable physical wear. The image must show premium material response through color and surface detail only, not through baked highlights. Keep saturation restrained and elegant, with no military camouflage, no rusty junk, and no black crushed dirt. Use flat, top-down, orthogonal orthographic view, completely uniform diffuse lighting, zero directional shadows, perfect seamless tiling, no text watermark, no letters, no numbers, no logo, no border, no perspective object scene."
REF_SEED_005,Visor Glass And Sealed Transparent Polymer,LOOKDEV_REFERENCE,SEED_REFERENCE,LOOKDEV_APPROVED_REF_SEED_005.png,C:\hades\Hecton8\Docs\ArtDrop\SHINOBU_361\Batch00_Seeds\REF_SEED_005,LOOKDEV_ONLY_NOT_ASSET_TARGET,project planet/cloud mood image if useful; no random primary refs,C:\hades\Hecton8\Docs\Reports\TextureGeneratorWorkpack_SHINOBU_361\Prompts\Batch00_Seeds\REF_SEED_005_Visor_Glass_And_Sealed_Transparent_Polymer.txt,"Create a seamless albedo reference for pressure-rated transparent polymer and visor glass used in premium abyssal expedition equipment. Show a clean smoky-clear polymer surface with faint teal optical coating, very fine micro-scratches, tiny salt freckles near gasket contact areas, soft laminated edge bands, subtle pressure stress arcs, and delicate amber service alignment marks. Keep the base mostly transparent-looking through restrained milky gray-blue values, not black, not mirror chrome. It should feel like an expensive scientific viewport that has survived use but is still carefully maintained. Use flat, top-down, orthogonal orthographic view, completely uniform diffuse lighting, zero directional shadows, perfect seamless tiling, no text watermark, no letters, no numbers, no logo, no border, no perspective object scene."
REF_SEED_006,Diegetic Terminal Surface Without Text,LOOKDEV_REFERENCE,SEED_REFERENCE,LOOKDEV_APPROVED_REF_SEED_006.png,C:\hades\Hecton8\Docs\ArtDrop\SHINOBU_361\Batch00_Seeds\REF_SEED_006,LOOKDEV_ONLY_NOT_ASSET_TARGET,project planet/cloud mood image if useful; no random primary refs,C:\hades\Hecton8\Docs\Reports\TextureGeneratorWorkpack_SHINOBU_361\Prompts\Batch00_Seeds\REF_SEED_006_Diegetic_Terminal_Surface_Without_Text.txt,"Create a seamless albedo reference for a diegetic abyssal research terminal surface with no readable text. Use warm off-white ceramic frame pieces, satin titanium bevels, graphite rubber button fields, translucent teal light pipes, small amber inactive locator windows, thin etched circuit-like grooves, and clean maintenance scuffs. The surface must suggest advanced instrument hardware without letters, numbers, symbols, labels, fake UI words, or logos. Make it beautiful and calm, with strong panel hierarchy and precise manufacturing detail. Use flat, top-down, orthogonal orthographic view, completely uniform diffuse lighting, zero directional shadows, perfect seamless tiling, no text watermark, no letters, no numbers, no logo, no border, no perspective object scene."
REF_SEED_007,Tool Casing And Handheld Equipment,LOOKDEV_REFERENCE,SEED_REFERENCE,LOOKDEV_APPROVED_REF_SEED_007.png,C:\hades\Hecton8\Docs\ArtDrop\SHINOBU_361\Batch00_Seeds\REF_SEED_007,LOOKDEV_ONLY_NOT_ASSET_TARGET,project planet/cloud mood image if useful; no random primary refs,C:\hades\Hecton8\Docs\Reports\TextureGeneratorWorkpack_SHINOBU_361\Prompts\Batch00_Seeds\REF_SEED_007_Tool_Casing_And_Handheld_Equipment.txt,"Create a seamless albedo reference for handheld HECTON-8 expedition tool casing material. Combine warm off-white impact composite, satin titanium heat-sink ribs, graphite rubber grip fields, teal diagnostic enamel, amber power-window accents, fine screw wells, molded seam lines, small polished contact spots, and precise salt dust at gasket edges. It should look practical and expensive, like a real scientific rescue tool built for ocean pressure, not a toy and not a weapon. Keep the design readable in first person, with confident shape rhythm and controlled micro-detail. Use flat, top-down, orthogonal orthographic view, completely uniform diffuse lighting, zero directional shadows, perfect seamless tiling, no text watermark, no letters, no numbers, no logo, no border, no perspective object scene."
REF_SEED_008,Gameplay Signal Surface Family,LOOKDEV_REFERENCE,SEED_REFERENCE,LOOKDEV_APPROVED_REF_SEED_008.png,C:\hades\Hecton8\Docs\ArtDrop\SHINOBU_361\Batch00_Seeds\REF_SEED_008,LOOKDEV_ONLY_NOT_ASSET_TARGET,project planet/cloud mood image if useful; no random primary refs,C:\hades\Hecton8\Docs\Reports\TextureGeneratorWorkpack_SHINOBU_361\Prompts\Batch00_Seeds\REF_SEED_008_Gameplay_Signal_Surface_Family.txt,"Create a seamless albedo reference for HECTON-8 gameplay signal materials that stay diegetic and premium. Use the normal habitat palette as the base: off-white composite, graphite rubber, satin titanium, teal science paint, and amber locator enamel. Add clean color-coded material zones without text: calm teal for safe/interactive systems, amber for power and navigation, coral-orange for caution, soft violet for biological interest, and pearl mineral white for resource readability. The image should look like believable expedition hardware, not a UI icon sheet. Keep all shapes broad, readable, and elegant, with minor scuffs and salt halos only where surfaces meet. Use flat, top-down, orthogonal orthographic view, completely uniform diffuse lighting, zero directional shadows, perfect seamless tiling, no text watermark, no letters, no numbers, no logo, no border, no perspective object scene."
REF_SEED_009,Resource Pocket Mineral Biology,LOOKDEV_REFERENCE,SEED_REFERENCE,LOOKDEV_APPROVED_REF_SEED_009.png,C:\hades\Hecton8\Docs\ArtDrop\SHINOBU_361\Batch00_Seeds\REF_SEED_009,LOOKDEV_ONLY_NOT_ASSET_TARGET,project planet/cloud mood image if useful; no random primary refs,C:\hades\Hecton8\Docs\Reports\TextureGeneratorWorkpack_SHINOBU_361\Prompts\Batch00_Seeds\REF_SEED_009_Resource_Pocket_Mineral_Biology.txt,"Create a seamless albedo reference for attractive abyssal resource pockets where alien mineral growth meets living reef tissue. Show pearly mineral crust, opal flecks, soft turquoise deposits, restrained violet-coral membranes, tiny amber crystalline inclusions, wet translucent edges, and pale sediment caught in shallow cavities. The material should feel valuable and discoverable, not diseased. Keep the composition clear enough for gameplay: clusters, veins, and pockets should read at a distance while still containing beautiful close-up detail. Use flat, top-down, orthogonal orthographic view, completely uniform diffuse lighting, zero directional shadows, perfect seamless tiling, no text watermark, no letters, no numbers, no logo, no border, no perspective object scene."
REF_SEED_010,"Flora Pearl Membrane, Kelp, And Coral Bridge",LOOKDEV_REFERENCE,SEED_REFERENCE,LOOKDEV_APPROVED_REF_SEED_010.png,C:\hades\Hecton8\Docs\ArtDrop\SHINOBU_361\Batch00_Seeds\REF_SEED_010,LOOKDEV_ONLY_NOT_ASSET_TARGET,project planet/cloud mood image if useful; no random primary refs,C:\hades\Hecton8\Docs\Reports\TextureGeneratorWorkpack_SHINOBU_361\Prompts\Batch00_Seeds\REF_SEED_010_Flora_Pearl_Membrane_Kelp_And_Coral_Bridge.txt,"Create a seamless albedo reference for beautiful HECTON-8 shallow abyssal biology, blending pearl membrane, olive-teal kelp skin, coral-violet reef ridges, soft opal pores, restrained cyan bioluminescent vein paths, and wet translucent tissue edges. The surface should look alive, healthy, and alien, with curated biological rhythm and elegant pattern flow. Avoid horror slime, gore, rot, and random tentacle clutter. Keep the albedo restrained so glow can be handled by a separate emissive mask and shine by roughness response. Use flat, top-down, orthogonal orthographic view, completely uniform diffuse lighting, zero directional shadows, perfect seamless tiling, no text watermark, no letters, no numbers, no logo, no border, no perspective object scene."
