article_id,packet_id,unlock_id,note_template,player_note_candidate_en,evidence_boundary,spoiler_level
hecton8.crash_shelf,P001_CRASH_SHELF,unlock.first_shelter,surface_navigation_clue,"Mark the crash shelf as shelter, not escape. Ascent hardware is gone; route home needs relay, timing, pressure seal, and receiver proof.",Use only after listed unlock/evidence. Do not expose later truth.,unlock-bound
black_keel.contact,P002_BLACK_KEEL_CONTACT,unlock.black_keel_handshake,audio_clue,"Black Keel acknowledgement is conditional contact, not rescue. Keep carrier windows and contract wording separate.",Use only after listed unlock/evidence. Do not expose later truth.,unlock-bound
resource.blue_debt,P004_BLUE_DEBT,unlock.first_blue_debt_sample,resource_clue,Blue debt needs pressure-rated custody. Treat sample value and contamination state as separate notes.,Use only after listed unlock/evidence. Do not expose later truth.,unlock-bound
hecton8.brine_stair,P007_BRINE_STAIR,unlock.first_brine_layer_route,route_clue,Brine layers bend sonar and buoyancy. A blocked open-water route may work through density and ballast timing.,Use only after listed unlock/evidence. Do not expose later truth.,unlock-bound
colony.evacuation_hold,P008_EVACUATION_HOLD,unlock.first_evacuation_hold_record,contradiction_clue,"Compare evacuation text against door state, queue timing, and worker count before accepting the official cause.",Use only after listed unlock/evidence. Do not expose later truth.,unlock-bound
hecton8.photic_shelf_life,P031_PHOTIC_SHELF_LIFE,unlock.first_photic_shelf_life,scanner_clue,"Bright shallow life is baseline, not safety proof. Use oxygen, predator absence, and bloom behavior as route evidence.",Use only after listed unlock/evidence. Do not expose later truth.,unlock-bound
hecton8.return_vector_window,P036_RETURN_VECTOR_WINDOW,unlock.first_return_vector_window,surface_navigation_clue,Recovery needs orbital/weather/relay timing. Do not read silence as abandonment until the window data is known.,Use only after listed unlock/evidence. Do not expose later truth.,unlock-bound
hecton8.worker_locker_row,P041_WORKER_LOCKER_ROW,unlock.first_worker_locker_row,person_clue,"A worker name is useful only with job, route permission, tool wear, or erasure mark attached.",Use only after listed unlock/evidence. Do not expose later truth.,unlock-bound
hecton8.black_box_name_stack,P045_BLACK_BOX_NAME_STACK,unlock.first_black_box_name_stack,contradiction_clue,Name stacks are evidence payloads. Preserve chain-of-custody before turning them into public truth.,Use only after listed unlock/evidence. Do not expose later truth.,unlock-bound
hecton8.ex_deep_reach_marauder,P056_EX_DEEP_REACH_MARAUDER,unlock.first_ex_deep_reach_recognition,person_clue,"The player recognizes procedure, not family. Notes should track old Deep Reach patterns and revoked access language.",Use only after listed unlock/evidence. Do not expose later truth.,unlock-bound
hecton8.great_tide_physics_record,P081_GREAT_TIDE_PHYSICS_RECORD,unlock.first_great_tide_physics_record,contradiction_clue,"The tide was real physics. The contradiction is accepted margin, evacuation delay, and priority weighting.",Use only after listed unlock/evidence. Do not expose later truth.,unlock-bound
hecton8.global_ocean_depth_bands,P092_GLOBAL_OCEAN_DEPTH_BANDS,unlock.first_global_ocean_depth_bands,route_clue,"Depth bands change route grammar: photic shelf, cable reef, brine canyon, abyssal machine field, Atlas basin.",Use only after listed unlock/evidence. Do not expose later truth.,unlock-bound
aegir_moons.hecton8_orbital_hazard_table,P182_HECTON8_ORBITAL_HAZARD_TABLE,unlock.hecton8_orbital_hazard_table,surface_navigation_clue,"Eclipse is a temporary window hazard. Outside storms/eclipses, surface and shallows stay readable.",Use only after listed unlock/evidence. Do not expose later truth.,unlock-bound
applied_lore.site_wiki_start_here_cluster,P416_SITE_WIKI_START_HERE_CLUSTER,unlock.site_wiki_start_here_cluster,route_clue,Start-here cluster is public framing only. It should not reveal final payload receiver truth.,Use only after listed unlock/evidence. Do not expose later truth.,1
applied_lore.site_wiki_system_and_ships_cluster,P417_SITE_WIKI_SYSTEM_AND_SHIPS_CLUSTER,unlock.site_wiki_system_and_ships_cluster,route_clue,"System/ships cluster explains delay, mass, and custody; it is not a rescue promise.",Use only after listed unlock/evidence. Do not expose later truth.,1
applied_lore.site_wiki_colony_and_workers_cluster,P418_SITE_WIKI_COLONY_AND_WORKERS_CLUSTER,unlock.site_wiki_colony_and_workers_cluster,person_clue,Colony/workers cluster should preserve job evidence and names without family hook.,Use only after listed unlock/evidence. Do not expose later truth.,1
applied_lore.site_wiki_resources_and_ecology_cluster,P419_SITE_WIKI_RESOURCES_AND_ECOLOGY_CLUSTER,unlock.site_wiki_resources_and_ecology_cluster,resource_clue,"Resources/ecology cluster links blue debt, native life, and Atlas misuse without making the ocean a speaking mind.",Use only after listed unlock/evidence. Do not expose later truth.,1
applied_lore.site_wiki_endings_spoiler_cluster,P420_SITE_WIKI_ENDINGS_SPOILER_CLUSTER,unlock.site_wiki_endings_spoiler_cluster,contradiction_clue,Ending cluster is spoiler-gated. Notes can flag unresolved receiver/custody questions only after unlock.,Use only after listed unlock/evidence. Do not expose later truth.,1;2
