"Path","AssetKind","AnimationCompression","Flags","CinematicFake"
"Assets/Feel/MMTools/Tools/MMSceneLoading/Sprites/LoadingAnimation.anim","StandaloneAnim","UNVERIFIED","STANDALONE_ANIM_KEYFRAME_REDUCTION_UNVERIFIED","Keyframe-reduce or replace cosmetic motion with shader/procedural loop"
"Assets/Feel/MMTools/Tools/MMSceneLoading/Sprites/LoadingAnimationComplete.anim","StandaloneAnim","UNVERIFIED","STANDALONE_ANIM_KEYFRAME_REDUCTION_UNVERIFIED","Keyframe-reduce or replace cosmetic motion with shader/procedural loop"
"Assets/Feel/NiceVibrations/Demo/DemoAssets/BallDemo/HitAnimation.anim","StandaloneAnim","UNVERIFIED","STANDALONE_ANIM_KEYFRAME_REDUCTION_UNVERIFIED","Keyframe-reduce or replace cosmetic motion with shader/procedural loop"
"Assets/Feel/NiceVibrations/Demo/DemoAssets/BallDemo/IdleAnimation.anim","StandaloneAnim","UNVERIFIED","STANDALONE_ANIM_KEYFRAME_REDUCTION_UNVERIFIED","Keyframe-reduce or replace cosmetic motion with shader/procedural loop"
"Assets/Feel/NiceVibrations/Demo/DemoAssets/HapticClipsDemo/Animations/IdleAnimation.anim","StandaloneAnim","UNVERIFIED","STANDALONE_ANIM_KEYFRAME_REDUCTION_UNVERIFIED","Keyframe-reduce or replace cosmetic motion with shader/procedural loop"
"Assets/Feel/NiceVibrations/Demo/DemoAssets/HapticClipsDemo/Animations/ShakingAnimation.anim","StandaloneAnim","UNVERIFIED","STANDALONE_ANIM_KEYFRAME_REDUCTION_UNVERIFIED","Keyframe-reduce or replace cosmetic motion with shader/procedural loop"
"Assets/Feel/NiceVibrations/Demo/DemoAssets/HapticClipsDemo/Animations/SwapAnimation.anim","StandaloneAnim","UNVERIFIED","STANDALONE_ANIM_KEYFRAME_REDUCTION_UNVERIFIED","Keyframe-reduce or replace cosmetic motion with shader/procedural loop"
"Assets/Feel/NiceVibrations/Demo/DemoAssets/WobbleDemo/Animations/WobbleIdle.anim","StandaloneAnim","UNVERIFIED","STANDALONE_ANIM_KEYFRAME_REDUCTION_UNVERIFIED","Keyframe-reduce or replace cosmetic motion with shader/procedural loop"
"Assets/Feel/NiceVibrations/Demo/DemoAssets/WobbleDemo/Animations/WobbleSpark.anim","StandaloneAnim","UNVERIFIED","STANDALONE_ANIM_KEYFRAME_REDUCTION_UNVERIFIED","Keyframe-reduce or replace cosmetic motion with shader/procedural loop"
"Assets/ScifiFacility/Animation/door_01_wing_left.anim","StandaloneAnim","UNVERIFIED","STANDALONE_ANIM_KEYFRAME_REDUCTION_UNVERIFIED","Keyframe-reduce or replace cosmetic motion with shader/procedural loop"
"Assets/ScifiFacility/Animation/door_01_wing_right.anim","StandaloneAnim","UNVERIFIED","STANDALONE_ANIM_KEYFRAME_REDUCTION_UNVERIFIED","Keyframe-reduce or replace cosmetic motion with shader/procedural loop"
"Assets/ScifiFacility/Animation/door_02_wing.anim","StandaloneAnim","UNVERIFIED","STANDALONE_ANIM_KEYFRAME_REDUCTION_UNVERIFIED","Keyframe-reduce or replace cosmetic motion with shader/procedural loop"
"Assets/ScifiFacility/Animation/WarningLight.anim","StandaloneAnim","UNVERIFIED","STANDALONE_ANIM_KEYFRAME_REDUCTION_UNVERIFIED","Keyframe-reduce or replace cosmetic motion with shader/procedural loop"
