Path,SizeMB,LoadType,CompressionFormat,Flags,CinematicFake
"Assets/_Project/Audio/Atmos 1 Loop.wav",23.438,"DecompressOnLoad","Vorbis","DECOMPRESS_ON_LOAD_GT_1MB","Vorbis compressed/streamed bed; procedural loop layer for distance"
"Assets/_Project/Audio/Atmos 1.wav",25.269,"DecompressOnLoad","Vorbis","DECOMPRESS_ON_LOAD_GT_1MB","Vorbis compressed/streamed bed; procedural loop layer for distance"
"Assets/_Project/Audio/Atmos 2 Loop.wav",23.438,"DecompressOnLoad","Vorbis","DECOMPRESS_ON_LOAD_GT_1MB","Vorbis compressed/streamed bed; procedural loop layer for distance"
"Assets/_Project/Audio/Atmos 2.wav",24.902,"DecompressOnLoad","Vorbis","DECOMPRESS_ON_LOAD_GT_1MB","Vorbis compressed/streamed bed; procedural loop layer for distance"
"Assets/_Project/Audio/Atmos 3 Loop.wav",21.973,"DecompressOnLoad","Vorbis","DECOMPRESS_ON_LOAD_GT_1MB","Vorbis compressed/streamed bed; procedural loop layer for distance"
"Assets/_Project/Audio/Atmos 3.wav",23.804,"DecompressOnLoad","Vorbis","DECOMPRESS_ON_LOAD_GT_1MB","Vorbis compressed/streamed bed; procedural loop layer for distance"
"Assets/_Project/Audio/Atmos 4 Loop.wav",21.973,"DecompressOnLoad","Vorbis","DECOMPRESS_ON_LOAD_GT_1MB","Vorbis compressed/streamed bed; procedural loop layer for distance"
"Assets/_Project/Audio/Atmos 4.wav",23.621,"DecompressOnLoad","Vorbis","DECOMPRESS_ON_LOAD_GT_1MB","Vorbis compressed/streamed bed; procedural loop layer for distance"
"Assets/_Project/Audio/Atmos 5 Loop.wav",21.973,"DecompressOnLoad","Vorbis","DECOMPRESS_ON_LOAD_GT_1MB","Vorbis compressed/streamed bed; procedural loop layer for distance"
"Assets/_Project/Audio/Atmos 5.wav",23.254,"DecompressOnLoad","Vorbis","DECOMPRESS_ON_LOAD_GT_1MB","Vorbis compressed/streamed bed; procedural loop layer for distance"
"Assets/_Project/Audio/Breathing/breathing breath in and out 1.mp3",0.275,"CompressedInMemory","Vorbis","SFX_EXPECT_ADPCM","ADPCM short transient or DSPGraph synthetic transient"
"Assets/_Project/Audio/Breathing/breathing rhytmic 8s - 3 breath in and 3 out.wav",0.751,"CompressedInMemory","Vorbis","SFX_EXPECT_ADPCM","ADPCM short transient or DSPGraph synthetic transient"
"Assets/_Project/Audio/Breathing/inside suit sounds (too loud).wav",15.141,"CompressedInMemory","Vorbis","SFX_EXPECT_ADPCM","ADPCM short transient or DSPGraph synthetic transient"
"Assets/_Project/Audio/Footsteps/Default/default step (gravel - mud) (1).ogg",0.008,"DecompressOnLoad","Vorbis","SFX_EXPECT_ADPCM","ADPCM short transient or DSPGraph synthetic transient"
"Assets/_Project/Audio/Footsteps/Default/default step (gravel - mud) (2).ogg",0.008,"DecompressOnLoad","Vorbis","SFX_EXPECT_ADPCM","ADPCM short transient or DSPGraph synthetic transient"
"Assets/_Project/Audio/Footsteps/Default/default step (gravel - mud) (3).ogg",0.008,"DecompressOnLoad","Vorbis","SFX_EXPECT_ADPCM","ADPCM short transient or DSPGraph synthetic transient"
"Assets/_Project/Audio/Footsteps/Default/default step (gravel - mud) (4).ogg",0.008,"DecompressOnLoad","Vorbis","SFX_EXPECT_ADPCM","ADPCM short transient or DSPGraph synthetic transient"
"Assets/_Project/Audio/Footsteps/Metal/metal step (1).wav",0.089,"DecompressOnLoad","Vorbis","SFX_EXPECT_ADPCM","ADPCM short transient or DSPGraph synthetic transient"
"Assets/_Project/Audio/Footsteps/Metal/metal step (2).wav",0.131,"DecompressOnLoad","Vorbis","SFX_EXPECT_ADPCM","ADPCM short transient or DSPGraph synthetic transient"
"Assets/_Project/Audio/Footsteps/Metal/metal step (3).wav",0.102,"DecompressOnLoad","Vorbis","SFX_EXPECT_ADPCM","ADPCM short transient or DSPGraph synthetic transient"
"Assets/_Project/Audio/Footsteps/Metal/metal step (4).wav",0.105,"DecompressOnLoad","Vorbis","SFX_EXPECT_ADPCM","ADPCM short transient or DSPGraph synthetic transient"
"Assets/_Project/Audio/Footsteps/Rock/rock step (1).wav",0.045,"DecompressOnLoad","Vorbis","SFX_EXPECT_ADPCM","ADPCM short transient or DSPGraph synthetic transient"
"Assets/_Project/Audio/Footsteps/Rock/rock step (2).wav",0.041,"DecompressOnLoad","Vorbis","SFX_EXPECT_ADPCM","ADPCM short transient or DSPGraph synthetic transient"
"Assets/_Project/Audio/Footsteps/Rock/rock step (3).wav",0.036,"DecompressOnLoad","Vorbis","SFX_EXPECT_ADPCM","ADPCM short transient or DSPGraph synthetic transient"
"Assets/_Project/Audio/Footsteps/Rock/rock step (4).wav",0.042,"DecompressOnLoad","Vorbis","SFX_EXPECT_ADPCM","ADPCM short transient or DSPGraph synthetic transient"
"Assets/_Project/Audio/Footsteps/Sand/sand step  (1).wav",0.121,"DecompressOnLoad","Vorbis","SFX_EXPECT_ADPCM","ADPCM short transient or DSPGraph synthetic transient"
"Assets/_Project/Audio/Footsteps/Sand/sand step  (2).wav",0.142,"DecompressOnLoad","Vorbis","SFX_EXPECT_ADPCM","ADPCM short transient or DSPGraph synthetic transient"
"Assets/_Project/Audio/Footsteps/Sand/sand step  (3).wav",0.199,"DecompressOnLoad","Vorbis","SFX_EXPECT_ADPCM","ADPCM short transient or DSPGraph synthetic transient"
"Assets/_Project/Audio/Footsteps/Sand/sand step  (4).wav",0.156,"DecompressOnLoad","Vorbis","SFX_EXPECT_ADPCM","ADPCM short transient or DSPGraph synthetic transient"
"Assets/_Project/Audio/Footsteps/Wet/wet step (1).wav",0.458,"DecompressOnLoad","Vorbis","SFX_EXPECT_ADPCM","ADPCM short transient or DSPGraph synthetic transient"
"Assets/_Project/Audio/Footsteps/Wet/wet step (2).wav",0.529,"DecompressOnLoad","Vorbis","SFX_EXPECT_ADPCM","ADPCM short transient or DSPGraph synthetic transient"
"Assets/_Project/Audio/Footsteps/Wet/wet step (3).wav",0.424,"DecompressOnLoad","Vorbis","SFX_EXPECT_ADPCM","ADPCM short transient or DSPGraph synthetic transient"
"Assets/_Project/Audio/Footsteps/Wet/wet step (4).wav",0.542,"DecompressOnLoad","Vorbis","SFX_EXPECT_ADPCM","ADPCM short transient or DSPGraph synthetic transient"
"Assets/_Project/Audio/Impact/landing-hardsurface.wav",0.062,"DecompressOnLoad","Vorbis","SFX_EXPECT_ADPCM","ADPCM short transient or DSPGraph synthetic transient"
"Assets/_Project/Audio/Impact/landing-softsurface.wav",0.038,"DecompressOnLoad","Vorbis","SFX_EXPECT_ADPCM","ADPCM short transient or DSPGraph synthetic transient"
"Assets/_Project/Audio/Movement/dive_splash.wav",0.292,"CompressedInMemory","Vorbis","SFX_EXPECT_ADPCM","ADPCM short transient or DSPGraph synthetic transient"
"Assets/_Project/Audio/Movement/swimming - underwater.ogg",0.029,"CompressedInMemory","Vorbis","SFX_EXPECT_ADPCM","ADPCM short transient or DSPGraph synthetic transient"
"Assets/_Project/Audio/Movement/swimming -onwater.wav",3.423,"CompressedInMemory","Vorbis","SFX_EXPECT_ADPCM","ADPCM short transient or DSPGraph synthetic transient"
"Assets/_Project/Audio/Thruster/servo_motor.wav",0.300,"DecompressOnLoad","Vorbis","SFX_EXPECT_ADPCM","ADPCM short transient or DSPGraph synthetic transient"
"Assets/_Project/Audio/Thruster/thrust continous.wav",0.037,"DecompressOnLoad","Vorbis","SFX_EXPECT_ADPCM","ADPCM short transient or DSPGraph synthetic transient"
"Assets/_Project/Audio/Underwater Ambient.wav",32.468,"CompressedInMemory","PCM","AMBIENCE_EXPECT_VORBIS","Vorbis compressed/streamed bed; procedural loop layer for distance"
