severity,status,evidence_class,visual_acceptance,issue_type,route_band,path,line,object_hint,slot_or_property,file_id,guid,resolved_path,detail,recommended_next_proof
CRITICAL,OPEN,STATIC_SOURCE,PENDING VERIFICATION,UNRESOLVED_TEXTURE_GUID,surface_sky_photic_medium_product_face,Assets/_Project/Art/Materials/MAT_H8_SurfaceCrestOcean_1428.mat,52,MAT_H8_SurfaceCrestOcean_1428,_MainTex,8400000,33331381cbc5c564583cd5e47314cf78,,Texture GUID is not present in the scanned Assets/Packages meta index.,Unity owner must resolve GUID/import state in Editor and provide importer or scene evidence; static path scan cannot close this.
CRITICAL,OPEN,STATIC_SOURCE,PENDING VERIFICATION,EMPTY_BASE_TEXTURE_SLOT,surface_sky_photic_medium_product_face,Assets/_Project/Art/Materials/MAT_H8_SurfaceFoamRibbons_1428.mat,45,MAT_H8_SurfaceFoamRibbons_1428,_BaseMap,0,,,Primary/base texture property is empty in material source.,"Unity owner must inspect material role in Editor, bind authored texture/PBR replacement if needed, then capture route proof."
CRITICAL,OPEN,STATIC_SOURCE,PENDING VERIFICATION,EMPTY_BASE_TEXTURE_SLOT,surface_sky_photic_medium_product_face,Assets/_Project/Art/Materials/MAT_H8_SurfaceFoamRibbons_1428.mat,49,MAT_H8_SurfaceFoamRibbons_1428,_MainTex,0,,,Primary/base texture property is empty in material source.,"Unity owner must inspect material role in Editor, bind authored texture/PBR replacement if needed, then capture route proof."
CRITICAL,OPEN,STATIC_SOURCE,PENDING VERIFICATION,EMPTY_BASE_TEXTURE_SLOT,surface_sky_photic_medium_product_face,Assets/_Project/Art/Materials/MAT_H8WorldWaterMassVeil_1428.mat,45,MAT_H8WorldWaterMassVeil_1428,_BaseMap,0,,,Primary/base texture property is empty in material source.,"Unity owner must inspect material role in Editor, bind authored texture/PBR replacement if needed, then capture route proof."
CRITICAL,OPEN,STATIC_SOURCE,PENDING VERIFICATION,EMPTY_BASE_TEXTURE_SLOT,surface_sky_photic_medium_product_face,Assets/_Project/Art/Materials/MAT_H8WorldWaterMassVeil_1428.mat,49,MAT_H8WorldWaterMassVeil_1428,_MainTex,0,,,Primary/base texture property is empty in material source.,"Unity owner must inspect material role in Editor, bind authored texture/PBR replacement if needed, then capture route proof."
CRITICAL,OPEN,STATIC_SOURCE,PENDING VERIFICATION,EMPTY_BASE_TEXTURE_SLOT,surface_sky_photic_medium_product_face,Assets/_Project/Art/Materials/Mat_HectonSky.mat,45,Mat_HectonSky,_BaseMap,0,,,Primary/base texture property is empty in material source.,"Unity owner must inspect material role in Editor, bind authored texture/PBR replacement if needed, then capture route proof."
CRITICAL,OPEN,STATIC_SOURCE,PENDING VERIFICATION,EMPTY_BASE_TEXTURE_SLOT,surface_sky_photic_medium_product_face,Assets/_Project/Art/Materials/Mat_HectonSky.mat,85,Mat_HectonSky,_MainTex,0,,,Primary/base texture property is empty in material source.,"Unity owner must inspect material role in Editor, bind authored texture/PBR replacement if needed, then capture route proof."
CRITICAL,OPEN,STATIC_SOURCE,PENDING VERIFICATION,EMPTY_BASE_TEXTURE_SLOT,surface_sky_photic_medium_product_face,Assets/_Project/Art/Materials/Mat_HectonSky_CloudOverlay.mat,45,Mat_HectonSky_CloudOverlay,_BaseMap,0,,,Primary/base texture property is empty in material source.,"Unity owner must inspect material role in Editor, bind authored texture/PBR replacement if needed, then capture route proof."
CRITICAL,OPEN,STATIC_SOURCE,PENDING VERIFICATION,EMPTY_BASE_TEXTURE_SLOT,surface_sky_photic_medium_product_face,Assets/_Project/Art/Materials/Mat_HectonSky_CloudOverlay.mat,85,Mat_HectonSky_CloudOverlay,_MainTex,0,,,Primary/base texture property is empty in material source.,"Unity owner must inspect material role in Editor, bind authored texture/PBR replacement if needed, then capture route proof."
CRITICAL,OPEN,STATIC_SOURCE,PENDING VERIFICATION,EMPTY_BASE_TEXTURE_SLOT,surface_sky_photic_medium_product_face,Assets/_Project/Art/Materials/Mat_TriplanarRock.mat,45,Mat_TriplanarRock,_BaseMap,0,,,Primary/base texture property is empty in material source.,"Unity owner must inspect material role in Editor, bind authored texture/PBR replacement if needed, then capture route proof."
CRITICAL,OPEN,STATIC_SOURCE,PENDING VERIFICATION,EMPTY_BASE_TEXTURE_SLOT,surface_sky_photic_medium_product_face,Assets/_Project/Art/Materials/Mat_TriplanarRock.mat,69,Mat_TriplanarRock,_MainTex,0,,,Primary/base texture property is empty in material source.,"Unity owner must inspect material role in Editor, bind authored texture/PBR replacement if needed, then capture route proof."
