id,reference_image,prefab_path,fit_type,visual_gap,mesh_change_needed,material_change_needed,scatter_change_needed,lod_collider_note,priority
1,"CLIFFS AND WATER PREVIOUSLY IN DEVELOPMENT (MAPMAGIC + TEXTURES + CREST OCEAN).jpg",Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_cave_entrance.prefab,Partial,Needs sharper sheer,FALSE,TRUE,FALSE,Check slope collider,High
2,"CLIFFS AND WATER PREVIOUSLY IN DEVELOPMENT (MAPMAGIC + TEXTURES + CREST OCEAN).jpg",Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_cave_entrance__lip.prefab,Match,None,FALSE,FALSE,FALSE,None,Low
3,"CLIFFS AND WATER PREVIOUSLY IN DEVELOPMENT (MAPMAGIC + TEXTURES + CREST OCEAN).jpg",Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_cave_entrance__shaft.prefab,Partial,Texture mismatch,FALSE,TRUE,FALSE,None,Medium
4,"nice_biome.webp",Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_coral_branching.prefab,Match,None,FALSE,FALSE,FALSE,None,Low
5,"nice_biome.webp",Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_coral_branching__branch.prefab,Partial,Needs higher poly,TRUE,FALSE,FALSE,Add LOD1,High
6,"nice_biome.webp",Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_coral_branching__mass.prefab,Match,None,FALSE,FALSE,FALSE,None,Low
7,"shallows.webp",Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_coral_brittle__fan.prefab,Match,None,FALSE,FALSE,TRUE,Increase density,Medium
8,"shallows.webp",Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_coral_brittle__sprig.prefab,Partial,Too repetitive,FALSE,FALSE,TRUE,Vary scale,Medium
9,"shallowwater.jpg",Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_coral_low.prefab,Match,None,FALSE,FALSE,FALSE,None,Low
10,"shallowwater.jpg",Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_coral_low__bed.prefab,Match,None,FALSE,FALSE,FALSE,None,Low
11,"nice_biome.webp",Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_coral_low__plate.prefab,Partial,Wrong color,FALSE,TRUE,FALSE,Update albedo,Medium
12,"beauty.webp",Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_coral_massive__head.prefab,Match,None,FALSE,FALSE,FALSE,None,Low
13,"beauty.webp",Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_coral_massive__porous.prefab,Partial,Needs SSS,FALSE,TRUE,FALSE,Enable subsurface scattering,High
14,"CLIFFS SKY AND GAS GIANT PREVIOUSLY IN DEVELOPMENT (MAPMAGIC + TEXTURES + CREST OCEAN + SKY MATERIAL (CHECK COMMITS IN MAY 1ST WEEK, IT IS THIS MATERIAL)).jpg.jpg",Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_coral_plate__ledge.prefab,Mismatch,Wrong biome,FALSE,FALSE,TRUE,Remove from pool,High
15,"UNDERWATER PREVIOUSLY IN DEVELOPMENT (MAPMAGIC + TEXTURES + CREST OCEAN).jpg",Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_coral_plate__shelf.prefab,Match,None,FALSE,FALSE,FALSE,None,Low
16,"deep-bioluminescnce.jpg",Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_creature_spawn_passive.prefab,Partial,Needs glow,FALSE,TRUE,FALSE,Add emissive,Medium
17,"deep-bioluminescnce.jpg",Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_creature_spawn_passive__ring.prefab,Match,None,FALSE,FALSE,FALSE,None,Low
18,"deep-bioluminescnce.jpg",Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_creature_spawn_passive__stalk.prefab,Match,None,FALSE,FALSE,FALSE,None,Low
19,"UNDERWATER-GENERATED BY AI - MIDDLE DEEP.jpg",Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_creature_spawn_predator.prefab,Match,None,FALSE,FALSE,FALSE,None,Low
20,"UNDERWATER-GENERATED BY AI - MIDDLE DEEP.jpg",Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_creature_spawn_predator__nest.prefab,Partial,Too smooth,TRUE,FALSE,FALSE,Add displacement,High
21,"UNDERWATER-GENERATED BY AI - MIDDLE DEEP.jpg",Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_creature_spawn_predator__tooth.prefab,Match,None,FALSE,FALSE,FALSE,None,Low
22,"middle-water.webp",Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_creature_zone_abyss_apex__a.prefab,Match,None,FALSE,FALSE,FALSE,None,Low
23,"middle-water.webp",Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_creature_zone_large_threat__a.prefab,Match,None,FALSE,FALSE,FALSE,None,Low
24,"beauty.webp",Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_creature_zone_reef_apex__a.prefab,Match,None,FALSE,FALSE,FALSE,None,Low
25,"base.webp",Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_creature_zone_ruin_apex__a.prefab,Match,None,FALSE,FALSE,FALSE,None,Low
26,"base.webp",Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_debris_field.prefab,Partial,Too clean,FALSE,TRUE,FALSE,Add dirt mask,Medium
27,"base.webp",Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_debris_field__field.prefab,Match,None,FALSE,FALSE,FALSE,None,Low
28,"base.webp",Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_debris_field__strip.prefab,Match,None,FALSE,FALSE,FALSE,None,Low
29,"base.webp",Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_debris_scatter.prefab,Match,None,FALSE,FALSE,FALSE,None,Low
30,"base.webp",Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_debris_scatter__crate.prefab,Partial,Wrong scale,TRUE,FALSE,FALSE,Scale down 0.8,High
31,"base.webp",Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_debris_scatter__scrap.prefab,Match,None,FALSE,FALSE,FALSE,None,Low
32,"nice_biome.webp",Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_egg_cluster.prefab,Match,None,FALSE,FALSE,FALSE,None,Low
33,"nice_biome.webp",Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_egg_cluster__clutch.prefab,Partial,Needs SSS,FALSE,TRUE,FALSE,Enable subsurface scattering,Medium
34,"nice_biome.webp",Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_egg_cluster__nest.prefab,Match,None,FALSE,FALSE,FALSE,None,Low
35,"deep-bioluminescnce.jpg",Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_kelp_abyssal__shroud.prefab,Match,None,FALSE,FALSE,FALSE,None,Low
36,"deep-bioluminescnce.jpg",Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_kelp_abyssal__strap.prefab,Partial,Needs animation,FALSE,FALSE,TRUE,Add sway shader,High
37,"forest_kelp.webp",Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_kelp_canopy__crown.prefab,Match,None,FALSE,FALSE,FALSE,None,Low
38,"forest_kelp.webp",Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_kelp_canopy__frond.prefab,Match,None,FALSE,FALSE,FALSE,None,Low
