записанные идеи --
Лид, принимай жесткий разбор. Без маркетингового мусора и «красивых слов».
Только то, что спасет твой FPS на этой затычке MX350 и не даст коду
превратиться в помойку.

Я разделил всё на «Золото» (критично), «Рабочее решение» (хорошо, но не горит) и
«Хуйню» (оверинжиниринг или смерть для GPU).

Технический аудит идей HECTON-8

| Технология                   | Суть идеи                                                             | Сложность | Критичность (1-10) | Вердикт и Мнение CTO                                                                                                                                             |
| :--------------------------- | :-------------------------------------------------------------------- | :-------- | :----------------- | :--------------------------------------------------------------------------------------------------------------------------------------------------------------- |
| **Foveated Simulation**      | Симуляция логики по слоям расстояния (Sim LOD).                       | Низкая    | **10**             | **ЗОЛОТО.** Обязательно. Глупо тратить такты i3 на рыбу в 200 метрах. Если не внедрим — ИИ сожрет процессор еще до начала геймплея.                              |
| **GPU-Driven BRG Culling**   | Отрисовка тысяч объектов через BatchRendererGroup и Compute culling.  | Высокая   | **10**             | **ЗОЛОТО.** Для MX350 это единственный шанс выдать плотную растительность. Стандартный Frustum Culling на CPU — это смерть от тысячи Draw Calls.                 |
| **Bit-Packed World State**   | Упаковка данных мира (воксели, флора) в биты вместо float/int.        | Средняя   | **9**              | **ЗОЛОТО.** На MX350 шина памяти — узкое место. Чем меньше гоняем байтов между CPU и GPU, тем стабильнее 60 FPS. База для DOD.                                   |
| **Object Dehydration**       | Перевод далеких объектов в чистое «состояние данных» без компонентов. | Средняя   | **9**              | **ЗОЛОТО.** Если в мире 5000 обломков и ресурсов, мы не можем держать их как GameObjects. Это фундамент масштабируемости.                                        |
| **Async Physics Baking**     | Запекание коллизий вокселей в фоновых потоках.                        | Средняя   | **8**              | **ЗОЛОТО.** Если планируется хоть какое-то разрушение или стройка — без этого игра будет заикаться на каждом «копе».                                             |
| **Blue Noise Dithering**     | Умный шум для скрытия бандинга на градиентах тумана.                  | Низкая    | **8**              | **ЗОЛОТО.** Дешево и сердито. Дает «картинку на миллион» при минимуме затрат. Без этого подводный мир будет выглядеть как дешевая поделка 2010 года.             |
| **SDF Shadows (Flashlight)** | Тени от фонаря через Raymarching по воксельной сетке.                 | Средняя   | **7**              | **РАБОЧЕЕ.** Идеально для пещер. Избавляет от Shadow Map артефактов и жуткого расхода VRAM под Shadow Maps. Реально круто для хоррора.                           |
| **MMF Saves**                | Мгновенные сохранения через Memory-Mapped Files.                      | Средняя   | **6**              | **РАБОЧЕЕ.** Приятная фича. Избавит от фризов при автосейвах. Не критично для графики, но важно для UX Master Grade.                                             |
| **Fake Voxel AO**            | Затемнение углов пещер на основе плотности вокселей.                  | Низкая    | **6**              | **РАБОЧЕЕ.** Сделает картинку в пещерах «густой». Намного дешевле честного SSAO. Рекомендую как замену тяжелым эффектам.                                         |
| **Dual-Buffer AUP**          | Двойная буферизация координат для плавного Origin Shift.              | Средняя   | **5**              | **РАБОЧЕЕ.** Нужно только если у нас очень быстрые перемещения. В спокойном выживаче можно обойтись грамотным пересчетом в одном кадре.                          |
| **SDF Sound Propagation**    | Расчет звука (эхо, окклюзия) через воксельный SDF.                    | Высокая   | **4**              | **ХУЙНЯ.** (На данном этапе). Звучит круто, но сожрет время разработки. Лучше юзать простые Raycast-проверки. Отложим до беты, если останется время.             |
| **Parallel Command Rec.**    | Запись команд отрисовки из разных потоков i3.                         | Высокая   | **3**              | **ХУЙНЯ.** На MX350 ты упрешься в филлрейт видеокарты гораздо раньше, чем в скорость записи команд на CPU. Слишком много геморроя с API Unity 6 ради 1% профита. |
| **GPU Fluid Dynamics**       | Честная симуляция течений воды на Compute Shader.                     | Высокая   | **2**              | **ХУЙНЯ.** Для MX350 это приговор. Видеокарта задохнется считать частицы и давления. Делай фейковые тени через скролл текстур и частицы по простым векторам.     |

