"source_path","family","role","candidate_channel_set","exact_shader_contract","channel_order","qa_status","rejection_reason","static_preview_path","global_quality_weight_consequence","unity_owner_needed"
"Docs/GeneratedAssets/Gemini/TX_H8_WetBasaltShoreline_1428_MANIFEST.md","WetBasaltShoreline_1428","ALBEDO_SOURCE","Albedo present from Docs preview; QA-only height-like, normal-from-height, roughness, AO, metallic-zero, emission-zero previews generated","BLOCKED for final material: no terrain/coast shader contract tied to this source. MraoAtlasLit could be used only if a material owner chooses it.","If MraoAtlasLit is chosen: R=Metallic, G=Roughness, B=AO, A=EmissionMask. Not applied.","STATIC REJECTED","Source is albedo-only and edge seam metrics are high for seamless production use: LR 30.78, TB 33.40 mean RGB diff. Derived normal/AO/roughness would emboss albedo and cannot replace real height/normal/MRAO authoring.","Docs/GeneratedAssets/Gemini/QA/1906/TX_H8_WetBasaltShoreline_1428_static_channel_QA_contact_sheet.png","Low: do not ship as flat/noir basalt; needs corrected seam and 512-1024 channel stack. Middle: full albedo/normal/MRAO with wetness/salt/sediment/erosion. High: stronger wet fracture roughness and detail normals. Ultra: hero-scale 2K/4K source and richer waterline masks. Channel truth unchanged.","Yes: seam-fixed source, true normal/height/AO/roughness/MRAO generation, import settings, TerrainLayer/material assignment, scene/game captures, Frame Debugger/profiler."
"Docs/GeneratedAssets/Gemini/QA/Gemini_Downloaded_PNG_preview.png","WetBasaltShoreline_1428","REFERENCE_ONLY_STATIC","1024x1024 RGBA preview flattened to RGB for static QA; no production channels","No shader contract applied","N/A","STATIC VERIFIED","Usable as static source evidence only. Alpha is opaque, luma mean/stddev 85.97/46.97. Does not prove tileability or PBR readiness.","Docs/GeneratedAssets/Gemini/QA/1906/TX_H8_WetBasaltShoreline_1428_static_channel_QA_contact_sheet.png","All quality lanes require corrected source and real channel stack before production use.","Yes: same as WetBasaltShoreline source."
"Docs/Reports/Batch18/1821_SHORELINE_WATERLINE_BAKE_INPUTS.csv","ShorelineFoamWaterline_1821","PACKED_SOURCE_CANDIDATE","Required future packed foam ribbon and waterline masks are listed but missing","H8_ShorelineFoamRibbon_1428 static contract accepted for foam route","R=foam flow A, G=foam flow B, B=breakup, A=not accepted here","PENDING SOURCE","TX_H8_ShorelineFoamRibbonPacked_1821.png, TX_H8_ShorelineWaterlineMask_1821.png, and caustic/waterline outputs are missing generated assets. Existing Assets paths were not classified as owned output by this task.","","Low: sparse readable foam/waterline breakup. Middle: denser ribbons and cleaner masks. High: richer refraction/breakup. Ultra: layered foam and caustic masks. Normal surface stays bright/readable.","Yes: offline bake, import, material assignment, active scene proof, Frame Debugger/profiler."
"Docs/Reports/Batch18/1821_SHORELINE_WATERLINE_BAKE_INPUTS.csv","WetBasaltExistingRoute_1821","REFERENCE_ONLY_STATIC","Batch18 lists existing wet basalt material/texture references under Assets; this task excluded Assets candidates from owned classification","No final PBR contract accepted for this QA row","N/A","STATIC REJECTED","Existing wet basalt Assets references may inform future owners, but 1906 is forbidden from classifying Assets/** as owned source output or touching them.","","Low: keep wet basalt material identity, not darkness. Middle/High/Ultra require richer real channel stacks under route owner.","Yes: Unity owner must inspect/import/assign/prove, not 1906."
"Docs/Reports/Batch18/1894_PRODUCT_FACE_TEXTURE_SOURCE_MANIFEST_SEED.csv","ProductFaceTools","PACKED_SOURCE_CANDIDATE","12 tool families require albedo, normal, and PackedMaskV1 maps","ToolDecayLit PackedMaskV1 exact static contract accepted","_MaskMap R=Metallic, G=AO/Occlusion, B=Smoothness, A=EmissionMask","PENDING SOURCE","No project-owned tool texture sources are present in the seed; current placeholders/package/default routes are rejected by Batch18 evidence.","","Low: authored silhouette-safe tool albedo/normal/packed mask, no flat placeholders. Middle: labels/grime. High: wet metal/glass/wear. Ultra: micro scratches/screws/emissive diagnostics. Tool truth unchanged.","Yes: generate/import tool texture families and prove held/world materials."
"Docs/Reports/Batch18/1894_PRODUCT_FACE_TEXTURE_SOURCE_MANIFEST_SEED.csv","ProductFaceResourceMinerals","PACKED_SOURCE_CANDIDATE","Copper, silver, silica, sulfur need host/seam/nodule albedo, normals, and packed maps","MRAO reference exists, but per-resource material owner route is not locked","Candidate MRAO R=Metallic, G=Roughness, B=AO, A=EmissionMask only after owner choice","BLOCKED_CHANNEL_CONTRACT","Per-mineral shader route/source ownership is unresolved. Terrain/rock donors cannot be used as final ore maps; seam/nodule sources are missing.","","Low: readable ore silhouette and true metal only in seams. Middle: fracture/porosity masks. High: wet fracture/glint. Ultra: micro chips/mineral sparkle. Item truth unchanged.","Yes: per-resource manifest, source maps, import report, pickup screenshots."
"Docs/Reports/Batch18/1894_PRODUCT_FACE_TEXTURE_SOURCE_MANIFEST_SEED.csv","ProductFaceResourceOrganics","PACKED_SOURCE_CANDIDATE","FiberKelp, MembraneTissue, resin need organic albedo, normal, roughness/AO, thickness/wetness logic","ProceduralBio ORM can apply only if pickup owner declares that route; resin may require dedicated shader","ORM R=Occlusion, G=Roughness, B=Metallic, A=EmissionMask if ProceduralBio is chosen","BLOCKED_CHANNEL_CONTRACT","Pickup-specific organic route is not declared and actual pickup source maps are missing. Direct flora donor relink is rejected as final source.","","Low: thick readable forms and alpha-clip discipline. Middle: veins/folds/wetness. High: translucency and richer normals. Ultra: micro folds/biolume only where semantically placed. Pickup truth unchanged.","Yes: organic derivative manifest, source maps, overdraw/readability screenshots."
"Docs/Reports/Batch18/1894_PRODUCT_FACE_TEXTURE_SOURCE_MANIFEST_SEED.csv","TitaniumScrap","PACKED_SOURCE_CANDIDATE","Bent titanium scrap needs metal albedo, normal, MRAO, paint/wear/oil mask","MRAO recommended only after scrap manifest, ToolDecayLit possible only if owner chooses PackedMaskV1","Blocked until owner chooses MRAO or PackedMaskV1","BLOCKED_CHANNEL_CONTRACT","Texture source missing and legacy Item_Titanium route requires canonical relink or quarantine. Unresolved GUID and flat scrap material are rejected.","","Low: bent metal silhouette and cut-edge identity. Middle: paint/labels. High: wetness/wear. Ultra: bolts/weld scars/micro scratches. Data truth unchanged.","Yes: canonical route decision, source maps, import, assignment, screenshots."
"Docs/Reports/Batch18/1894_PRODUCT_FACE_TEXTURE_SOURCE_MANIFEST_SEED.csv","ProductFaceTransportHullRubberTrim","PACKED_SOURCE_CANDIDATE","Transport hull, rubber, trim require albedo, normal, MRAO, wetness/wear/decal masks","Candidate MRAO or dedicated transport shader, not locked","Blocked until dedicated transport material family declares channel order","BLOCKED_CHANNEL_CONTRACT","Dedicated transport shader/material family and source maps are missing. RuntimeVisualProof swatches and flat signal colors are not final PBR source.","","Low: readable hull/rubber/trim material separation. Middle: decals/grime. High: wet pressure-metal response. Ultra: dense scratches/runoff/decal detail. Vehicle truth unchanged.","Yes: transport source package, import report, relink dry-run, captures."
"Docs/Reports/Batch18/1894_PRODUCT_FACE_TEXTURE_SOURCE_MANIFEST_SEED.csv","ProductFaceTransportGlass","PACKED_SOURCE_CANDIDATE","Transport glass needs scratch normal, droplet/runoff/grime/wear masks, alpha/cutout policy","BLOCKED: no transport glass shader contract located","BLOCKED","BLOCKED_CHANNEL_CONTRACT","SuitVisor is not a generic transport glass donor. Scratch/droplet/runoff channel semantics for transport viewport are not declared.","","Low: compact-safe glass readability without alpha spam. Middle: scratches/grime. High: wet runoff. Ultra: richer droplet/scratch layers. Vehicle truth unchanged.","Yes: transport glass shader contract, source maps, import/proof captures."
"Docs/Reports/Batch18/1894_PRODUCT_FACE_TEXTURE_SOURCE_MANIFEST_SEED.csv","ProductFacePlayerSuitBodyTrim","PACKED_SOURCE_CANDIDATE","Suit body, gloves, trim, labels need albedo, normal, packed maps, emission/wear masks","BLOCKED: dedicated suit body/decal route missing; SuitVisor only covers visor-specific slots","BLOCKED","BLOCKED_CHANNEL_CONTRACT","Visor partial route does not solve suit body/glove/trim texture identity. RuntimeVisualProof candidates are semantic only.","","Low: suit material separation and instrument legibility. Middle: labels/seals. High: wet graphite/rubber/wear. Ultra: dense trim/scratch/runoff detail. Player truth unchanged.","Yes: suit body/trim atlas, import, material assignment, held/camera captures."
"Docs/Reports/Batch18/1888_PRODUCT_FACE_TEXTURE_CHANNEL_MANIFEST_AND_SHADER_AUDIT.md","PlayerVisor","REFERENCE_ONLY_STATIC","Dedicated visor dirt/scratch/salt/condensation and normal/runoff/droplet slots","SuitVisor exact dedicated contract accepted, but not generic PBR","_VisorMaskTex R=Dirt, G=Scratch, B=Salt, A=Condensation","STATIC VERIFIED","Static contract only. Source/import/runtime/capture proof remains pending; not a MRAO/ORM/ARM source.","","Low: readable contamination without hiding HUD. Middle: scratch/salt layering. High: runoff/condensation detail. Ultra: richer visor grime and droplets. HUD/player truth unchanged.","Yes: visor source maps, import settings, assignment, screen/camera proof."
"Docs/Reports/Batch18/1896_TOOLSCREEN_DIEGETIC_SHADER_CHANNEL_MATRIX.csv","ToolScreenDiegetic","REFERENCE_ONLY_STATIC","_ToolScreenTex RGB signal and scalar presentation contracts; no PBR channel stack","ToolScreenDiegetic exact static signal contract accepted","_ToolScreenTex RGB only; alpha not read. _BaseMap/_MainTex/_EmissionMap blocked because not sampled.","STATIC VERIFIED","Valid for screen signal QA only. It cannot be used as albedo, emissive mask, or packed PBR proof.","","Low: readable fallback/signal. Middle: stable screen text/heat/battery. High: richer screen sweep. Ultra: visual overkill detail via GlobalQualityWeight only. Tool owner truth unchanged.","Yes: real material assignment, RT content, readability screenshot, profiler/GC proof."
"Docs/Reports/Batch18/1886_PRODUCT_FACE_TEXTURE_AUTHORING_PIPELINE_DISCOVERY.md","AI_UberNoir_ARM","PACKED_SOURCE_CANDIDATE","AITexture ingestion binds ARM-like maps but exact target shader channel meaning is not proven","BLOCKED: exact UberNoir ARM contract not located","BLOCKED","BLOCKED_CHANNEL_CONTRACT","Do not infer from ARM/MRAO/ORM/mask/packed filenames. ProductFace relink must wait for target shader channel truth.","","All lanes may scale texture size/detail only after channel truth is fixed. Channel order cannot change by quality weight.","Yes: exact shader contract and product-face manifest validator."
"Docs/Reports/Batch18/1894_PRODUCT_FACE_TEXTURE_SOURCE_MANIFEST_SEED.csv","EnvironmentRouteDonors","REFERENCE_ONLY_STATIC","Sky, Aegir, moons, ocean, Crest, terrain, flora, storm/noir/depth route assets are not ProductFace body PBR donors","Route-owned environment contracts only","N/A for ProductFace PBR","STATIC REJECTED","Environment route assets are references only. Reusing them as tool/resource/transport/suit texture shortcuts would violate donor/source rules and third-party boundaries.","","Low through Ultra preserve environment visual floor under their owners; no ProductFace channel consequence.","Yes: environment owners only if route asset proof is needed."
"Docs/Reports/Batch18/1883_SKY_OCEAN_MATERIAL_TEXTURE_MATRIX.csv","PhoticShallowsWaterClarity","REFERENCE_ONLY_STATIC","No explicit shallow refraction/clarity/caustic material source package proven by Batch18 static audit","BLOCKED: shallow water material/shader/source package missing","BLOCKED","PENDING SOURCE","Source package absent. Generic blue fog or darkness cannot substitute for bright photic shallows.","","Low: clear route cues and beautiful ocean color. Middle: caustic/readback richness. High/Ultra: shafts/detail without navigation truth dependency.","Yes: water/world owner source package, import, capture, profiler proof."
