rank,object,line,active,renderer_enabled,mesh,position,scale,material,material_evidence,batch21_crosscheck,likelihood,first_pass_action,proof_required
1,H8_DEPTH_LOW_SHELF_1428,9861,1,1,"builtin cube fileID 10202","x:0 y:-0.9 z:30","x:58 y:1.15 z:8",MAT_H8_SurfaceLittoralShelf_1430,"Opaque URP/Lit; BaseMap bound; _BaseColor r0.68 g0.64 b0.5 a1; Smoothness 0.4","CRITICAL BUILTIN_PRIMITIVE_MESH_REF scene line 9828","Very high: active huge beige horizontal slab matching pale/yellow sheet","Temporarily disable renderer or move to underwater-debug/excluded layer; no deletion","Before/after 1469-1472 repro camera at 0.5m and 20-50m route; verify pale sheet gone and route/seabed still readable; rollback renderer/layer only"
2,"H8_WORLD_LOW_WATER_OCCLUSION_00/01/02/03_1428",7798/43591/16971/57089,1,1,"builtin cube fileID 10202","y:-0.07 z:18.8/21.2/23.6/26","x:3.2 y:0.06 z:0.4",MAT_WorldShell_1428,"Opaque dark shell; empty BaseMap/MainTex; _BaseColor r0.035 g0.07 b0.078 a1","CRITICAL BUILTIN_PRIMITIVE_MESH_REF on all four; MEDIUM empty texture slots on material","High for slicing/black occlusion; lower for pale color","Layer-filter underwater camera or disable renderers one by one; keep rollback list","Selective disable captures prove whether sliced waterline/black bands disappear without exposing void"
3,H8_DEPTH_CEILING_OCCLUSION_1428,75100,1,1,"builtin cube fileID 10202","x:-4 y:7.8 z:25","x:70 y:1 z:8",MAT_H8WorldDeepAbyss_1428,"Opaque dark abyss; empty BaseMap/MainTex; _BaseColor r0.005 g0.03 b0.032 a1","Material has MEDIUM empty base texture slots; primitive class matches occlusion slab","Medium-high for overhead slicing/false ceiling","Move to occlusion-only/invisible layer if used for culling; otherwise disable renderer first","Underwater route capture must keep ceiling/route structure while removing hard slice"
4,NOIR_UPPER_PRESSURE_LID,5028,1,1,"builtin cube fileID 10202","x:0 y:8.6 z:5","x:38 y:0.25 z:30",MAT_H8WorldPressureVignette_1428,"Transparent queue 3000; alpha 0.36; empty BaseMap/MainTex; dark color","Batch21 material empty texture slots; primitive slab not top pale source","Medium for upper horizontal lid/waterline artifacts","Verify layer mask and transparency sorting; disable renderer test before material retune","Capture from below surface and route; prove no hard horizontal lid or sorting plane remains"
5,"NOIR_LEFT_VIGNETTE_SLAB / NOIR_RIGHT_VIGNETTE_SLAB",6788/58411,1,1,"builtin cube fileID 10202","left x:-15.2 y:3.2 z:-2; right x:12.2 y:3 z:-3","left x:0.3 y:7.5 z:15; right x:0.3 y:7 z:15",MAT_H8WorldPressureVignette_1428,"Transparent dark vignette; alpha 0.36; empty textures","CRITICAL BUILTIN_PRIMITIVE_MESH_REF both; material empty texture slots","Medium: side curtains can cut image but not main pale sheet","Underwater-camera exclusion layer or authored full-screen/post route; no geometry curtains in product route","Capture wide/oblique underwater views; side slabs must not visibly intersect route"
6,Water_Mass_Far_1428,30047,0,1,"builtin cube fileID 10202","x:8 y:12 z:118","x:150 y:34 z:0.25",MAT_WorldReadableWaterVeil_1428,"Inactive GameObject; transparent queue 3000; alpha 0.11; empty BaseMap/MainTex","CRITICAL primitive mesh; CRITICAL empty BaseMap/MainTex on material","Watch: not active in YAML, dangerous if reactivated","Keep inactive until replaced by authored water volume; if activated, layer-filter and capture","Proof only needed if controller/Unity owner reactivates"
7,Water_Mass_Mid_1428,56819,0,1,"builtin cube fileID 10202","x:0 y:10 z:58","x:135 y:28 z:0.25",MAT_WorldReadableWaterVeil_1428,"Inactive GameObject; transparent queue 3000; alpha 0.11; empty BaseMap/MainTex","CRITICAL primitive mesh; CRITICAL empty BaseMap/MainTex on material","Watch: not active in YAML, can become huge veil if reactivated","Keep inactive; replace with camera/fog shader fake if needed","Proof only if reactivated"
8,H8_UnderwaterSurfaceSheet_1455,79002,0,0,"mesh not captured in static extract; renderer disabled","x:0 y:0 z:0","x:1 y:1 z:1",MAT_H8_UnderwaterSurfaceSheet_1455,"Inactive GameObject and disabled renderer; custom surface sheet material opacity 0.42 with bright/foam colors","Named explicit candidate exists but inactive; material is sheet-specific","Watch: visual match by name/material, not active source from static YAML","Do not enable; if used later, underwater-only layer and camera fade proof mandatory","Before/after if enabled; must not draw solid sheet under water"
9,BLACK_WATER_PLANE,41158,0,0,"builtin plane fileID 10209","x:0 y:-0.23 z:45","x:26 y:1 z:26",H8_Shell_BlackWater_Teal,"Inactive GameObject and disabled renderer; opaque dark teal; empty textures","CRITICAL BUILTIN_PRIMITIVE_MESH_REF","Watch: inactive old plane, not active source","Leave inactive; if needed replace with authored seabed/water volume","Proof only if reactivated"
10,BASALT_SEABED,52796,0,0,"builtin plane fileID 10209","x:0 y:-1.42 z:52","x:32 y:1 z:25",H8_Shell_Basalt_Readable,"Inactive GameObject and disabled renderer; opaque dark basalt; empty textures","CRITICAL BUILTIN_PRIMITIVE_MESH_REF","Watch: inactive flat seabed plane explains prior placeholder risk","Do not reactivate; replace with authored terrain shell/MapMagic/geology","Terrain proof: gameplay-height captures and collision/proxy route"
