finding_id,severity,area,files,evidence,impact,required_action,status
2013-B01,BLOCKING,stale integration state,"Docs/Reports/Batch20/2012_SCENE_REPAIR_INTEGRATION_BACKLOG.md; Docs/Reports/Batch20/2012_OWNER_HANDOFF_SEQUENCE.csv; Docs/Reports/Batch20/2012_BLOCKER_REGISTER.csv","2012 says 2010/2011 status/log evidence missing; Status_2010/2011 and LOG/Rationale files exist now","Orchestrator may send stale pending labels","Refresh handoff labels before dispatch","OPEN"
2013-B02,BLOCKING,missing sky completion,"Docs/Tasks/Status_2006.md; Docs/AgentLogs/LOG_2006.md; Docs/AgentLogs/Rationale_2006.md; Docs/Reports/Batch20/SKY_AEGIR_MOONS_SOURCE_ROLE_PACKAGE_20260604.md","2006 status/log/rationale absent; sky package is static only","Sky/Aegir repair cannot be treated complete","Wait for 2006 or equivalent owner completion","OPEN"
2013-B03,BLOCKING,ProductFace contradiction,"Docs/Reports/Batch20/2011_STATIC_VALIDATOR_RESULTS.md; Docs/Reports/Batch20/2008_PRODUCTFACE_DEBT_MATRIX.csv; Docs/Reports/Batch18/1851_GENERATED_ASSET_PRODUCTION_AUDIT.md","ProductFaceStaticRouteAudit has zero findings while 42 ProductFace primitive errors and material debt remain","False green ProductFace handoff risk","Quote route audit as route-contract only","OPEN"
2013-B04,BLOCKING,generated asset debt,"Docs/Reports/Batch18/1851_GENERATED_ASSET_PRODUCTION_AUDIT.md","83 errors, 1281 warnings, 338 missing manifests/proof rows, 42 ProductFace primitive errors, 21 final prefab primitive errors","Generated assets cannot be production-ready","Require manifests, named proof, authored meshes/materials, screenshots","OPEN"
2013-B05,BLOCKING,active scene debt,"Docs/Reports/Batch20/2002_SURFACE_SHALLOW_SCENE_REPAIR_LEDGER.md; Docs/Reports/Batch20/2002_SURFACE_SHALLOW_SCENE_REPAIR_LEDGER.csv","342 primitive mesh refs, 137 product-face filtered primitive refs, 45 null material slots","Unity visual proof will fail if scene remains unchanged","Unity owner must validate and repair active scene refs/materials","OPEN"
2013-B06,BLOCKING,dangerous candidate patch,"Docs/Reports/Batch20/2003_CANDIDATE_RULE_PATCHES.diff.txt","Patch flips strict filters and adds helper/proxy rejection without compile/behavior proof","Direct application can break compile or broad scatter behavior","Source inspect, compile, placement preview, telemetry before applying","OPEN"
2013-B07,BLOCKING,first-hour route blocker,"Docs/Reports/Batch20/FIRST_HOUR_RESOURCE_TOOL_OXYGEN_REACHABILITY_20260604.md","CopperVein Drill-gated at 40m; starter lacks Drill; SeafloorDrill asset/prefab missing; CopperWire recipe authority conflict","Beautiful route can still be gameplay-invalid","Add first-hour copper/tool/O2/craft/save/death proof gate to Unity handoff","OPEN"
2013-B08,BLOCKING,missing generated source files,"Docs/Reports/Batch20/2009_CANDIDATE_INTAKE_MANIFEST_TEMPLATE.csv; Docs/Reports/Batch20/2009_GEMINI_SURFACE_SHALLOWS_PROMPT_PACKS.md","Template row only; prompt pack generated no images/imports","Unity owner may expect nonexistent source inputs","Wait for real candidate files, hashes, QA rows before import","OPEN"
2013-B09,BLOCKING,material channel contracts,"Docs/Reports/Batch20/2008_TEXTURE_CHANNEL_CONTRACT_GAPS.csv; Docs/Reports/Batch20/2011_STATIC_VALIDATOR_RESULTS.md","11 channel contract gaps; 65 material issue rows; 21 materials with unresolved texture refs; 14 surface blockers","Relink/import would be guesswork","Resolve shader-specific channel contracts and texture refs","OPEN"
2013-B10,BLOCKING,Unity owner identity,"Docs/Reports/Batch20/2012_UNITY_SLOT_QUEUE.md","Current Unity owner name is mojibake","Cannot safely determine slot ownership","Replace with real owner or explicit free-slot statement","OPEN"
