gate_id,gate,acceptance_requirement,reject_if,proof_artifact,applies_to
R01,Texture GUID integrity,"Every material slot references existing first-party texture assets or documented quarantined external dependency","Any unresolved GUID remains in albedo normal mask detail skybox or wetness slot","Material YAML scan plus Unity import proof","All surface/photic/medium-depth materials"
R02,PBR role contract,"Albedo normal MRAO detail emission/wetness roles are listed with shader slot and channel meaning","Channel order guessed from filename or old mask/gloss slot treated as ORM without review","Material role table and shader channel contract","Terrain rocks flora coral wetness hard surface"
R03,Import settings,"Albedo sRGB true; normal map type and linear; masks/data linear; compressed high quality; mips enabled for world textures","Data texture has sRGB on; normal not TextureType Normal; uncompressed runtime texture used","Texture import report and validator output","All replacement textures"
R04,Visual material identity,"Material reads as specific wet rock terrain coral kelp sky cloud waterline metal rubber or tissue under flat and URP lighting","Flat color noise baked lighting blurred mush primitive proxy or generic Lit/default material","Albedo-only normal-only mask-channel flat-light and final URP previews","All production materials"
R05,Surface brightness/readability,"Surface sky coast waterline and photic captures remain bright readable detailed and beautiful","Surface is darkened crushed muddy over-fogged or used to hide weak materials","Current Game View and Scene View captures","Sky terrain waterline photic shallows"
R06,No placeholder route,"No production prefab/scene/material route binds placeholder/proxy/default/package Lit materials unless explicitly diagnostic-only","`*_Placeholder.mat` package/default Lit null material or proxy unlit is production-bound","Dependency scan and relink report","Production prefabs scenes generated runtime material routes"
R07,Waterline/wetness truth,"Wetness changes roughness/darkening/normal/specular through authored masks or owner-published state","Wetness is a generic glossy overlay or invalid normal refs remain","Wet material preview and shoreline/waterline capture","Mat_LeakWetSheen terrain rocks shoreline materials"
R08,Triplanar/geology projection,"Triplanar material declares object/world scale projection space normal blending and LOD consistency","Projection scale changes across LODs or albedo ref unresolved","Projection contract plus rock/coast captures","Mat_TriplanarRock terrain geology families"
R09,Flora/coral channel review,"Legacy masks have reviewed channel order and semantic emission/roughness/AO placement","Random emission speckles or mask channels accepted without shader contract","Channel debug views plus photic capture","Coral kelp flora proxy families"
R10,Scalability consequences,"Compact Middle High Ultra keep same material identity while scaling resolution detail decals and optional shader richness continuously via GlobalQualityWeight","Binary low/high art switch or compact lane becomes flat/muddy/primitive","Quality lane matrix plus captures where available","All replacements"
R11,Runtime proof boundary,"Runtime acceptance uses current Unity captures and profiler/GC/memory/VRAM proof when render/shader route changes","Static CSV or docs are used as visual/profiler proof","VisualProof packet outside Assets; Frame Debugger/profiler if needed","Final closeout"
R12,Dependency closure,"Old broken materials are fixed or proven no longer production-bound","Broken shared material remains referenced by route prefab/scene after replacement","Dependency scan with before/after material binding report","Shared rock terrain sky placeholder replacements"
