route_id,asset_family_or_blocker,source_status,replacement_source_path_or_contract,editor_generation_route,unity_owner_action,proof_packet,reject_if,low_middle_high_ultra_consequence
2019-G001,Surface sky and cloud materials,SOURCE_MISSING,"2016_TOP_BLOCKING_MATERIALS.csv rows 1-3; first-party sky/cloud/Aegir/moon sources required","No mesh generator. Material/source relink in Unity after GUID recovery or new source import","Bind skybox/cloud overlay sources; tune haze without surface darkening","Source validator; import settings; 360/crop captures; profiler only if shader/render path changes","Unresolved refs, empty material roles, muddy/noir surface, procedural stripe/scribble sky","Low keeps readable sky/celestial texture; Middle resolves full source roles; High adds cloud depth; Ultra adds atmosphere/detail without route truth changes"
2019-G002,Surface terrain and triplanar rock,SOURCE_MISSING,"2016 rows 4-5; 2005 wet/dry basalt and triplanar geology material contract","Geology material source generation offline; no runtime texture synthesis","Import/bind terrain and triplanar materials after channel order lock","Albedo/normal/MRAO/detail previews; projection scale contract; coastline/medium-depth captures","Unresolved albedo, missing normal/detail/mask, guessed channel order, grey diffuse-only output","Low smaller maps but wet/dry identity; Middle full PBR stack; High richer detail/wetness; Ultra hero microdetail only"
2019-G003,Wetness and waterline sheen,SOURCE_MISSING,"2016 row 6; Mat_LeakWetSheen normal/mask refs must resolve","Offline wetness mask/normal generation or restored refs","Bind wetness material and prove waterline response","Wet preview; shoreline/waterline capture; Frame Debugger/profiler if shader changed","Generic glossy overlay, invalid normal refs, no waterline mask","Low preserves readable wet/dry boundary; Middle full mask response; High richer drips/foam; Ultra extra wet microdetail"
2019-G004,Kelp tall hero,PLANNED_NOT_IMPORTED,"2004.kelp.tall.hero; SRC_2004_KELP_BLADE_FIBER_4K, SRC_2004_KELP_HOLDFAST_ROOT_4K, SRC_2004_BIOLUM_DETAIL_MASKS_4K","WorldProceduralSeaweedMeshBuilder or FloraTopologyStudio1711; BioForge ribbon only if remapped and validated","Generate/import final prefabs; relink family; disable proxy fallback","Flat silhouette; PBR closeup; vertex color sheet; 0-5m capture; LOD/profiler proof","Dry-land placement, primitive stalks, ribbon-only blades, generated starter maps as final","Low sparse rooted silhouette; Middle route density; High richer blade detail; Ultra dense canopy only with overdraw proof"
2019-G005,Kelp patch and canopy,PLANNED_NOT_IMPORTED,"2004.kelp.patch.filler and 2004.kelp.canopy.silhouette","WorldProceduralSeaweedMeshBuilder/FloraTopologyStudio1711 cluster and canopy generation","Generate rooted clusters/canopy, preserve fauna view lanes","Waterline/underwater shots; density proof; LOD overlay; profiler","Alpha wall, route cue occlusion, proxy crown/patch, dry-land kelp","Low gaps/silhouette; Middle full habitat fill; High richer motion/detail; Ultra overkill density only if route remains readable"
2019-G006,Intertidal shoreline flora,SOURCE_MISSING,"2004.intertidal.shoreline.flora; SRC_2004_INTERTIDAL_WEED_LICHEN_4K","New coastal static mesh/texture source; do not use underwater kelp family","Create separate shoreline rule and material family","Shoreline proof; dry-land rejection proof; material closeups","Using kelp/coral underwater families on land, primitive grass, no tide boundary","Low sparse wet algae/lichen cues; Middle richer shoreline transition; High more debris/algae variation; Ultra close-read detail"
2019-G007,Branching coral,PLANNED_NOT_IMPORTED,"2004.coral.branching; SRC_2004_CORAL_BRANCH_CALCITE_4K","WorldProceduralCoralMeshBuilder branching","Generate welded branch finals; bind CoralMaster; seafloor/substrate placement only","Flat silhouette; branch AO channel; reef shelf proof; validator","Smooth tube bouquet, unwelded intersections, dry-land placement, proxy branch","Low compact welded silhouette; Middle reef structure; High richer pores/breaks; Ultra dense branching after profiler"
2019-G008,Massive/plate/low coral,PLANNED_NOT_IMPORTED,"2004.coral.massive, 2004.coral.plate, 2004.coral.low.sponge.floor","WorldProceduralCoralMeshBuilder massive/plate/low variants","Generate finals; bind materials; no proxy beds","PBR pore/underside/floor detail shots; LOD proof; dry-land zero proof","Smooth blobs, paper-thin plates, flat decals, noisy carpet","Low readable forms; Middle full reef coverage; High more cavities/plates; Ultra detail density with unchanged placement truth"
2019-G009,Reef fan soft motion,SOURCE_MISSING_OR_NEW_FAMILY,"2004.reef.fan.soft.motion; SRC_2004_REEF_FAN_SOFT_RIB_4K","New soft-coral source or validated brittle/fan generator","Add only if photic/mid placement and shader support are explicit","Motion mask debug; current-edge shot; fauna coordination shot","Alpha-only fan, random glow, wrong abyssal placement","Low limited geometry-backed fans; Middle current-edge accents; High richer motion; Ultra denser soft coral after overdraw proof"
2019-G010,Anchor debris shoreline blend,SOURCE_MISSING,"2004.anchor.debris.shoreline.blend; SRC_2004_ANCHOR_DEBRIS_ENCRUSTED_4K","Authored/generated debris mesh plus coral/encrustation overlay","Create shoreline/debris rule; collision only if gameplay owner requires","Shoreline transition proof; material channel proof; scale cue capture","Primitive debris, clean metal, underwater kelp substitution","Low sparse scale cues; Middle richer transition; High more encrustation; Ultra close-read debris detail"
2019-G011,Shore wet/dry outcrop,PLANNED_NOT_IMPORTED,"2005 GEO2005_SHORE_WET_DRY_OUTCROP","GeologyForge profile from 2005_ROCK_VARIANT_MATRIX.csv","Bake/import LODs/materials/colliders; shoreline socket or signed waterline only","Shoreline close/wide; flat/final lit; collider/LOD proof","Depth==0 underwater rule, no wet line, grey diffuse-only, primitive proxy","Low keeps wet/dry silhouette; Middle full outcrop variants; High richer mineral/wetness; Ultra hero shoreline detail"
2019-G012,Beach cobble and debris blend rocks,PLANNED_NOT_IMPORTED,"2005 GEO2005_BEACH_COBBLE_FIELD and GEO2005_DEBRIS_BLEND_ROCKS","GeologyForge render-only dense variants","Import with density caps; avoid collider spam","Beach grounding; density proof; low quality proof; seam cover capture","Uniform gravel noise, floating stones, primitive proxy, collider spam","Low sparse grounded stones; Middle natural fields; High richer contact blend; Ultra dense seam polish"
2019-G013,Coast cliff and tidepool rim,PLANNED_NOT_IMPORTED,"2005 GEO2005_COAST_CLIFF_FACE_CHUNK and GEO2005_TIDEPOOL_RIM_WET_LEDGE","RockSculptor primary, GeologyForge backup","Bake/import modular chunks and rim proxies","Coastline wide; seam close; tidepool close; collider overlay","Visible seams, flat grey cliff, no wet band, blocked playable lip","Low strong coastline silhouette; Middle full cliff/rim coverage; High richer erosion; Ultra extra local detail"
2019-G014,Shallow reef anchor and underwater shelf rocks,PLANNED_NOT_IMPORTED,"2005 GEO2005_SHALLOW_REEF_ANCHOR_ROCK and GEO2005_UNDERWATER_SHELF_ROCK","GeologyForge after placement guards repaired","Bake/import; set submerged min depth, preferSeafloor, substrate","Shallow underwater; dry-land zero proof; route readability; collider proof","minDepth 0, preferSeafloor 0, floating shelf, LOD pop destroys edge","Low grounded route anchors; Middle full shelves; High richer silt/strata; Ultra dense reef geometry after profiler"
2019-G015,Hero arch and medium-depth route marker,PLANNED_NOT_IMPORTED,"2005 GEO2005_HERO_ARCH_OVERHANG and GEO2005_MEDIUM_DEPTH_ROUTE_MARKER","RockSculptor/GeologyForge with compound proxy","Bake/import only for explicit route sockets, not random scatter","Hero route shot; silhouette; compound collider; medium-depth readability","Primitive torus/cube, one-piece convex collider blocks route, hidden by fog","Low landmark silhouette; Middle route marker clarity; High richer fractures; Ultra hero overkill without gameplay truth changes"
2019-G016,Distant HLOD coast mass,DEPENDENT_BLOCKED,"2005 GEO2005_DISTANT_HLOD_COAST_MASS; source=accepted cliff/outcrop set","Offline HLOD shell from accepted close-source rocks only","Build after close shoreline families pass proof","Coastline wide; HLOD transition; low quality proof","Inspectable close range, material differs from close source, silhouette pop","Low cheap coast silhouette; Middle smoother transition; High longer residency; Ultra richer distant mass only after close assets accepted"
