id,asset_path,type,static_role,current_binding,source_status,channel_contract,import_or_dimensions,validator_action,proof_status
AEGIR_PREFAB_PROLOGUE,Assets/_Project/_PROLOGUE_CONTENT/Prefabs/GasGiant_Aegir.prefab,prefab,Aegir prologue source route,Uses MAT_AegirGasGiant_Impostor_1428,Active visible built-in sphere risk,None,Scale 40000; position 60000/15000/25000,Add validator coverage and fail primitive final route,PENDING VERIFICATION
AEGIR_PREFAB_PROJECT,Assets/_Project/Prefabs/GasGiant_Aegir.prefab,prefab,Aegir project source route,Uses gasgiant.asset mesh and MAT_AegirGasGiant_Impostor_1428,Better static mesh route,None,Scale 100; position 61711/15000/24136.002,Validate binding and scene usage,PENDING VERIFICATION
SKY_SYSTEM_PREFAB,Assets/_Project/Prefabs/Sky_System.prefab,prefab,Bright surface sky shell,Mat_HectonSky on child Sphere,Active visible built-in sphere risk,None,followVerticalPosition 0; lockToSeaLevel 1,Fail primitive unless explicit final-source exemption,PENDING VERIFICATION
AEGIR_IMPOSTOR_MAT,Assets/_Project/Art/Materials/Celestial/MAT_AegirGasGiant_Impostor_1428.mat,material,Aegir gas giant material,Bound by both inspected Aegir prefabs,Source route present,Texture slots only; no guessed channels,Exposure 1.16; storm 0.62; horizon veil 0.76,Validate all texture GUIDs and scalar ranges,PENDING VERIFICATION
AEGIR_IMPOSTOR_SHADER,Assets/_Project/Art/Shaders/H8_AegirGasGiantImpostor_1428.shader,shader,Aegir impostor rendering,Material shader,Source route present,RBG luma for storm sample; alpha unclaimed,Uses horizon veil and rim lighting,Check no sticker edge or fog coverup by capture,PENDING VERIFICATION
AEGIR_MAIN_TEX,Assets/_Project/Art/TEXTURES/clouds0_diff.png,texture,Aegir base cloud bands,_MainTex on Aegir impostor material,Resolved,RGB color; alpha unclaimed,4096x2048; 10991664 bytes,Keep as color route; inspect import in Unity later,PENDING VERIFICATION
AEGIR_DETAIL_TEX,Assets/_Project/Art/TEXTURES/Sky/oblakajip.png,texture,Aegir detail/storm texture,_DetailTex on Aegir impostor material,Resolved,RGB luma/detail; channels unclaimed,2048x2048; 5832358 bytes,Validate import and visual contribution,PENDING VERIFICATION
AEGIR_STORMS_ART,Assets/_Project/Art/TEXTURES/Aegir_storms.png,texture,Aegir storm glow and sky band source,_StormTex and MAT_AegirSky_Master _AegirBandTex,Resolved,RGB luma/color band role; channels unclaimed,4096x2048; sRGB 1; mipmaps enabled; max size 2048,Do not treat as numeric mask without contract,PENDING VERIFICATION
AEGIR_STORMS_PROLOGUE,Assets/_Project/_PROLOGUE_CONTENT/Textures/Planets/Clouds/GASgIANT/Aegir_storms.png,texture,Duplicate prologue Aegir storms source,None found in inspected material,Duplicate source gap,Unclaimed,4096x2048; separate GUID,Document archive/source ownership or remove from active route later,PENDING VERIFICATION
AEGIR_SKY_MASTER_MAT,Assets/_Project/Art/Materials/Sky/MAT_AegirSky_Master.mat,material,Sky shader Aegir band route,_AegirBandTex uses Aegir_storms,Source route present,Uses texture as band/color source,AegirExposure 1.18; ScreenAegirOpacity 0,Validate whether active in scene/runtime,PENDING VERIFICATION
