variant_id,display_name,target_family,route_role,depth_band_m,substrate_or_zone,topology_source_route,required_topology,texture_source_slots,material_shader,vertex_color_contract,lod_budget,placement_rule_target,collider_policy,proof_required,reject_gates,verification_status
2004.kelp.tall.hero,Kelp Tall Hero,family.kelp.tall,photic route silhouette and shelter,2-28,submerged seafloor rock/sand edge with current flow,"WorldProceduralSeaweedMeshBuilder or FloraTopologyStudio1711; BioForge ribbon only if remapped and validated","visible holdfast; tapering ribbed stipe; thick blade shells; serrated/torn blade edges; scars; no flat alpha-card field","SRC_2004_KELP_BLADE_FIBER_4K; SRC_2004_KELP_HOLDFAST_ROOT_4K; SRC_2004_BIOLUM_DETAIL_MASKS_4K",Hecton8/Flora/KelpMaster,"R=sway; G=localized biolum; B=AO/cavity; A=kelp wear/variant mask","max LOD0 8000 tris; warn below 360; 3 LODs 0.6/0.15/0.04",rule.kelp.tall,no collider on visual final,"flat silhouette; PBR closeup; channel debug; underwater 0-5m; LOD overlay; validator proof","dry-land placement; primitive stalks; ribbon-only blades; proxy fallback; generated starter maps as final",PENDING_VERIFICATION
2004.kelp.patch.filler,Kelp Patch Filler,family.kelp.patch.dense,habitat filler with fauna view lanes,1.5-24,submerged seafloor pocket near navigation/resource zones,"WorldProceduralSeaweedMeshBuilder cluster; FloraTopologyStudio1711 for dense sheets","clustered holdfasts; mixed frond heights; visible gaps; non-card blade thickness; density must not hide route cues","SRC_2004_KELP_BLADE_FIBER_4K; SRC_2004_KELP_HOLDFAST_ROOT_4K; SRC_2004_BIOLUM_DETAIL_MASKS_4K",Hecton8/Flora/KelpMaster,"R=sway gradient per frond; G=rare biolum; B=AO at base/overlap; A=patch family mask","max LOD0 12000 tris; warn below 320; 3 LODs 0.6/0.15/0.04",rule.kelp.patch.dense,no collider on visual final,"silhouette sheet; PBR patch view; passive fauna lane shot; density and LOD proof","alpha wall; over-occlusion; underwater kelp on dry land; proxy patch final",PENDING_VERIFICATION
2004.kelp.canopy.silhouette,Kelp Canopy Silhouette,family.kelp.canopy,upper canopy landmark and route read,3-35,submerged shelf edge below surface line,"WorldProceduralSeaweedMeshBuilder canopy variant; FloraTopologyStudio1711 hero canopy","large crown/fronds; readable skyline from waterline; blade ribs; torn rims; negative space under canopy","SRC_2004_KELP_CANOPY_EDGE_4K; SRC_2004_KELP_BLADE_FIBER_4K; SRC_2004_BIOLUM_DETAIL_MASKS_4K",Hecton8/Flora/KelpMaster,"R=sway weighted high on canopy; G=controlled edge glow; B=AO undersides; A=canopy mask","max LOD0 10000 tris; warn below 460; 3 LODs 0.6/0.15/0.04",rule.kelp.canopy,no collider on visual final,"waterline shot; 0-5m underwater shot; silhouette/LOD proof","flat sheet canopy; route cue occlusion; dark/fog masking; proxy crown",PENDING_VERIFICATION
2004.intertidal.shoreline.flora,Intertidal Shoreline Flora,new coastal/intertidal rule required,shoreline transition not underwater kelp,tidal band above and below waterline only,wet rocks/tide pools/coastline seam,"new coastal static mesh/texture source; do not use kelp procedural family","wrack strands; salt grass tufts; lichen/moss strips; wet algae on rocks; grounded roots; no submerged-kelp silhouette on dry land","SRC_2004_INTERTIDAL_WEED_LICHEN_4K; SRC_2004_ANCHOR_DEBRIS_ENCRUSTED_4K",coastal material or kelp shader only if explicitly supported,"R=wind/current motion if any; G=wet/emission none or low; B=AO; A=shore wear mask","route-card budget required; keep under flora validator-equivalent limits",new rule required,no collider on visual detail unless separate gameplay owner,"shoreline proof; dry-land rejection proof; material closeups","using kelp.tall/canopy/patch on land; muddy coast; primitive grass; no tide boundary",PENDING_VERIFICATION
2004.coral.branching,Branching Coral,family.coral.branching,reef structure and shelter,2-80,submerged reef rock/fossil carbonate,"WorldProceduralCoralMeshBuilder branching; BioForge branch capsules as secondary volume","welded branch intersections; irregular branch taper; broken tips; cavities; AO under branches; no smooth tube bouquet","SRC_2004_CORAL_BRANCH_CALCITE_4K; SRC_2004_BIOLUM_DETAIL_MASKS_4K",Hecton8/Flora/CoralMaster,"R=motion low/0; G=localized biolum cavities; B=AO/intersection; A=coral family/wear mask","max LOD0 12000 tris; warn below 800; 3 LODs 0.6/0.15/0.04",rule.coral.branching,no collider on visual final,"flat silhouette; PBR closeup; branch AO channel; reef shelf proof","unwelded intersections; tube primitives; dry-land placement; proxy branch",PENDING_VERIFICATION
2004.coral.massive,Massive Coral,family.coral.massive,shelter pocket and reef bulk,6-120,submerged fossil reef/rock shelf,"WorldProceduralCoralMeshBuilder massive","lobed dome; pores; calcium bands; sediment abrasion; chipped cavities; readable scale without blob shape","SRC_2004_CORAL_MASSIVE_POROUS_4K; SRC_2004_BIOLUM_DETAIL_MASKS_4K",Hecton8/Flora/CoralMaster,"R=0; G=cavity biolum sparse; B=pore/cavity AO; A=massive wear mask","max LOD0 9000 tris; warn below 1100; 3 LODs 0.6/0.15/0.04",rule.coral.massive,no collider on visual final,"PBR pore closeup; shelter pocket shot; LOD proof","smooth blob; generic rock; texture-only pores; proxy head",PENDING_VERIFICATION
2004.coral.plate,Plate Coral,family.coral.plate,side-light shelf and navigation structure,18-160,submerged reef wall/shelf/ledge,"WorldProceduralCoralMeshBuilder plate","layered plates; thick rims; underside AO; chipped edges; stacked terraces; non-paper thickness","SRC_2004_CORAL_PLATE_RIM_UNDERSIDE_4K; SRC_2004_BIOLUM_DETAIL_MASKS_4K",Hecton8/Flora/CoralMaster,"R=0; G=underside biolum sparse; B=underside AO; A=plate rim/wear mask","max LOD0 8500 tris; warn below 220; 3 LODs 0.6/0.15/0.04",rule.coral.plate,no collider on visual final,"side-light route shot; underside channel debug; LOD cascade","paper-thin planes; wall occlusion of route cues; dry-land placement; proxy shelf",PENDING_VERIFICATION
2004.coral.low.sponge.floor,Low Coral Sponge Floor,family.coral.low,seafloor breakup and route edge,1-70,submerged seafloor rock/sand/fossil rubble,"WorldProceduralCoralMeshBuilder low plus authored sponge mats","low mounds; porous mats; small ridges; sponge openings; readable floor detail without noisy carpet","SRC_2004_CORAL_LOW_SPONGE_BED_4K; SRC_2004_BIOLUM_DETAIL_MASKS_4K",Hecton8/Flora/CoralMaster,"R=0; G=tiny biological glow only; B=contact AO; A=low coral/sponge family mask","max LOD0 7000 tris; warn below 900; 3 LODs 0.6/0.15/0.04",rule.coral.low,no collider on visual final,"floor detail shot; route edge shot; dry-land rejection proof","flat decals; noisy carpet; primitive mounds; proxy bed",PENDING_VERIFICATION
2004.reef.fan.soft.motion,Reef Fan Soft Motion,family.coral.brittle or future soft coral family,motion accent and ecological read,8-90 for photic/mid if soft family added; 900+ only if brittle current data retained,submerged reef current edge,"new soft-coral source or WorldProceduralCoralMeshBuilder brittle/fan","ribbed fan panels; branched support skeleton; holes/tears; vertex sway masks; no alpha-only card fan","SRC_2004_REEF_FAN_SOFT_RIB_4K; SRC_2004_BIOLUM_DETAIL_MASKS_4K",Hecton8/Flora/CoralMaster or soft-coral shader if added,"R=fan sway; G=edge biolum; B=rib/AO; A=soft fan variant mask","if brittle: max LOD0 9500 tris; warn below 720; 3 LODs 0.6/0.15/0.04",rule.coral.brittle or new photic soft coral rule,no collider on visual final,"motion mask debug; current-edge shot; fauna coordination shot","alpha-only fan; wrong abyssal placement for photic route; random glow; proxy fan",PENDING_VERIFICATION
2004.anchor.debris.shoreline.blend,Anchor Debris Shoreline Blend,debris/shoreline transition family required,coastline transition and ecology anchor,tidal band to 20,wet shoreline rock/tide-pool/debris field,"authored debris mesh source plus coral/encrustation texture masks","barnacled anchor/debris; rope/chain; wet algae; coral encrustation; scale reference; no primitive cubes/cylinders","SRC_2004_ANCHOR_DEBRIS_ENCRUSTED_4K; SRC_2004_INTERTIDAL_WEED_LICHEN_4K",structural/debris material plus coral/weed overlays,"R=none unless seaweed overlay; G=wet/emission mask; B=AO/encrustation; A=metal wear/barnacle mask","separate structural budget required; flora overlay follows equivalent LOD rules",new debris/shoreline rule required,separate collision proxy only if gameplay owner requires,"shoreline transition proof; material channel proof; dry-land/intertidal boundary proof","primitive debris; clean metal; underwater kelp substitution; no route scale cue",PENDING_VERIFICATION
